industry final energy by tech and fuel
scenario,region,sector,subsector,input,technology,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Eastern,N fertilizer,gas,wholesale gas,gas,0.0,9.41029E-5,0.0,0.0,0.00321993,0.0073713,0.01240498,0.0175343,0.02203306,0.027093462999999998,0.0319979,0.0,0.0,0.0,EJ,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Eastern,N fertilizer,refined liquids,refined liquids industrial,refined liquids,6.03441E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EJ,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Eastern,agricultural energy use,biomass,delivered biomass,biomass,0.0,0.0217475,0.026237,0.0312804,0.02721033,0.02026471,0.014384151999999999,0.012132385999999998,0.013452468000000002,0.014003601000000001,0.014024169999999999,0.0,0.0,0.0,EJ,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Eastern,agricultural energy use,electricity,elect_td_ind,electricity,0.00103181,9.91701E-4,0.0012805,0.0028926,0.00480858,0.00904711,0.013872434999999999,0.018734621,0.02280517,0.02787383,0.03308614,0.0,0.0,0.0,EJ,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Eastern,agricultural energy use,hydrogen,H2 enduse,hydrogen,0.0,0.0,0.0,0.0,4.9421E-6,2.4212550000000002E-5,6.757018E-5,1.2607820200000001E-4,1.8118571E-4,2.4912473E-4,3.257733E-4,0.0,0.0,0.0,EJ,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Eastern,agricultural energy use,refined liquids,refined liquids industrial,refined liquids,0.00630935,0.0152223,0.0108556,0.0133835,0.01755502,0.02208902,0.02498098,0.02553098,0.02482524,0.02373784,0.023301969999999998,0.0,0.0,0.0,EJ,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Eastern,cement,cement,elect_td_ind,cement,0.00106375,0.00247004,0.0037238,0.0037238,0.004250325,0.005917894,0.008639576,0.012429817,0.017588237,0.024284303,0.0330669556,0.0,0.0,0.0,EJ,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Eastern,construction energy use,biomass,delivered biomass,biomass,0.0,0.0,0.0,0.0,2.44292E-5,8.60292E-5,1.8726E-4,2.8719431E-4,3.407002E-4,3.740452E-4,3.883787E-4,0.0,0.0,0.0,EJ,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Eastern,construction energy use,coal,delivered coal,coal,0.0,0.0,0.0,0.0,1.0462E-4,3.675028E-4,7.885721E-4,0.0012003024,0.0014413291,0.0016292926,0.001758187,0.0,0.0,0.0,EJ,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Eastern,construction energy use,electricity,elect_td_ind,electricity,0.0,0.0,0.0,0.0,1.46605E-6,4.866273E-6,8.536148E-6,1.2191093E-5,1.5934908E-5,2.1541149E-5,2.6816848000000002E-5,0.0,0.0,0.0,EJ,
