"","region","scenario","sector","Units","year","value","sum","share"
"1","China","1p5","iron and steel","MTCO2",1990,212.857619333333,1394.23405921435,15.266993223023
"2","China","1p5 delay","iron and steel","MTCO2",1990,212.857619333333,1394.23405921435,15.266993223023
"3","China","Ref","iron and steel","MTCO2",1990,212.857619333333,1394.23405921435,15.266993223023
"4","China","1p5","iron and steel","MTCO2",2005,789.594946576475,1773.60592726558,44.5191874044882
"5","China","1p5 delay","iron and steel","MTCO2",2005,789.594946576475,1773.60592723872,44.5191874051625
"6","China","Ref","iron and steel","MTCO2",2005,789.594946576475,1773.60592723872,44.5191874051625
"7","China","1p5","iron and steel","MTCO2",2010,1353.44089716012,2407.04336863283,56.2283552842196
"8","China","1p5 delay","iron and steel","MTCO2",2010,1353.44089716012,2407.04336620019,56.228355341046
"9","China","Ref","iron and steel","MTCO2",2010,1353.44089716012,2407.04336620019,56.228355341046
"10","China","1p5","iron and steel","MTCO2",2015,1600.98110444694,2832.45585003857,56.5227205368494
"11","China","1p5 delay","iron and steel","MTCO2",2015,1600.98110444694,2832.45584794581,56.5227205786112
"12","China","Ref","iron and steel","MTCO2",2015,1600.98110444694,2832.45584794581,56.5227205786112
"13","China","1p5","iron and steel","MTCO2",2020,2052.7787554843,3373.1283987717,60.8568222968269
"14","China","1p5 delay","iron and steel","MTCO2",2020,2052.7787554843,3373.12834851366,60.8568232035653
"15","China","Ref","iron and steel","MTCO2",2020,2108.24169154301,3446.52936116508,61.1699907535483
"16","China","1p5","iron and steel","MTCO2",2025,1622.12028762817,2636.98264131702,61.5142573262452
"17","China","1p5 delay","iron and steel","MTCO2",2025,1952.79011970933,3409.65058609988,57.2724409847235
"18","China","Ref","iron and steel","MTCO2",2025,2158.33797501985,3767.95508912156,57.2814145596154
"19","China","1p5","iron and steel","MTCO2",2030,995.045857199153,1648.47743766984,60.3615090180229
"20","China","1p5 delay","iron and steel","MTCO2",2030,1657.45833891973,3105.49256824551,53.3718340165319
"21","China","Ref","iron and steel","MTCO2",2030,2086.5168799024,3886.15305018759,53.6910629343763
"22","China","1p5","iron and steel","MTCO2",2035,402.361242627107,785.822379265847,51.20256857574
"23","China","1p5 delay","iron and steel","MTCO2",2035,929.936166054811,1831.93069250354,50.7626281856739
"24","China","Ref","iron and steel","MTCO2",2035,1945.76755552779,3897.13754927902,49.9281211125781
"25","China","1p5","iron and steel","MTCO2",2040,123.021525392046,362.833811410687,33.9057501046395
"26","China","1p5 delay","iron and steel","MTCO2",2040,447.213537392023,958.516365789007,46.6568494137184
"27","China","Ref","iron and steel","MTCO2",2040,1816.01009810677,3886.53059974487,46.7257378142341
"28","China","1p5","iron and steel","MTCO2",2045,42.1461393407989,145.123766937693,29.0415141710689
"29","China","1p5 delay","iron and steel","MTCO2",2045,49.1681100621627,242.427280068751,20.2815912665517
"30","China","Ref","iron and steel","MTCO2",2045,1662.80578539871,3807.53034435408,43.671504492784
