region,scenario,Units,year,BF-BOF production,BF-CCUS production ,BF_BOF_ROR (annual),BF_CCUS_ROR (annual)
China,1p5,Mt,2020,955.188,0,5.26952381,NA
China,1p5,Mt,2025,748.3741,25.3706,-4.330328689,Inf
China,1p5,Mt,2030,436.7974,160.5914,-8.326763313,106.5964542
China,1p5,Mt,2035,149.30886,279.2891,-13.16347304,14.78257242
China,1p5,Mt,2040,25.4221117,217.98704,-16.59469482,-4.389864123
China,1p5,Mt,2045,0.127616798,124.64741,-19.89960173,-8.56377792
China,1p5,Mt,2050,0.000111219,43.52778,-19.98256984,-13.01585488
EU-27,1p5,Mt,2020,102.22083,0,0.259801804,NA
EU-27,1p5,Mt,2025,77.2659,1.651547,-4.882552803,Inf
EU-27,1p5,Mt,2030,44.335382,11.808664,-8.52394601,123.0012467
EU-27,1p5,Mt,2035,16.16787,25.853874,-12.70656109,23.78797466
EU-27,1p5,Mt,2040,4.49441857,26.873525,-14.44030838,0.788780049
EU-27,1p5,Mt,2045,0.043029639,17.251005,-19.80851966,-7.161338157
EU-27,1p5,Mt,2050,4.89454E-05,7.4081627,-19.9772504,-11.41132624
Global,1p5,Mt,2020,1435.877438,0,3.631194166,NA
Global,1p5,Mt,2025,1110.996643,41.3843573,-4.525188383,Inf
Global,1p5,Mt,2030,653.9288253,244.3975531,-8.228068386,98.11107823
Global,1p5,Mt,2035,247.1836065,449.0341718,-12.44004555,16.74620847
Global,1p5,Mt,2040,71.06662829,421.2567603,-14.24989146,-1.237207023
Global,1p5,Mt,2045,27.92139277,287.52556,-12.14219291,-6.349153907
Global,1p5,Mt,2050,29.31698026,149.4460574,0.99965464,-9.604676716
India,1p5,Mt,2020,47.3302,0,4.780209424,NA
India,1p5,Mt,2025,28.37349,6.8601,-8.010407731,Inf
India,1p5,Mt,2030,8.813872,18.47531,-13.78724859,33.86309237
India,1p5,Mt,2035,1.096056,22.78599,-17.51288424,4.666422377
India,1p5,Mt,2040,0.017225551,18.79827,-19.68568119,-3.500150751
India,1p5,Mt,2045,8.50272E-05,6.630736,-19.90127785,-12.94537636
India,1p5,Mt,2050,1.48733E-06,0.2575136,-19.65015298,-19.22327295
Japan,1p5,Mt,2020,76.487,0,-1.137607891,NA
Japan,1p5,Mt,2025,56.55806,1.41883,-5.211065933,Inf
Japan,1p5,Mt,2030,33.33226,13.32947,-8.213082273,167.893828
Japan,1p5,Mt,2035,12.30086,29.716384,-12.61924634,24.58749523
Japan,1p5,Mt,2040,2.7001274,33.133142,-15.6098559,2.299578576
Japan,1p5,Mt,2045,0.0372935,22.529,-19.72376489,-6.400927506
Japan,1p5,Mt,2050,9.43989E-05,10.878095,-19.94937513,-10.34302898
ROW,1p5,Mt,2020,172.8321784,0,1.452647054,NA
ROW,1p5,Mt,2025,139.2704032,5.342033699,-3.883741501,Inf
ROW,1p5,Mt,2030,95.45484132,34.83230622,-6.292156963,110.4084106
ROW,1p5,Mt,2035,55.24682552,79.69878144,-8.424510531,25.76141524
ROW,1p5,Mt,2040,35.757093,111.4206308,-7.055512182,7.960435221
ROW,1p5,Mt,2045,27.70117838,107.850109,-4.505911383,-0.640908552
ROW,1p5,Mt,2050,29.31671491,84.45874655,1.166402751,-4.337754071
South Korea,1p5,Mt,2020,49.00736,0,0.209220619,NA
South Korea,1p5,Mt,2025,36.91492,0.0745446,-4.934948547,Inf
South Korea,1p5,Mt,2030,22.14609,0.7706649,-8.001550593,186.7661239
South Korea,1p5,Mt,2035,9.27418,2.7048114,-11.62454411,50.19422839
South Korea,1p5,Mt,2040,2.4529129,4.2775635,-14.71023228,11.62929216
South Korea,1p5,Mt,2045,0.011699845,3.185863,-19.90460448,-5.104309965
South Korea,1p5,Mt,2050,8.48686E-06,1.2805581,-19.98549235,-11.96099707
US,1p5,Mt,2020,32.81187,0,2.321,NA
US,1p5,Mt,2025,24.23977,0.666702,-5.224999368,Inf
US,1p5,Mt,2030,13.04898,4.589738,-9.233412693,117.6848427
US,1p5,Mt,2035,3.788955,8.985231,-14.19271851,19.15356824
US,1p5,Mt,2040,0.22273917,8.766589,-18.82427123,-0.486669736
US,1p5,Mt,2045,0.00048958,5.431437,-19.95604003,-7.608779196
US,1p5,Mt,2050,8.09331E-07,1.6352015,-19.96693776,-13.97875185
