region,scenario,sector,Units,year,emissions,emissions 2020,percent_reduction relative to 2020,absolute_reduction relative to 2020
China,1p5,iron and steel,MTCO2,2025,1622.120288,2052.778755,-20.97929291,-430.6584679
China,1p5,iron and steel,MTCO2,2030,995.0458572,2052.778755,-51.52688255,-1057.732898
China,1p5,iron and steel,MTCO2,2035,402.3612426,2052.778755,-80.39919102,-1650.417513
China,1p5,iron and steel,MTCO2,2040,123.0215254,2052.778755,-94.00707334,-1929.75723
China,1p5,iron and steel,MTCO2,2045,42.14613934,2052.778755,-97.94687376,-2010.632616
China,1p5,iron and steel,MTCO2,2050,18.81395504,2052.778755,-99.08348842,-2033.9648
EU-27,1p5,iron and steel,MTCO2,2025,139.3599261,175.6678909,-20.66852661,-36.30796479
EU-27,1p5,iron and steel,MTCO2,2030,89.66963335,175.6678909,-48.95502367,-85.99825758
EU-27,1p5,iron and steel,MTCO2,2035,44.71398798,175.6678909,-74.54629429,-130.953903
EU-27,1p5,iron and steel,MTCO2,2040,20.75256043,175.6678909,-88.18648057,-154.9153305
EU-27,1p5,iron and steel,MTCO2,2045,5.854128925,175.6678909,-96.66750202,-169.813762
EU-27,1p5,iron and steel,MTCO2,2050,3.048940246,175.6678909,-98.26437249,-172.6189507
Global,1p5,iron and steel,MTCO2,2025,2636.982641,3373.128399,-21.82382852,-736.1457575
Global,1p5,iron and steel,MTCO2,2030,1648.477438,3373.128399,-51.1291228,-1724.650961
Global,1p5,iron and steel,MTCO2,2035,785.8223793,3373.128399,-76.70345488,-2587.30602
Global,1p5,iron and steel,MTCO2,2040,362.8338114,3373.128399,-89.2434035,-3010.294587
Global,1p5,iron and steel,MTCO2,2045,145.1237669,3373.128399,-95.69765067,-3228.004632
Global,1p5,iron and steel,MTCO2,2050,59.94244423,3373.128399,-98.22294211,-3313.185955
India,1p5,iron and steel,MTCO2,2025,266.7832781,336.1962617,-20.64656616,-69.41298359
India,1p5,iron and steel,MTCO2,2030,180.4497158,336.1962617,-46.32607903,-155.7465459
India,1p5,iron and steel,MTCO2,2035,142.654094,336.1962617,-57.56820933,-193.5421677
India,1p5,iron and steel,MTCO2,2040,112.7947733,336.1962617,-66.44972412,-223.4014884
India,1p5,iron and steel,MTCO2,2045,44.1891245,336.1962617,-86.85615233,-292.0071372
India,1p5,iron and steel,MTCO2,2050,15.08095774,336.1962617,-95.51423991,-321.1153039
Japan,1p5,iron and steel,MTCO2,2025,110.0428763,145.4268398,-24.33110938,-35.38396345
Japan,1p5,iron and steel,MTCO2,2030,70.30292933,145.4268398,-51.65752798,-75.12391045
Japan,1p5,iron and steel,MTCO2,2035,33.86158339,145.4268398,-76.71572631,-111.5652564
Japan,1p5,iron and steel,MTCO2,2040,15.16824658,145.4268398,-89.56984378,-130.2585932
Japan,1p5,iron and steel,MTCO2,2045,6.4005192,145.4268398,-95.59880473,-139.0263206
Japan,1p5,iron and steel,MTCO2,2050,3.610442042,145.4268398,-97.51734821,-141.8163977
ROW,1p5,iron and steel,MTCO2,2025,376.4914771,494.9895446,-23.93950919,-118.4980675
ROW,1p5,iron and steel,MTCO2,2030,241.8406381,494.9895446,-51.14227345,-253.1489065
ROW,1p5,iron and steel,MTCO2,2035,132.0595482,494.9895446,-73.32073988,-362.9299964
ROW,1p5,iron and steel,MTCO2,2040,80.54351617,494.9895446,-83.7282389,-414.4460285
ROW,1p5,iron and steel,MTCO2,2045,43.58041788,494.9895446,-91.19568921,-451.4091268
ROW,1p5,iron and steel,MTCO2,2050,18.37202379,494.9895446,-96.28840165,-476.6175208
South Korea,1p5,iron and steel,MTCO2,2025,68.84530144,90.22349189,-23.69470523,-21.37819045
South Korea,1p5,iron and steel,MTCO2,2030,43.10279319,90.22349189,-52.22664044,-47.1206987
South Korea,1p5,iron and steel,MTCO2,2035,20.45089936,90.22349189,-77.333066,-69.77259254
South Korea,1p5,iron and steel,MTCO2,2040,7.919488501,90.22349189,-91.22236533,-82.30400339
South Korea,1p5,iron and steel,MTCO2,2045,1.526144465,90.22349189,-98.30848437,-88.69734743
South Korea,1p5,iron and steel,MTCO2,2050,0.427593649,90.22349189,-99.52607282,-89.79589825
US,1p5,iron and steel,MTCO2,2025,53.3394946,77.84561438,-31.48041154,-24.50611978
US,1p5,iron and steel,MTCO2,2030,28.06587065,77.84561438,-63.94675426,-49.77974373
US,1p5,iron and steel,MTCO2,2035,9.721023714,77.84561438,-87.51243241,-68.12459066
US,1p5,iron and steel,MTCO2,2040,2.633701062,77.84561438,-96.61676373,-75.21191332
US,1p5,iron and steel,MTCO2,2045,1.427292621,77.84561438,-98.16650863,-76.41832176
US,1p5,iron and steel,MTCO2,2050,0.588531715,77.84561438,-99.24397576,-77.25708266
