"","region","scenario","sector","subsector","input","technology","Units","year","value","input2"
"1","China","1p5","iron and steel","BLASTFUR","biomass","Biomass-based","EJ",2015,0,"biomass"
"2","China","1p5 delay","iron and steel","BLASTFUR","biomass","Biomass-based","EJ",2015,0,"biomass"
"3","China","Ref","iron and steel","BLASTFUR","biomass","Biomass-based","EJ",2015,0,"biomass"
"4","China","1p5","iron and steel","BLASTFUR","electricity","Biomass-based","EJ",2015,0,"electricity"
"5","China","1p5 delay","iron and steel","BLASTFUR","electricity","Biomass-based","EJ",2015,0,"electricity"
"6","China","Ref","iron and steel","BLASTFUR","electricity","Biomass-based","EJ",2015,0,"electricity"
"7","China","1p5","iron and steel","BLASTFUR","refined liquids","Biomass-based","EJ",2015,0,"refined liquids"
"8","China","1p5 delay","iron and steel","BLASTFUR","refined liquids","Biomass-based","EJ",2015,0,"refined liquids"
"9","China","Ref","iron and steel","BLASTFUR","refined liquids","Biomass-based","EJ",2015,0,"refined liquids"
"10","China","1p5","iron and steel","BLASTFUR","gas","Biomass-based","EJ",2015,0,"gas"
"11","China","1p5 delay","iron and steel","BLASTFUR","gas","Biomass-based","EJ",2015,0,"gas"
"12","China","Ref","iron and steel","BLASTFUR","gas","Biomass-based","EJ",2015,0,"gas"
"13","China","1p5","iron and steel","BLASTFUR","coal","BLASTFUR","EJ",2015,15.8834,"coal"
"14","China","1p5 delay","iron and steel","BLASTFUR","coal","BLASTFUR","EJ",2015,15.8834,"coal"
"15","China","Ref","iron and steel","BLASTFUR","coal","BLASTFUR","EJ",2015,15.8834,"coal"
"16","China","1p5","iron and steel","BLASTFUR","electricity","BLASTFUR","EJ",2015,1.63228,"electricity"
"17","China","1p5 delay","iron and steel","BLASTFUR","electricity","BLASTFUR","EJ",2015,1.63228,"electricity"
"18","China","Ref","iron and steel","BLASTFUR","electricity","BLASTFUR","EJ",2015,1.63228,"electricity"
"19","China","1p5","iron and steel","BLASTFUR","refined liquids","BLASTFUR","EJ",2015,0.0077868,"refined liquids"
"20","China","1p5 delay","iron and steel","BLASTFUR","refined liquids","BLASTFUR","EJ",2015,0.0077868,"refined liquids"
"21","China","Ref","iron and steel","BLASTFUR","refined liquids","BLASTFUR","EJ",2015,0.0077868,"refined liquids"
"22","China","1p5","iron and steel","BLASTFUR","gas","BLASTFUR","EJ",2015,0.0272916,"gas"
