"","region","scenario","sector","Units","year","value"
"1","China","1p5","iron and steel","Mt",2015,803.47
"2","China","1p5 delay","iron and steel","Mt",2015,803.47
"3","China","Ref","iron and steel","Mt",2015,803.47
"4","China","1p5","iron and steel","Mt",2020,1039.056405
"5","China","1p5 delay","iron and steel","Mt",2020,1039.056405
"6","China","Ref","iron and steel","Mt",2020,1058.934133
"7","China","1p5","iron and steel","Mt",2025,926.840092
"8","China","1p5 delay","iron and steel","Mt",2025,1029.180926
"9","China","Ref","iron and steel","Mt",2025,1087.975011
"10","China","1p5","iron and steel","Mt",2030,886.491118
"11","China","1p5 delay","iron and steel","Mt",2030,964.6143756
"12","China","Ref","iron and steel","Mt",2030,1060.59263676
"13","China","1p5","iron and steel","Mt",2035,818.1122193
"14","China","1p5 delay","iron and steel","Mt",2035,824.0227336
"15","China","Ref","iron and steel","Mt",2035,999.92990841
"16","China","1p5","iron and steel","Mt",2040,723.9054552
"17","China","1p5 delay","iron and steel","Mt",2040,734.607725
"18","China","Ref","iron and steel","Mt",2040,941.43783648
"19","China","1p5","iron and steel","Mt",2045,641.127972534
"20","China","1p5 delay","iron and steel","Mt",2045,649.20515072
"21","China","Ref","iron and steel","Mt",2045,868.93946017
"22","China","1p5","iron and steel","Mt",2050,548.215959560743
"23","China","1p5 delay","iron and steel","Mt",2050,542.078508087906
"24","China","Ref","iron and steel","Mt",2050,787.74699009
"25","EU-27","1p5","iron and steel","Mt",2015,166.2242
"26","EU-27","1p5 delay","iron and steel","Mt",2015,166.2242
"27","EU-27","Ref","iron and steel","Mt",2015,166.2242
"28","EU-27","1p5","iron and steel","Mt",2020,171.14804053
"29","EU-27","1p5 delay","iron and steel","Mt",2020,171.14804053
"30","EU-27","Ref","iron and steel","Mt",2020,172.53189119
"31","EU-27","1p5","iron and steel","Mt",2025,157.50329064
"32","EU-27","1p5 delay","iron and steel","Mt",2025,168.37479727
"33","EU-27","Ref","iron and steel","Mt",2025,179.70934432
"34","EU-27","1p5","iron and steel","Mt",2030,151.883032598
"35","EU-27","1p5 delay","iron and steel","Mt",2030,161.040844089
"36","EU-27","Ref","iron and steel","Mt",2030,181.436675965
"37","EU-27","1p5","iron and steel","Mt",2035,144.913422203
"38","EU-27","1p5 delay","iron and steel","Mt",2035,145.139912398
"39","EU-27","Ref","iron and steel","Mt",2035,180.111583539
"40","EU-27","1p5","iron and steel","Mt",2040,135.01610905
"41","EU-27","1p5 delay","iron and steel","Mt",2040,136.61125492
"42","EU-27","Ref","iron and steel","Mt",2040,177.98704306
"43","EU-27","1p5","iron and steel","Mt",2045,122.6875684434
"44","EU-27","1p5 delay","iron and steel","Mt",2045,123.6629195088
"45","EU-27","Ref","iron and steel","Mt",2045,175.42129087
"46","EU-27","1p5","iron and steel","Mt",2050,110.950532486291
"47","EU-27","1p5 delay","iron and steel","Mt",2050,109.740757485753
"48","EU-27","Ref","iron and steel","Mt",2050,171.57225493
"49","Global","1p5","iron and steel","Mt",2015,1619.7432
"50","Global","1p5 delay","iron and steel","Mt",2015,1619.7432
"51","Global","Ref","iron and steel","Mt",2015,1619.7432
"52","Global","1p5","iron and steel","Mt",2020,1925.82125067155
"53","Global","1p5 delay","iron and steel","Mt",2020,1925.82125097905
"54","Global","Ref","iron and steel","Mt",2020,1948.42513696162
"55","Global","1p5","iron and steel","Mt",2025,1867.98308738596
"56","Global","1p5 delay","iron and steel","Mt",2025,2033.8075600743
"57","Global","Ref","iron and steel","Mt",2025,2137.97206012833
"58","Global","1p5","iron and steel","Mt",2030,1928.74774198844
"59","Global","1p5 delay","iron and steel","Mt",2030,2076.53186739168
"60","Global","Ref","iron and steel","Mt",2030,2259.69191630964
"61","Global","1p5","iron and steel","Mt",2035,1953.70205156421
"62","Global","1p5 delay","iron and steel","Mt",2035,1975.08465273567
"63","Global","Ref","iron and steel","Mt",2035,2342.83130808274
"64","Global","1p5","iron and steel","Mt",2040,1929.33134721768
"65","Global","1p5 delay","iron and steel","Mt",2040,1962.01290856155
"66","Global","Ref","iron and steel","Mt",2040,2422.92125337861
"67","Global","1p5","iron and steel","Mt",2045,1891.87730701331
"68","Global","1p5 delay","iron and steel","Mt",2045,1914.95960974549
"69","Global","Ref","iron and steel","Mt",2045,2477.2486877492
"70","Global","1p5","iron and steel","Mt",2050,1823.00337639647
"71","Global","1p5 delay","iron and steel","Mt",2050,1810.52098994269
"72","Global","Ref","iron and steel","Mt",2050,2504.28813713438
"73","India","1p5","iron and steel","Mt",2015,89
"74","India","1p5 delay","iron and steel","Mt",2015,89
"75","India","Ref","iron and steel","Mt",2015,89
"76","India","1p5","iron and steel","Mt",2020,117.522655
"77","India","1p5 delay","iron and steel","Mt",2020,117.522655
"78","India","Ref","iron and steel","Mt",2020,117.657917
"79","India","1p5","iron and steel","Mt",2025,199.811225
"80","India","1p5 delay","iron and steel","Mt",2025,209.999134
"81","India","Ref","iron and steel","Mt",2025,216.656135
"82","India","1p5","iron and steel","Mt",2030,264.8126738
"83","India","1p5 delay","iron and steel","Mt",2030,282.2258505
"84","India","Ref","iron and steel","Mt",2030,299.7038915
"85","India","1p5","iron and steel","Mt",2035,321.9259723
"86","India","1p5 delay","iron and steel","Mt",2035,330.2895676
