"","region","year","scenario","input","value"
"1","China",2015,"Ref","biomass",0
"2","China",2015,"Ref","coal",15.89034481
"3","China",2015,"Ref","electricity",1.9193978
"4","China",2015,"Ref","gas",0.1503036
"5","China",2015,"Ref","hydrogen",0
"6","China",2015,"Ref","refined liquids",0.04020569
"7","China",2015,"1p5","biomass",0
"8","China",2015,"1p5","coal",15.89034481
"9","China",2015,"1p5","coal with CCS",0
"10","China",2015,"1p5","electricity",1.9193978
"11","China",2015,"1p5","gas",0.1503036
"12","China",2015,"1p5","gas with CCS",0
"13","China",2015,"1p5","hydrogen",0
"14","China",2015,"1p5","refined liquids",0.04020569
"15","China",2015,"1p5","refined liquids with CCS",0
"16","China",2015,"1p5 delay","biomass",0
"17","China",2015,"1p5 delay","coal",15.89034481
"18","China",2015,"1p5 delay","coal with CCS",0
"19","China",2015,"1p5 delay","electricity",1.9193978
"20","China",2015,"1p5 delay","gas",0.1503036
"21","China",2015,"1p5 delay","gas with CCS",0
"22","China",2015,"1p5 delay","hydrogen",0
"23","China",2015,"1p5 delay","refined liquids",0.04020569
"24","China",2015,"1p5 delay","refined liquids with CCS",0
"25","China",2020,"Ref","biomass",0.00854105
"26","China",2020,"Ref","coal",20.972525377
"27","China",2020,"Ref","electricity",2.520016657
"28","China",2020,"Ref","gas",0.11105292117
"29","China",2020,"Ref","hydrogen",0.00205539
"30","China",2020,"Ref","refined liquids",0.04821685917
"31","China",2020,"1p5","biomass",0.0075304
"32","China",2020,"1p5","coal",20.105680018
"33","China",2020,"1p5","coal with CCS",0
"34","China",2020,"1p5","electricity",2.559294448
"35","China",2020,"1p5","gas",0.69623458829
"36","China",2020,"1p5","gas with CCS",0
"37","China",2020,"1p5","hydrogen",0
"38","China",2020,"1p5","refined liquids",0.08427178829
"39","China",2020,"1p5","refined liquids with CCS",0
"40","China",2020,"1p5 delay","biomass",0.0075304
"41","China",2020,"1p5 delay","coal",20.105680018
"42","China",2020,"1p5 delay","coal with CCS",0
"43","China",2020,"1p5 delay","electricity",2.559294448
"44","China",2020,"1p5 delay","gas",0.69623458829
"45","China",2020,"1p5 delay","gas with CCS",0
"46","China",2020,"1p5 delay","hydrogen",0
"47","China",2020,"1p5 delay","refined liquids",0.08427178829
"48","China",2020,"1p5 delay","refined liquids with CCS",0
"49","China",2025,"Ref","biomass",0.05089448
"50","China",2025,"Ref","coal",21.480471077
"51","China",2025,"Ref","electricity",2.577907257
"52","China",2025,"Ref","gas",0.09735523192
"53","China",2025,"Ref","hydrogen",0.01423959
"54","China",2025,"Ref","refined liquids",0.04854338392
"55","China",2025,"1p5","biomass",0.12611368
"56","China",2025,"1p5","coal",15.740450836
"57","China",2025,"1p5","coal with CCS",0.530153
"58","China",2025,"1p5","electricity",2.50397489
"59","China",2025,"1p5","gas",0.68189358832
"60","China",2025,"1p5","gas with CCS",0.18595498
"61","China",2025,"1p5","hydrogen",0.14551733
"62","China",2025,"1p5","refined liquids",0.10765875932
"63","China",2025,"1p5","refined liquids with CCS",0.009578914
"64","China",2025,"1p5 delay","biomass",0.03244715
"65","China",2025,"1p5 delay","coal",19.105333419
"66","China",2025,"1p5 delay","coal with CCS",0
"67","China",2025,"1p5 delay","electricity",2.619196354
"68","China",2025,"1p5 delay","gas",0.68326123919
"69","China",2025,"1p5 delay","gas with CCS",0
"70","China",2025,"1p5 delay","hydrogen",0.06294117
"71","China",2025,"1p5 delay","refined liquids",0.09703047419
"72","China",2025,"1p5 delay","refined liquids with CCS",0
"73","China",2030,"Ref","biomass",0.13503139
"74","China",2030,"Ref","coal",20.761633895
"75","China",2030,"Ref","electricity",2.4969806155
"76","China",2030,"Ref","gas",0.10165287175
"77","China",2030,"Ref","hydrogen",0.038894143
"78","China",2030,"Ref","refined liquids",0.04806473075
"79","China",2030,"1p5","biomass",0.23521419
"80","China",2030,"1p5","coal",9.22795904
"81","China",2030,"1p5","coal with CCS",3.2497976
"82","China",2030,"1p5","electricity",2.774931862
"83","China",2030,"1p5","gas",0.53485138719
"84","China",2030,"1p5","gas with CCS",0.600666215
"85","China",2030,"1p5","hydrogen",0.5521902
"86","China",2030,"1p5","refined liquids",0.14529166519
"87","China",2030,"1p5","refined liquids with CCS",0.031562175
"88","China",2030,"1p5 delay","biomass",0.06628655
"89","China",2030,"1p5 delay","coal",16.001333407
"90","China",2030,"1p5 delay","coal with CCS",0
"91","China",2030,"1p5 delay","electricity",2.658250306
"92","China",2030,"1p5 delay","gas",0.93870291864
"93","China",2030,"1p5 delay","gas with CCS",0
"94","China",2030,"1p5 delay","hydrogen",0.2203324
"95","China",2030,"1p5 delay","refined liquids",0.13651905964
"96","China",2030,"1p5 delay","refined liquids with CCS",0
"97","China",2035,"Ref","biomass",0.23048037
"98","China",2035,"Ref","coal",19.3638419733
"99","China",2035,"Ref","electricity",2.3321819429
"100","China",2035,"Ref","gas",0.089800124995
"101","China",2035,"Ref","hydrogen",0.068496585
"102","China",2035,"Ref","refined liquids",0.045394547195
"103","China",2035,"1p5","biomass",0.1962967
"104","China",2035,"1p5","coal",3.210792341
"105","China",2035,"1p5","coal with CCS",5.55027388
"106","China",2035,"1p5","electricity",2.913405701
"107","China",2035,"1p5","gas",0.20694236044
"108","China",2035,"1p5","gas with CCS",0.880313959
"109","China",2035,"1p5","hydrogen",0.94387677
"110","China",2035,"1p5","refined liquids",0.16328212904
"111","China",2035,"1p5","refined liquids with CCS",0.04657422
"112","China",2035,"1p5 delay","biomass",0.11954875
"113","China",2035,"1p5 delay","coal",8.740044717
"114","China",2035,"1p5 delay","coal with CCS",1.8754834
"115","China",2035,"1p5 delay","electricity",2.6524313966
"116","China",2035,"1p5 delay","gas",0.510213587526
"117","China",2035,"1p5 delay","gas with CCS",0.37131783
"118","China",2035,"1p5 delay","hydrogen",0.60091898
"119","China",2035,"1p5 delay","refined liquids",0.152616166526
"120","China",2035,"1p5 delay","refined liquids with CCS",0.019457063
"121","China",2040,"Ref","biomass",0.28941166
"122","China",2040,"Ref","coal",18.0790537326
"123","China",2040,"Ref","electricity",2.17661932235
"124","China",2040,"Ref","gas",0.0722337586
"125","China",2040,"Ref","hydrogen",0.0918852684
"126","China",2040,"Ref","refined liquids",0.0422820019
"127","China",2040,"1p5","biomass",0.104214562
"128","China",2040,"1p5","coal",0.5966987253
"129","China",2040,"1p5","coal with CCS",4.33167212
"130","China",2040,"1p5","electricity",3.00793155242
"131","China",2040,"1p5","gas",0.031008780675
"132","China",2040,"1p5","gas with CCS",1.135332259
"133","China",2040,"1p5","hydrogen",1.381556598
"134","China",2040,"1p5","refined liquids",0.183539583718
"135","China",2040,"1p5","refined liquids with CCS",0.058925266
"136","China",2040,"1p5 delay","biomass",0.08594841
