"","Mitigation measure","region","reduction","year"
"2","Ref emissions","US",78.496833498435,"2020"
"3","Energy efficiency contribution","US",0.00000000608132211254997,"2020"
"4","Material efficiency contribution","US",0.000000037802436736456,"2020"
"5","Price-induced contribution","US",0.0000568618065558283,"2020"
"6","High scrap use contribution","US",1.6355408176978,"2020"
"7","H2 contribution","US",1.05010038823992,"2020"
"8","CCUS contribution","US",0,"2020"
"9","1p5 emissions","US",75.3302174566609,"2020"
"10","Ref emissions","ROW",496.81432234226,"2020"
"11","Energy efficiency contribution","ROW",0.0000014224914366423,"2020"
"12","Material efficiency contribution","ROW",2.46364697854426,"2020"
"13","Price-induced contribution","ROW",2.03335587717424,"2020"
"14","High scrap use contribution","ROW",1.33371116202945,"2020"
"15","H2 contribution","ROW",7.9256564693153,"2020"
"16","CCUS contribution","ROW",0.000000334236833333333,"2020"
"17","1p5 emissions","ROW",486.724675052253,"2020"
"18","Ref emissions","China",2108.24169894328,"2020"
"19","Energy efficiency contribution","China",0.00000141951477417024,"2020"
"20","Material efficiency contribution","China",0.000178298216724215,"2020"
"21","Price-induced contribution","China",4.30142370604168,"2020"
"22","High scrap use contribution","China",24.6372513922618,"2020"
"23","H2 contribution","China",0,"2020"
"24","CCUS contribution","China",0,"2020"
"25","1p5 emissions","China",2052.77730681996,"2020"
"26","Ref emissions","EU-27",178.461657025647,"2020"
"27","Energy efficiency contribution","EU-27",0.00000017038473743014,"2020"
"28","Material efficiency contribution","EU-27",0.0000810910025847988,"2020"
"29","Price-induced contribution","EU-27",1.74057950739047,"2020"
"30","High scrap use contribution","EU-27",1.06486291446306,"2020"
"31","H2 contribution","EU-27",0.970018976776236,"2020"
"32","CCUS contribution","EU-27",0,"2020"
"33","1p5 emissions","EU-27",175.477403756903,"2020"
"34","Ref emissions","India",346.168606371389,"2020"
"35","Energy efficiency contribution","India",0.000000335946310769941,"2020"
"36","Material efficiency contribution","India",0.00211016444046663,"2020"
"37","Price-induced contribution","India",102.093071031188,"2020"
"38","High scrap use contribution","India",1.9464332245237,"2020"
"39","H2 contribution","India",3.67207699779434,"2020"
"40","CCUS contribution","India",0,"2020"
"41","1p5 emissions","India",338.427950166803,"2020"
"42","Ref emissions","Japan",146.127728871564,"2020"
"43","Energy efficiency contribution","Japan",0.0000000402637851948384,"2020"
"44","Material efficiency contribution","Japan",0.000343259179771849,"2020"
"45","Price-induced contribution","Japan",0.087195088168311,"2020"
"46","High scrap use contribution","Japan",0.286487178419084,"2020"
"47","H2 contribution","Japan",0.467004508983304,"2020"
"48","CCUS contribution","Japan",0,"2020"
"49","1p5 emissions","Japan",145.587028083813,"2020"
"50","Ref emissions","South Korea",91.4866974039204,"2020"
"51","Energy efficiency contribution","South Korea",0.0000000649175859734896,"2020"
"52","Material efficiency contribution","South Korea",0.000308662342263233,"2020"
"53","Price-induced contribution","South Korea",0.409938182907044,"2020"
"54","High scrap use contribution","South Korea",0.506374817356622,"2020"
"55","H2 contribution","South Korea",0.41877439279665,"2020"
"56","CCUS contribution","South Korea",0,"2020"
"57","1p5 emissions","South Korea",90.5893999240363,"2020"
"58","Ref emissions","Global",3445.7975444565,"2020"
"59","Energy efficiency contribution","Global",0.000000392091351386625,"2020"
"60","Material efficiency contribution","Global",2.46098206199304,"2020"
"61","Price-induced contribution","Global",147.45886830534,"2020"
"62","High scrap use contribution","Global",30.7709860419179,"2020"
"63","H2 contribution","Global",16.6525278484587,"2020"
"64","CCUS contribution","Global",0.000000334236833333333,"2020"
"65","1p5 emissions","Global",3364.91398126043,"2020"
"66","Ref emissions","US",80.6561165162938,"2025"
"67","Energy efficiency contribution","US",0.752296273823362,"2025"
"68","Material efficiency contribution","US",5.59501666633034,"2025"
"69","Price-induced contribution","US",2.18261187134897,"2025"
"70","High scrap use contribution","US",2.22015309644104,"2025"
"71","H2 contribution","US",2.62985660636972,"2025"
"72","CCUS contribution","US",8.636408,"2025"
"73","1p5 emissions","US",48.9661646664403,"2025"
"74","Ref emissions","ROW",520.439188692832,"2025"
"75","Energy efficiency contribution","ROW",3.5301659910939,"2025"
"76","Material efficiency contribution","ROW",15.2400145174266,"2025"
"77","Price-induced contribution","ROW",16.789582133712,"2025"
"78","High scrap use contribution","ROW",3.63220990249951,"2025"
"79","H2 contribution","ROW",22.6863623442475,"2025"
"80","CCUS contribution","ROW",72.0913107619774,"2025"
"81","1p5 emissions","ROW",349.310123742282,"2025"
"82","Ref emissions","China",2158.3343070012,"2025"
"83","Energy efficiency contribution","China",12.3815906297732,"2025"
"84","Material efficiency contribution","China",66.9270594894265,"2025"
"85","Price-induced contribution","China",179.717429976403,"2025"
"86","High scrap use contribution","China",84.1722323233029,"2025"
"87","H2 contribution","China",19.8746358629185,"2025"
"88","CCUS contribution","China",199.846276666667,"2025"
"89","1p5 emissions","China",1559.81731835742,"2025"
"90","Ref emissions","EU-27",191.025933289587,"2025"
"91","Energy efficiency contribution","EU-27",1.61336813082463,"2025"
"92","Material efficiency contribution","EU-27",9.51294010703151,"2025"
"93","Price-induced contribution","EU-27",11.4207537301561,"2025"
"94","High scrap use contribution","EU-27",7.11836472925678,"2025"
"95","H2 contribution","EU-27",3.4801432477813,"2025"
"96","CCUS contribution","EU-27",22.2410507,"2025"
"97","1p5 emissions","EU-27",132.573547540775,"2025"
"98","Ref emissions","India",585.108520369876,"2025"
"99","Energy efficiency contribution","India",3.85777362398494,"2025"
"100","Material efficiency contribution","India",16.4090942190392,"2025"
"101","Price-induced contribution","India",19.6848697733602,"2025"
"102","High scrap use contribution","India",6.46498005183788,"2025"
"103","H2 contribution","India",18.7167291530573,"2025"
"104","CCUS contribution","India",127.635346666667,"2025"
"105","1p5 emissions","India",261.358666542157,"2025"
"106","Ref emissions","Japan",144.003986737971,"2025"
"107","Energy efficiency contribution","Japan",0.94486546241987,"2025"
"108","Material efficiency contribution","Japan",9.7891641803381,"2025"
"109","Price-induced contribution","Japan",7.50609603446118,"2025"
"110","High scrap use contribution","Japan",0.728569939033813,"2025"
"111","H2 contribution","Japan",1.74520007472481,"2025"
"112","CCUS contribution","Japan",17.1228812333333,"2025"
"113","1p5 emissions","Japan",104.392822863229,"2025"
"114","Ref emissions","South Korea",93.5769385225573,"2025"
"115","Energy efficiency contribution","South Korea",0.627929579155349,"2025"
"116","Material efficiency contribution","South Korea",6.19556265280852,"2025"
"117","Price-induced contribution","South Korea",7.36692060508947,"2025"
"118","High scrap use contribution","South Korea",3.16321094053577,"2025"
"119","H2 contribution","South Korea",1.5022913613716,"2025"
"120","CCUS contribution","South Korea",1.5934622,"2025"
"121","1p5 emissions","South Korea",68.2883083155601,"2025"
"122","Ref emissions","Global",3773.14499113031,"2025"
"123","Energy efficiency contribution","Global",23.707989691075,"2025"
"124","Material efficiency contribution","Global",129.6688518324,"2025"
"125","Price-induced contribution","Global",224.089733750215,"2025"
"126","High scrap use contribution","Global",107.707709938333,"2025"
"127","H2 contribution","Global",75.0943418310298,"2025"
"128","CCUS contribution","Global",449.166736228644,"2025"
"129","1p5 emissions","Global",2524.70695202786,"2025"
"130","Ref emissions","US",81.7551342025972,"2030"
"131","Energy efficiency contribution","US",2.47949876539053,"2030"
"132","Material efficiency contribution","US",8.05331244409847,"2030"
"133","Price-induced contribution","US",2.3394604348818,"2030"
"134","High scrap use contribution","US",5.51953460280141,"2030"
"135","H2 contribution","US",5.40512416553925,"2030"
"136","CCUS contribution","US",18.6527953333333,"2030"
"137","1p5 emissions","US",25.5428554474771,"2030"
"138","Ref emissions","ROW",539.168041542537,"2030"
"139","Energy efficiency contribution","ROW",13.0866665872552,"2030"
"140","Material efficiency contribution","ROW",31.8526824809234,"2030"
"141","Price-induced contribution","ROW",16.1173008905046,"2030"
"142","High scrap use contribution","ROW",9.62882279236049,"2030"
"143","H2 contribution","ROW",42.8182892299607,"2030"
"144","CCUS contribution","ROW",157.168110863,"2030"
"145","1p5 emissions","ROW",212.519441002932,"2030"
"146","Ref emissions","China",2086.51705504924,"2030"
"147","Energy efficiency contribution","China",45.7183826699302,"2030"
"148","Material efficiency contribution","China",125.561729258138,"2030"
"149","Price-induced contribution","China",176.22619664071,"2030"
"150","High scrap use contribution","China",207.691783099022,"2030"
"151","H2 contribution","China",82.5007272803037,"2030"
"152","CCUS contribution","China",492.630024333333,"2030"
"153","1p5 emissions","China",907.575107044001,"2030"
"154","Ref emissions","EU-27",189.876636446547,"2030"
"155","Energy efficiency contribution","EU-27",5.23931362396232,"2030"
"156","Material efficiency contribution","EU-27",12.8145289134415,"2030"
"157","Price-induced contribution","EU-27",9.69079849508301,"2030"
"158","High scrap use contribution","EU-27",18.6021058507281,"2030"
"159","H2 contribution","EU-27",8.17930611241488,"2030"
"160","CCUS contribution","EU-27",51.1021368,"2030"
"161","1p5 emissions","EU-27",78.3405096236339,"2030"
"162","Ref emissions","India",760.582676701919,"2030"
"163","Energy efficiency contribution","India",11.090914054274,"2030"
"164","Material efficiency contribution","India",43.0405202971765,"2030"
"165","Price-induced contribution","India",33.7815124442158,"2030"
"166","High scrap use contribution","India",15.9892779437136,"2030"
"167","H2 contribution","India",37.2347821340317,"2030"
"168","CCUS contribution","India",209.109156666667,"2030"
"169","1p5 emissions","India",195.554462147021,"2030"
"170","Ref emissions","Japan",136.122286765106,"2030"
"171","Energy efficiency contribution","Japan",3.33301316358117,"2030"
"172","Material efficiency contribution","Japan",11.7639413631988,"2030"
"173","Price-induced contribution","Japan",6.08702482285651,"2030"
"174","High scrap use contribution","Japan",4.18239805644186,"2030"
"175","H2 contribution","Japan",4.01347322352205,"2030"
"176","CCUS contribution","Japan",47.0034374333333,"2030"
"177","1p5 emissions","Japan",57.8818218712274,"2030"
"178","Ref emissions","South Korea",94.4031563287315,"2030"
"179","Energy efficiency contribution","South Korea",2.35023147354397,"2030"
"180","Material efficiency contribution","South Korea",12.0398832661078,"2030"
"181","Price-induced contribution","South Korea",7.50946056644275,"2030"
"182","High scrap use contribution","South Korea",12.3062918669469,"2030"
"183","H2 contribution","South Korea",3.65015808861251,"2030"
"184","CCUS contribution","South Korea",5.9443351,"2030"
"185","1p5 emissions","South Korea",41.3905239618858,"2030"
"186","Ref emissions","Global",3888.42498703668,"2030"
"187","Energy efficiency contribution","Global",83.2980203379379,"2030"
"188","Material efficiency contribution","Global",245.126598023085,"2030"
"189","Price-induced contribution","Global",230.945543867941,"2030"
"190","High scrap use contribution","Global",275.901339201227,"2030"
"191","H2 contribution","Global",193.375140385473,"2030"
"192","CCUS contribution","Global",981.609996529667,"2030"
"193","1p5 emissions","Global",1518.80472109818,"2030"
"194","Ref emissions","US",82.3046253663871,"2035"
"195","Energy efficiency contribution","US",4.74474798640165,"2035"
"196","Material efficiency contribution","US",10.6076517298011,"2035"
"197","Price-induced contribution","US",2.271317777802,"2035"
"198","High scrap use contribution","US",8.61289048972301,"2035"
"199","H2 contribution","US",7.50371736189431,"2035"
"200","CCUS contribution","US",22.6802176333333,"2035"
"201","1p5 emissions","US",9.39417806626605,"2035"
"202","Ref emissions","ROW",553.371178366934,"2035"
"203","Energy efficiency contribution","ROW",25.8822022617173,"2035"
"204","Material efficiency contribution","ROW",49.4891084186632,"2035"
"205","Price-induced contribution","ROW",14.8203593003768,"2035"
"206","High scrap use contribution","ROW",15.1229275447517,"2035"
"207","H2 contribution","ROW",56.6554311964011,"2035"
"208","CCUS contribution","ROW",205.715157804273,"2035"
"209","1p5 emissions","ROW",118.774535469511,"2035"
"210","Ref emissions","China",1945.76628828004,"2035"
"211","Energy efficiency contribution","China",87.8647084650943,"2035"
"212","Material efficiency contribution","China",171.003037550086,"2035"
"213","Price-induced contribution","China",176.177811162818,"2035"
"214","High scrap use contribution","China",352.582479343976,"2035"
"215","H2 contribution","China",160.173797106597,"2035"
"216","CCUS contribution","China",609.573004333333,"2035"
"217","1p5 emissions","China",372.507832769495,"2035"
"218","Ref emissions","EU-27",187.383980894037,"2035"
"219","Energy efficiency contribution","EU-27",10.0109747180862,"2035"
"220","Material efficiency contribution","EU-27",19.3033903371091,"2035"
"221","Price-induced contribution","EU-27",9.83975174581951,"2035"
"222","High scrap use contribution","EU-27",27.955218948477,"2035"
"223","H2 contribution","EU-27",12.6640752746053,"2035"
"224","CCUS contribution","EU-27",63.3215132,"2035"
"225","1p5 emissions","EU-27",37.2383279005392,"2035"
"226","Ref emissions","India",907.987062248793,"2035"
"227","Energy efficiency contribution","India",22.237086181684,"2035"
"228","Material efficiency contribution","India",77.277193645534,"2035"
"229","Price-induced contribution","India",46.1764391016865,"2035"
"230","High scrap use contribution","India",31.7694346012309,"2035"
"231","H2 contribution","India",52.5067951539083,"2035"
"232","CCUS contribution","India",230.603266666667,"2035"
"233","1p5 emissions","India",164.815481870591,"2035"
"234","Ref emissions","Japan",128.928592319858,"2035"
"235","Energy efficiency contribution","Japan",6.30023181016976,"2035"
"236","Material efficiency contribution","Japan",13.0925439846554,"2035"
