"","Mitigation measure","region","reduction","total","1p5 emissions","Ref emissions","difference","share"
"1","Ref emissions","US",81.7694549971985,-65.9229742136911,0.588531715254766,81.7694549971985,-81.1809232819437,-1.24037872945691
"2","Energy efficiency","US",-13.7324530706594,-65.9229742136911,0.588531715254766,81.7694549971985,-81.1809232819437,0.169158621453049
"3","Material efficiency","US",-22.1988175407908,-65.9229742136911,0.588531715254766,81.7694549971985,-81.1809232819437,0.273448695128702
"4","Price-induced demand reduction","US",-2.83005338573815,-65.9229742136911,0.588531715254766,81.7694549971985,-81.1809232819437,0.034861064291044
"5","High scrap use","US",-32.0981837624943,-65.9229742136911,0.588531715254766,81.7694549971985,-81.1809232819437,0.39539072068713
"6","H2 contribution","US",-7.20884920587054,-65.9229742136911,0.588531715254766,81.7694549971985,-81.1809232819437,0.0887997932819019
"7","CCUS","US",-3.11256631639059,-65.9229742136911,0.588531715254766,81.7694549971985,-81.1809232819437,0.0383411051581732
"8","1p5 emissions","US",0.588531715254766,-65.9229742136911,0.588531715254766,81.7694549971985,-81.1809232819437,-0.00892756618272447
"9","Ref emissions","ROW",592.766932285532,-455.024738213071,18.372023794658,592.766932285532,-574.394908490874,-1.30271363841313
"10","Energy efficiency","ROW",-85.0385775877394,-455.024738213071,18.372023794658,592.766932285532,-574.394908490874,0.148048975244513
"11","Material efficiency","ROW",-133.255733181817,-455.024738213071,18.372023794658,592.766932285532,-574.394908490874,0.23199323533686
"12","Price-induced demand reduction","ROW",-39.5115318491038,-455.024738213071,18.372023794658,592.766932285532,-574.394908490874,0.0687880955506966
"13","High scrap use","ROW",-79.66467954269,-455.024738213071,18.372023794658,592.766932285532,-574.394908490874,0.138693220230652
"14","H2 contribution","ROW",-110.824668559925,-455.024738213071,18.372023794658,592.766932285532,-574.394908490874,0.192941592833924
"15","CCUS","ROW",-126.099717769598,-455.024738213071,18.372023794658,592.766932285532,-574.394908490874,0.219534880803355
"16","1p5 emissions","ROW",18.372023794658,-455.024738213071,18.372023794658,592.766932285532,-574.394908490874,-0.0403758790495805
"17","Ref emissions","China",1496.44913008207,-1611.35582713926,18.813955042952,1496.44913008207,-1477.63517503912,-0.928689433381581
"18","Energy efficiency","China",-154.274706803265,-1611.35582713926,18.813955042952,1496.44913008207,-1477.63517503912,0.104406493165121
"19","Material efficiency","China",-235.53783983618,-1611.35582713926,18.813955042952,1496.44913008207,-1477.63517503912,0.159401890138373
"20","Price-induced demand reduction","China",-180.175102755305,-1611.35582713926,18.813955042952,1496.44913008207,-1477.63517503912,0.121934768337208
"21","High scrap use","China",-533.425105537866,-1611.35582713926,18.813955042952,1496.44913008207,-1477.63517503912,0.360999192864872
"22","H2 contribution","China",-295.248826403472,-1611.35582713926,18.813955042952,1496.44913008207,-1477.63517503912,0.199811720369783
"23","CCUS","China",-78.9735937030308,-1611.35582713926,18.813955042952,1496.44913008207,-1477.63517503912,0.0534459351246427
"24","1p5 emissions","China",18.813955042952,-1611.35582713926,18.813955042952,1496.44913008207,-1477.63517503912,-0.0116758537909988
"25","Ref emissions","EU-27",174.645486769227,-161.837524676588,3.04894024597945,174.645486769227,-171.596546523248,-1.07914086747331
"26","Energy efficiency","EU-27",-23.9680741022379,-161.837524676588,3.04894024597945,174.645486769227,-171.596546523248,0.139676902524322
