IRONSTL production by tech
scenario,region,sector,subsector,output,technology,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units,
"1p5C,date=2021-12-10T11:26:06-07:00",Africa_Eastern,iron and steel,BLASTFUR,iron and steel,BLASTFUR,0.0,0.0,0.0,0.0,1.68311E-4,1.2732251E-4,3.6017657000000003E-4,0.00144617198,0.016803431400000002,0.2261547538,0.7194518879999999,0.0,0.0,0.0,Mt,
"1p5C,date=2021-12-10T11:26:06-07:00",Africa_Eastern,iron and steel,BLASTFUR,iron and steel,BLASTFUR CCS,0.0,0.0,0.0,0.0,0.0,1.21846E-6,1.39152527E-5,1.68460743E-4,0.0052607568850000005,0.0919362791,0.3395868797,0.0,0.0,0.0,Mt,
"1p5C,date=2021-12-10T11:26:06-07:00",Africa_Eastern,iron and steel,BLASTFUR,iron and steel,BLASTFUR with hydrogen,0.0,0.0,0.0,0.0,0.0,0.0214142,0.1512929,0.5433592,1.16000006,1.0015736,0.56752606,0.0,0.0,0.0,Mt,
"1p5C,date=2021-12-10T11:26:06-07:00",Africa_Eastern,iron and steel,BLASTFUR,iron and steel,Biomass-based,0.0,0.0,0.0,0.0,0.0436626,0.1026406,0.23143149999999998,0.37609974,0.40846709999999997,0.2782033,0.130252174,0.0,0.0,0.0,Mt,
"1p5C,date=2021-12-10T11:26:06-07:00",Africa_Eastern,iron and steel,EAF with DRI,iron and steel,EAF with DRI,0.0139,0.0152,0.0152,0.0152,0.00163484528,0.002107173228,0.005595246487,0.019291645699,0.10919210350000001,0.555417174,1.27048165,0.0,0.0,0.0,Mt,
"1p5C,date=2021-12-10T11:26:06-07:00",Africa_Eastern,iron and steel,EAF with DRI,iron and steel,EAF with DRI CCS,0.0,0.0,0.0,0.0,2.58027E-5,2.000025254E-4,9.7463237031E-4,0.00488507753325,0.03587528696,0.219844597,0.58379326,0.0,0.0,0.0,Mt,
"1p5C,date=2021-12-10T11:26:06-07:00",Africa_Eastern,iron and steel,EAF with DRI,iron and steel,Hydrogen-based DRI,0.0,0.0,0.0,0.0,0.0,6.72212E-4,0.003651552912,0.012390043515,0.0674265598,0.343611797,0.7684804199999999,0.0,0.0,0.0,Mt,
"1p5C,date=2021-12-10T11:26:06-07:00",Africa_Eastern,iron and steel,EAF with scrap,iron and steel,EAF with scrap,0.00438,0.0048,0.0048,0.0048,5.49336433E-4,0.0010263792300999998,0.0035884095926999996,0.012924879899000001,0.0747660211,0.399202238,0.93584672,0.0,0.0,0.0,Mt,
"1p5C,date=2021-12-10T11:26:06-07:00",Africa_Northern,iron and steel,BLASTFUR,iron and steel,BLASTFUR,1.92556,2.1154,1.2631,1.2263,1.54189,2.1958979999999997,2.982761,3.658138,3.997833,4.345731,4.579362,0.0,0.0,0.0,Mt,
"1p5C,date=2021-12-10T11:26:06-07:00",Africa_Northern,iron and steel,BLASTFUR,iron and steel,BLASTFUR CCS,0.0,0.0,0.0,0.0,0.0,0.00961773,0.060114110000000005,0.22700687,0.62166002,1.1325235999999999,1.6020526,0.0,0.0,0.0,Mt,
"1p5C,date=2021-12-10T11:26:06-07:00",Africa_Northern,iron and steel,BLASTFUR,iron and steel,BLASTFUR with hydrogen,0.0,0.0,0.0,0.0,0.0,7.5821E-6,2.295602E-5,3.220139E-5,5.917236E-6,1.1051831E-7,7.02872E-10,0.0,0.0,0.0,Mt,
"1p5C,date=2021-12-10T11:26:06-07:00",Africa_Northern,iron and steel,BLASTFUR,iron and steel,Biomass-based,0.0,0.0,0.0,0.0,9.29721E-6,3.249591E-5,4.47238E-5,3.5602979999999996E-5,3.4612819999999997E-6,2.2854451000000002E-8,0.0,0.0,0.0,0.0,Mt,
"1p5C,date=2021-12-10T11:26:06-07:00",Africa_Northern,iron and steel,EAF with DRI,iron and steel,EAF with DRI,1.9853,4.5832,5.73,4.447,5.20276,5.765739999999999,5.809711,5.486942,4.929161,3.7124120000000005,1.937923,0.0,0.0,0.0,Mt,
"1p5C,date=2021-12-10T11:26:06-07:00",Africa_Northern,iron and steel,EAF with DRI,iron and steel,EAF with DRI CCS,0.0,0.0,0.0,0.0,0.0,0.196133,0.56198,1.0095123,1.4728316000000001,2.1841749999999998,3.2771299999999997,0.0,0.0,0.0,Mt,
"1p5C,date=2021-12-10T11:26:06-07:00",Africa_Northern,iron and steel,EAF with DRI,iron and steel,Hydrogen-based DRI,0.0,0.0,0.0,0.0,0.0,0.0163273,0.04947165,0.07040724000000001,0.07639420999999999,0.08846235999999999,0.11661193,0.0,0.0,0.0,Mt,
"1p5C,date=2021-12-10T11:26:06-07:00",Africa_Northern,iron and steel,EAF with scrap,iron and steel,EAF with scrap,0.6276,1.447,1.81,1.4004,1.590309,1.783522,1.9376630000000001,2.0498416,2.173079,2.2843299999999997,2.38875,0.0,0.0,0.0,Mt,
"1p5C,date=2021-12-10T11:26:06-07:00",Africa_Western,iron and steel,BLASTFUR,iron and steel,BLASTFUR,0.0,0.0,0.0,0.0,0.00300623,0.042063,0.21085689,0.620872499,1.41258282,2.7377216,4.3517718,0.0,0.0,0.0,Mt,
"1p5C,date=2021-12-10T11:26:06-07:00",Africa_Western,iron and steel,BLASTFUR,iron and steel,BLASTFUR CCS,0.0,0.0,0.0,0.0,0.0,3.80033E-4,0.007112821,0.060629942,0.3544365752,0.99279981,2.0298786,0.0,0.0,0.0,Mt,
"1p5C,date=2021-12-10T11:26:06-07:00",Africa_Western,iron and steel,BLASTFUR,iron and steel,BLASTFUR with hydrogen,0.0,0.0,0.0,0.0,0.0,7.5443E-4,0.006326811,0.022116714,0.025888063000000003,0.01469452,2.6483366000000004E-4,0.0,0.0,0.0,Mt,
"1p5C,date=2021-12-10T11:26:06-07:00",Africa_Western,iron and steel,BLASTFUR,iron and steel,Biomass-based,0.0,0.0,0.0,0.0,7.68691E-5,0.0023777862000000003,0.0084104443,0.0146396523,0.012105278,0.006020847700000001,9.985673000000001E-5,0.0,0.0,0.0,Mt,
"1p5C,date=2021-12-10T11:26:06-07:00",Africa_Western,iron and steel,EAF with DRI,iron and steel,EAF with DRI,0.0173,0.095,0.095,0.095,0.08221422,0.03949613,0.0156449,0.008758205,0.0023381998,1.4887171100000002E-4,3.1843105820000002E-6,0.0,0.0,0.0,Mt,
"1p5C,date=2021-12-10T11:26:06-07:00",Africa_Western,iron and steel,EAF with DRI,iron and steel,EAF with DRI CCS,0.0,0.0,0.0,0.0,0.0,0.00309399,0.01133983,0.03137728,0.058162137,0.058544534,0.028521056000000003,0.0,0.0,0.0,Mt,
"1p5C,date=2021-12-10T11:26:06-07:00",Africa_Western,iron and steel,EAF with DRI,iron and steel,Hydrogen-based DRI,0.0,0.0,0.0,0.0,0.0,0.081018,0.37184490000000003,0.9612396000000001,2.0390664000000003,3.7793674999999998,6.499518,0.0,0.0,0.0,Mt,
"1p5C,date=2021-12-10T11:26:06-07:00",Africa_Western,iron and steel,EAF with scrap,iron and steel,EAF with scrap,0.00548,0.03,0.03,0.03,0.02714792,0.03397382,0.0736867,0.164333652,0.32874356,0.5460941500000001,0.8410854999999999,0.0,0.0,0.0,Mt,
"1p5C,date=2021-12-10T11:26:06-07:00",Argentina,iron and steel,BLASTFUR,iron and steel,BLASTFUR,2.03,2.57,2.6,2.82,2.890579,2.292268,2.256615,2.153666,2.0787867,1.808328,1.991781,0.0,0.0,0.0,Mt,
"1p5C,date=2021-12-10T11:26:06-07:00",Argentina,iron and steel,BLASTFUR,iron and steel,BLASTFUR CCS,0.0,0.0,0.0,0.0,0.0,0.00374572,0.044705299999999996,0.14470206,0.330325514,0.49694302,1.0025647,0.0,0.0,0.0,Mt,
"1p5C,date=2021-12-10T11:26:06-07:00",Argentina,iron and steel,BLASTFUR,iron and steel,BLASTFUR with hydrogen,0.0,0.0,0.0,0.0,0.0,1.42064E-4,7.09824E-4,0.001080779,7.955707E-4,6.316966E-5,1.3093342000000001E-7,0.0,0.0,0.0,Mt,
"1p5C,date=2021-12-10T11:26:06-07:00",Argentina,iron and steel,BLASTFUR,iron and steel,Biomass-based,0.0,0.0,0.0,0.0,3.45663E-4,7.30004E-4,0.001208976,0.001082295,6.176299000000001E-4,5.0106923E-5,5.6290287999999996E-8,0.0,0.0,0.0,Mt,
"1p5C,date=2021-12-10T11:26:06-07:00",Argentina,iron and steel,EAF with DRI,iron and steel,EAF with DRI,1.56,2.13,1.93,1.68,1.390435,0.4840991,0.1461264,0.02500207,0.0024748801,3.1953945E-5,5.100133400000001E-7,0.0,0.0,0.0,Mt,
"1p5C,date=2021-12-10T11:26:06-07:00",Argentina,iron and steel,EAF with DRI,iron and steel,EAF with DRI CCS,0.0,0.0,0.0,0.0,0.0,0.0125722,0.043304840000000004,0.06692347,0.06764277,0.02878182,0.00451685,0.0,0.0,0.0,Mt,
"1p5C,date=2021-12-10T11:26:06-07:00",Argentina,iron and steel,EAF with DRI,iron and steel,Hydrogen-based DRI,0.0,0.0,0.0,0.0,0.0,0.329605,1.416424,2.152055,2.4325723,1.8984610000000002,1.837895,0.0,0.0,0.0,Mt,
"1p5C,date=2021-12-10T11:26:06-07:00",Argentina,iron and steel,EAF with scrap,iron and steel,EAF with scrap,0.493,0.674,0.608,0.529,0.5631189999999999,0.4604638,0.5575443,0.720461,0.9673691,2.066351,1.7666396999999998,0.0,0.0,0.0,Mt,
"1p5C,date=2021-12-10T11:26:06-07:00",Australia_NZ,iron and steel,BLASTFUR,iron and steel,BLASTFUR,6.004,6.985,6.69,4.383,4.9189,3.9643800000000002,2.4510229999999997,0.9135234999999999,0.11582246000000002,5.964510999999999E-4,6.94706365E-7,0.0,0.0,0.0,Mt,
"1p5C,date=2021-12-10T11:26:06-07:00",Australia_NZ,iron and steel,BLASTFUR,iron and steel,BLASTFUR CCS,0.0,0.0,0.0,0.0,0.0,0.203622,1.49017,3.125019,3.5784061,2.4302430000000004,1.0461477,0.0,0.0,0.0,Mt,
"1p5C,date=2021-12-10T11:26:06-07:00",Australia_NZ,iron and steel,BLASTFUR,iron and steel,BLASTFUR with hydrogen,0.0,0.0,0.0,0.0,0.0,0.0200846,0.0881566,0.11795725,0.07054553999999999,0.0026069456,5.8876895E-6,0.0,0.0,0.0,Mt,
"1p5C,date=2021-12-10T11:26:06-07:00",Australia_NZ,iron and steel,BLASTFUR,iron and steel,Biomass-based,0.0,0.0,0.0,0.0,0.00162638,0.05764727,0.12048067000000001,0.110322834,0.05883339,0.0021209107999999996,1.8866183899999999E-6,0.0,0.0,0.0,Mt,
"1p5C,date=2021-12-10T11:26:06-07:00",Australia_NZ,iron and steel,EAF with DRI,iron and steel,EAF with DRI,0.869,1.266,1.111,1.017,1.159675,1.244796,1.0877970000000001,0.7460437999999999,0.35971559999999997,0.02530086,1.9952053E-4,0.0,0.0,0.0,Mt,
"1p5C,date=2021-12-10T11:26:06-07:00",Australia_NZ,iron and steel,EAF with DRI,iron and steel,EAF with DRI CCS,0.0,0.0,0.0,0.0,0.0,0.0946133,0.2717299,0.4518101,0.6777594,0.8988386,0.8370917,0.0,0.0,0.0,Mt,
"1p5C,date=2021-12-10T11:26:06-07:00",Australia_NZ,iron and steel,EAF with DRI,iron and steel,Hydrogen-based DRI,0.0,0.0,0.0,0.0,0.0,0.089973,0.2966666,0.4240218,0.5865853,0.872505,1.2210389,0.0,0.0,0.0,Mt,
"1p5C,date=2021-12-10T11:26:06-07:00",Australia_NZ,iron and steel,EAF with scrap,iron and steel,EAF with scrap,0.2738,0.3992,0.3508,0.3214,0.384648,0.5972431,0.9326095,1.2331997000000001,1.7243037,2.9187405,4.127149,0.0,0.0,0.0,Mt,
"1p5C,date=2021-12-10T11:26:06-07:00",Brazil,iron and steel,BLASTFUR,iron and steel,BLASTFUR,20.2,24.7,25.1,26.5,27.30372,24.31557,18.15362,9.75144,3.7698522,0.303227101,0.0012712726000000001,0.0,0.0,0.0,Mt,
"1p5C,date=2021-12-10T11:26:06-07:00",Brazil,iron and steel,BLASTFUR,iron and steel,BLASTFUR CCS,0.0,0.0,0.0,0.0,0.0,0.838748,6.792033,17.413159,22.989584,17.61847,10.079028,0.0,0.0,0.0,Mt,
"1p5C,date=2021-12-10T11:26:06-07:00",Brazil,iron and steel,BLASTFUR,iron and steel,BLASTFUR with hydrogen,0.0,0.0,0.0,0.0,0.0,0.0382373,0.1681219,0.251302,0.14569535,0.018272445999999998,1.5279599E-4,0.0,0.0,0.0,Mt,
"1p5C,date=2021-12-10T11:26:06-07:00",Brazil,iron and steel,BLASTFUR,iron and steel,Biomass-based,0.0,0.0,0.0,0.0,0.0045489,0.12774954,0.26057096,0.24860073100000002,0.12965879000000002,0.01491547,7.4309721E-5,0.0,0.0,0.0,Mt,
