IRONSTL production by tech
scenario,region,sector,subsector,output,technology,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units,
"1p5C_1,date=2021-14-10T09:10:30-07:00",Africa_Eastern,iron and steel,BLASTFUR,iron and steel,BLASTFUR,0.0,0.0,0.0,0.0,1.6811E-4,1.2688197E-4,3.5950089000000003E-4,0.00143077136,0.0165328371,0.2258566702,0.719356246,0.0,0.0,0.0,Mt,
"1p5C_1,date=2021-14-10T09:10:30-07:00",Africa_Eastern,iron and steel,BLASTFUR,iron and steel,BLASTFUR CCS,0.0,0.0,0.0,0.0,0.0,1.2145E-6,1.3891145200000001E-5,1.66725684E-4,0.005174136481,0.0918327268,0.339566904,0.0,0.0,0.0,Mt,
"1p5C_1,date=2021-14-10T09:10:30-07:00",Africa_Eastern,iron and steel,BLASTFUR,iron and steel,BLASTFUR with hydrogen,0.0,0.0,0.0,0.0,0.0,0.0212967,0.1506728,0.5429134,1.16294371,1.003273,0.5684039200000001,0.0,0.0,0.0,Mt,
"1p5C_1,date=2021-14-10T09:10:30-07:00",Africa_Eastern,iron and steel,BLASTFUR,iron and steel,Biomass-based,0.0,0.0,0.0,0.0,0.0436687,0.10280710000000001,0.2321567,0.37749866,0.41081540000000005,0.2797409,0.130990674,0.0,0.0,0.0,Mt,
"1p5C_1,date=2021-14-10T09:10:30-07:00",Africa_Eastern,iron and steel,EAF with DRI,iron and steel,EAF with DRI,0.0139,0.0152,0.0152,0.0152,0.0016338312000000002,0.0021025198540000002,0.0055864360729999995,0.019195447799,0.10822062680000001,0.554170294,1.2697184099999999,0.0,0.0,0.0,Mt,
"1p5C_1,date=2021-14-10T09:10:30-07:00",Africa_Eastern,iron and steel,EAF with DRI,iron and steel,EAF with DRI CCS,0.0,0.0,0.0,0.0,2.57869E-5,1.9956149199E-4,9.7309692087E-4,0.00486071119826,0.03556536788,0.219392456,0.583521367,0.0,0.0,0.0,Mt,
"1p5C_1,date=2021-14-10T09:10:30-07:00",Africa_Eastern,iron and steel,EAF with DRI,iron and steel,Hydrogen-based DRI,0.0,0.0,0.0,0.0,0.0,6.70821E-4,0.003646472067,0.012331643396,0.0668915813,0.34314740099999996,0.7684397599999999,0.0,0.0,0.0,Mt,
"1p5C_1,date=2021-14-10T09:10:30-07:00",Africa_Eastern,iron and steel,EAF with scrap,iron and steel,EAF with scrap,0.00438,0.0048,0.0048,0.0048,5.49002948E-4,0.0010241376236,0.0035829680593,0.012861512245400001,0.0741506129,0.39841196700000003,0.9354275,0.0,0.0,0.0,Mt,
"1p5C_1,date=2021-14-10T09:10:30-07:00",Africa_Northern,iron and steel,BLASTFUR,iron and steel,BLASTFUR,1.92556,2.1154,1.2631,1.2263,1.5418830000000001,2.195932,2.982859,3.6578058,3.996678,4.345147,4.579378,0.0,0.0,0.0,Mt,
"1p5C_1,date=2021-14-10T09:10:30-07:00",Africa_Northern,iron and steel,BLASTFUR,iron and steel,BLASTFUR CCS,0.0,0.0,0.0,0.0,0.0,0.00961806,0.06011688,0.22696503,0.62138028,1.13241375,1.6021315,0.0,0.0,0.0,Mt,
"1p5C_1,date=2021-14-10T09:10:30-07:00",Africa_Northern,iron and steel,BLASTFUR,iron and steel,BLASTFUR with hydrogen,0.0,0.0,0.0,0.0,0.0,7.56665E-6,2.29128E-5,3.247785E-5,6.058648700000001E-6,1.1007136E-7,7.02034E-10,0.0,0.0,0.0,Mt,
"1p5C_1,date=2021-14-10T09:10:30-07:00",Africa_Northern,iron and steel,BLASTFUR,iron and steel,Biomass-based,0.0,0.0,0.0,0.0,9.31073E-6,3.266042E-5,4.499082E-5,3.601139E-5,3.584499E-6,2.2877263E-8,0.0,0.0,0.0,0.0,Mt,
"1p5C_1,date=2021-14-10T09:10:30-07:00",Africa_Northern,iron and steel,EAF with DRI,iron and steel,EAF with DRI,1.9853,4.5832,5.73,4.447,5.20278,5.76563,5.809388,5.487595,4.932069,3.7136210000000003,1.937858,0.0,0.0,0.0,Mt,
"1p5C_1,date=2021-14-10T09:10:30-07:00",Africa_Northern,iron and steel,EAF with DRI,iron and steel,EAF with DRI CCS,0.0,0.0,0.0,0.0,0.0,0.196155,0.562043,1.0092066,1.4714407,2.1833439,3.2766580000000003,0.0,0.0,0.0,Mt,
"1p5C_1,date=2021-14-10T09:10:30-07:00",Africa_Northern,iron and steel,EAF with DRI,iron and steel,Hydrogen-based DRI,0.0,0.0,0.0,0.0,0.0,0.0163414,0.049542840000000005,0.07053438000000001,0.07664779,0.08891009,0.11696507,0.0,0.0,0.0,Mt,
"1p5C_1,date=2021-14-10T09:10:30-07:00",Africa_Northern,iron and steel,EAF with scrap,iron and steel,EAF with scrap,0.6276,1.447,1.81,1.4004,1.590323,1.783566,1.93777,2.049849,2.172838,2.28425,2.388858,0.0,0.0,0.0,Mt,
"1p5C_1,date=2021-14-10T09:10:30-07:00",Africa_Western,iron and steel,BLASTFUR,iron and steel,BLASTFUR,0.0,0.0,0.0,0.0,0.0030064,0.04206083,0.21082508,0.62062843,1.41188641,2.7360561,4.3502419,0.0,0.0,0.0,Mt,
"1p5C_1,date=2021-14-10T09:10:30-07:00",Africa_Western,iron and steel,BLASTFUR,iron and steel,BLASTFUR CCS,0.0,0.0,0.0,0.0,0.0,3.80012E-4,0.007111634,0.060600082,0.3542143913,0.9921811899999999,2.0292924,0.0,0.0,0.0,Mt,
"1p5C_1,date=2021-14-10T09:10:30-07:00",Africa_Western,iron and steel,BLASTFUR,iron and steel,BLASTFUR with hydrogen,0.0,0.0,0.0,0.0,0.0,7.52439E-4,0.006308314,0.02225123,0.026167370000000002,0.014853221000000002,2.6776683E-4,0.0,0.0,0.0,Mt,
"1p5C_1,date=2021-14-10T09:10:30-07:00",Africa_Western,iron and steel,BLASTFUR,iron and steel,Biomass-based,0.0,0.0,0.0,0.0,7.6897E-5,0.002390239,0.0084522383,0.0147752274,0.012249448999999999,0.0060991669,1.013212E-4,0.0,0.0,0.0,Mt,
"1p5C_1,date=2021-14-10T09:10:30-07:00",Africa_Western,iron and steel,EAF with DRI,iron and steel,EAF with DRI,0.0173,0.095,0.095,0.095,0.08221940000000001,0.03947565,0.015627330000000002,0.008815512,0.0023710995,1.47903854E-4,3.176998908E-6,0.0,0.0,0.0,Mt,
"1p5C_1,date=2021-14-10T09:10:30-07:00",Africa_Western,iron and steel,EAF with DRI,iron and steel,EAF with DRI CCS,0.0,0.0,0.0,0.0,0.0,0.00309691,0.01135158,0.03141622,0.058286653,0.058422634,0.028462058,0.0,0.0,0.0,Mt,
"1p5C_1,date=2021-14-10T09:10:30-07:00",Africa_Western,iron and steel,EAF with DRI,iron and steel,Hydrogen-based DRI,0.0,0.0,0.0,0.0,0.0,0.0810355,0.37189900000000004,0.9612729,2.0397803,3.7817537999999997,6.502094,0.0,0.0,0.0,Mt,
"1p5C_1,date=2021-14-10T09:10:30-07:00",Africa_Western,iron and steel,EAF with scrap,iron and steel,EAF with scrap,0.00548,0.03,0.03,0.03,0.027148620000000002,0.03397401,0.07368472000000001,0.16434923299999998,0.32879398,0.54593753,0.8409317,0.0,0.0,0.0,Mt,
"1p5C_1,date=2021-14-10T09:10:30-07:00",Argentina,iron and steel,BLASTFUR,iron and steel,BLASTFUR,2.03,2.57,2.6,2.82,2.7807389999999996,2.07157,1.729545,1.3141148,1.022582,0.5809411,0.2557873,0.0,0.0,0.0,Mt,
"1p5C_1,date=2021-14-10T09:10:30-07:00",Argentina,iron and steel,BLASTFUR,iron and steel,BLASTFUR CCS,0.0,0.0,0.0,0.0,0.0,0.00253207,0.030130360000000002,0.07968594000000001,0.126546514,0.10336309,0.0800872,0.0,0.0,0.0,Mt,
"1p5C_1,date=2021-14-10T09:10:30-07:00",Argentina,iron and steel,BLASTFUR,iron and steel,BLASTFUR with hydrogen,0.0,0.0,0.0,0.0,0.0,9.5848E-5,4.774053E-4,6.448167E-4,4.618925E-4,1.46949885E-4,4.68923102E-7,0.0,0.0,0.0,Mt,
"1p5C_1,date=2021-14-10T09:10:30-07:00",Argentina,iron and steel,BLASTFUR,iron and steel,Biomass-based,0.0,0.0,0.0,0.0,2.81156E-4,5.34234E-4,8.442370000000001E-4,7.037476E-4,3.9162469000000004E-4,1.095288067E-4,2.5183498E-7,0.0,0.0,0.0,Mt,
"1p5C_1,date=2021-14-10T09:10:30-07:00",Argentina,iron and steel,EAF with DRI,iron and steel,EAF with DRI,1.56,2.13,1.93,1.68,1.462172,0.6692691,0.2690023,0.05948982,0.007948113,2.28227E-4,1.6715362800000001E-6,0.0,0.0,0.0,Mt,
"1p5C_1,date=2021-14-10T09:10:30-07:00",Argentina,iron and steel,EAF with DRI,iron and steel,EAF with DRI CCS,0.0,0.0,0.0,0.0,0.0,0.0126664,0.05634577,0.10207376000000001,0.12633091000000002,0.11386656,0.037611729999999996,0.0,0.0,0.0,Mt,
"1p5C_1,date=2021-14-10T09:10:30-07:00",Argentina,iron and steel,EAF with DRI,iron and steel,Hydrogen-based DRI,0.0,0.0,0.0,0.0,0.0,0.332521,1.809073,3.028332,3.8017945,4.665274,5.542245,0.0,0.0,0.0,Mt,
"1p5C_1,date=2021-14-10T09:10:30-07:00",Argentina,iron and steel,EAF with scrap,iron and steel,EAF with scrap,0.493,0.674,0.608,0.529,0.5386770000000001,0.4117393,0.4165273,0.4258409,0.42625430000000003,0.346591,0.2000333,0.0,0.0,0.0,Mt,
"1p5C_1,date=2021-14-10T09:10:30-07:00",Australia_NZ,iron and steel,BLASTFUR,iron and steel,BLASTFUR,6.004,6.985,6.69,4.383,4.859970000000001,3.837587,2.299843,0.8636485999999999,0.20008340999999996,0.00228519007,1.4218418450000002E-6,0.0,0.0,0.0,Mt,
"1p5C_1,date=2021-14-10T09:10:30-07:00",Australia_NZ,iron and steel,BLASTFUR,iron and steel,BLASTFUR CCS,0.0,0.0,0.0,0.0,0.0,0.180259,1.2673720000000002,2.5142379999999998,2.6461948,1.7115986,0.75445,0.0,0.0,0.0,Mt,
"1p5C_1,date=2021-14-10T09:10:30-07:00",Australia_NZ,iron and steel,BLASTFUR,iron and steel,BLASTFUR with hydrogen,0.0,0.0,0.0,0.0,0.0,0.0177664,0.0751406,0.09752477,0.06528795999999999,0.0079034543,1.44797967E-5,0.0,0.0,0.0,Mt,
"1p5C_1,date=2021-14-10T09:10:30-07:00",Australia_NZ,iron and steel,BLASTFUR,iron and steel,Biomass-based,0.0,0.0,0.0,0.0,0.00155783,0.05150465,0.10455545499999999,0.093961748,0.053563609000000005,0.00635042563,6.7784275E-6,0.0,0.0,0.0,Mt,
"1p5C_1,date=2021-14-10T09:10:30-07:00",Australia_NZ,iron and steel,EAF with DRI,iron and steel,EAF with DRI,0.869,1.266,1.111,1.017,1.192402,1.354899,1.311375,1.0514066,0.6630542,0.11966080000000001,7.89337E-4,0.0,0.0,0.0,Mt,
