elec gen by gen tech
scenario,region,subsector,output,technology,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Eastern,biomass,electricity,biomass (IGCC),0.0,0.0,0.0,0.0,0.0,0.00104586,0.00316766,0.00850088,0.0193338,0.0359416,0.058333,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Eastern,biomass,electricity,biomass (conv),0.00129239,0.0021024,0.0027324,0.00243508,0.00375031,0.00764715,0.0154239,0.0328179,0.0627515,0.101066,0.144795,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Eastern,coal,electricity,coal (IGCC),0.0,0.0,0.0,0.0,0.0,0.00110703,0.00283349,0.00643744,0.0130107,0.0226113,0.0353463,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Eastern,coal,electricity,coal (conv pul),6.61842E-4,0.00468229,0.00715193,0.00432125,0.0067735,0.010047,0.0146429,0.0236267,0.039186,0.0608119,0.088488,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Eastern,gas,electricity,gas (CC),0.0,0.0,6.08846E-5,1.16467E-4,7.3699E-4,0.00241056,0.00586339,0.0138875,0.0308577,0.0591475,0.0997106,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Eastern,gas,electricity,gas (steam/CT),0.0,0.0,2.99934E-4,0.00102255,0.00215113,0.00398321,0.00609989,0.00872686,0.0117622,0.0146458,0.0171104,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Eastern,geothermal,electricity,geothermal,0.00117359,0.0036108,0.0052956,0.0161244,0.0238397,0.0386116,0.0573655,0.0727664,0.0728026,0.0728319,0.0728093,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Eastern,hydro,electricity,hydro,0.0220885,0.0372506,0.0651303,0.0967141,0.124544,0.152375,0.180205,0.208035,0.235866,0.263696,0.291526,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Eastern,nuclear,electricity,Gen_III,0.0,0.0,0.0,0.0,6.52078E-4,0.00174034,0.00319884,0.00581545,0.00992552,0.0150909,0.0210032,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Eastern,refined liquids,electricity,refined liquids (CC),0.0,0.0,0.0,0.0,0.0114042,0.0305468,0.0488013,0.0800379,0.131035,0.166811,0.208536,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Eastern,refined liquids,electricity,refined liquids (steam/CT),0.00928196,0.0284453,0.0290975,0.0402832,0.0516692,0.0626778,0.0636226,0.0597536,0.0558448,0.0454738,0.0411365,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Eastern,rooftop_pv,elect_td_bld,rooftop_pv,0.0,0.0,0.0,0.0,0.0113616,0.023092,0.0850781,0.182596,0.284288,0.408426,0.56737,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Eastern,solar,electricity,CSP_storage,0.0,0.0,0.0,0.0,3.47151E-6,8.06706E-5,5.68639E-4,0.00296973,0.0108488,0.0281764,0.0587231,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Eastern,solar,electricity,PV,0.0,5.21001E-5,2.408E-4,6.75301E-4,0.006506881,0.019732781,0.043159381,0.100272881,0.213325881,0.38028357999999995,0.590036,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Eastern,solar,electricity,PV_storage,0.0,0.0,0.0,0.0,7.76991E-6,1.0559380999999999E-4,5.9008481E-4,0.00274059481,0.00955428481,0.024603584810000002,0.0515298149,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Eastern,wind,electricity,wind,0.0,1.03E-5,1.084E-4,0.00327681,0.021994109999999997,0.06849131,0.11542861,0.18975620999999998,0.31131821,0.4715114,0.6560771,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Eastern,wind,electricity,wind_offshore,0.0,0.0,0.0,0.0,7.45119E-5,0.0014333019,0.012000701899999999,0.06672770189999999,0.23506870189999998,0.56336619,1.0585703999999998,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Eastern,wind,electricity,wind_storage,0.0,0.0,0.0,0.0,4.22514E-5,3.716384E-4,0.0018772984,0.007292918400000001,0.0205844184,0.0441375184,0.07953816699999999,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Northern,biomass,electricity,biomass (IGCC),0.0,0.0,0.0,0.0,0.0,4.52161E-4,0.00122398,0.00232174,0.0036886,0.00521867,0.00674372,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Northern,biomass,electricity,biomass (conv),0.0,0.0,0.0,8.38453E-7,0.00112299,0.00277211,0.00532052,0.00841158,0.0113318,0.0136332,0.0153283,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Northern,coal,electricity,coal (IGCC),0.0,0.0,0.0,0.0,0.0,0.00415476,0.00894663,0.014079,0.0194044,0.0248246,0.0298533,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Northern,coal,electricity,coal (conv pul),0.0079653,0.0458462,0.0391365,0.0616071,0.0734867,0.0838251,0.0934391,0.101456,0.10779,0.112798,0.116439,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Northern,gas,electricity,gas (CC),0.0753068,0.198025,0.300178,0.382933,0.45751,0.607198,0.809856,1.05988,1.34459,1.66081,1.95681,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Northern,gas,electricity,gas (steam/CT),0.0605068,0.284423,0.386451,0.494492,0.511598,0.571932,0.617656,0.637662,0.630795,0.611562,0.583397,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Northern,geothermal,electricity,geothermal,0.0,0.0,0.0,0.0,0.00534484,0.0154025,0.0279283,0.0406222,0.0520272,0.0608448,0.0642099,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Northern,hydro,electricity,hydro,0.0408229,0.0516283,0.0603252,0.0564102,0.0615764,0.0667426,0.0719089,0.0770751,0.0822413,0.0874075,0.0925738,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Northern,nuclear,electricity,Gen_III,0.0,0.0,0.0,0.0,5.53999E-4,0.00118058,0.00184837,0.00251016,0.00315045,0.00376053,0.00429408,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Northern,refined liquids,electricity,refined liquids (CC),0.0,0.0,0.0,0.0,0.0317483,0.0644497,0.110337,0.164943,0.221041,0.271184,0.317779,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Northern,refined liquids,electricity,refined liquids (steam/CT),0.117727,0.127341,0.157289,0.214293,0.142476,0.140703,0.139435,0.137613,0.134664,0.12736,0.127749,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Northern,rooftop_pv,elect_td_bld,rooftop_pv,0.0,0.0,0.0,0.0,0.0257064,0.103213,0.166079,0.217828,0.268318,0.322881,0.38348,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Northern,solar,electricity,CSP,0.0,0.0,0.0,1.44E-5,1.44E-5,1.44E-5,1.44E-5,1.44E-5,1.44E-5,0.0,0.0,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Northern,solar,electricity,CSP_storage,0.0,0.0,0.0,0.0,2.01161E-6,1.5445E-5,7.46826E-5,2.65934E-4,7.34785E-4,0.00162207,0.00295597,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Northern,solar,electricity,PV,0.0,7.2E-6,7.676E-4,0.0010805,0.00814705,0.03348205,0.07825055,0.13366325,0.19389095,0.25710485,0.30995059999999997,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Northern,solar,electricity,PV_storage,0.0,0.0,0.0,0.0,4.80915E-6,2.299125E-5,8.581415E-5,2.6877715E-4,7.0185415E-4,0.0015249891499999999,0.0027781999999999998,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Northern,wind,electricity,wind,0.0,0.0028801,0.0082658,0.0181601,0.0327191,0.0611231,0.1003699,0.1442333,0.1883669,0.21372739999999998,0.2373679,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Northern,wind,electricity,wind_offshore,0.0,0.0,0.0,0.0,1.21369E-4,0.001111928,0.0053015779999999995,0.016669577999999997,0.040032278,0.078667809,0.12971345,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Northern,wind,electricity,wind_storage,0.0,0.0,0.0,0.0,4.77538E-5,2.070748E-4,5.835807999999999E-4,0.0012495917999999998,0.0022394188,0.0035495987999999996,0.004978645,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Southern,biomass,electricity,biomass (IGCC),0.0,0.0,0.0,0.0,0.0,5.89613E-5,2.10055E-4,4.52867E-4,8.59261E-4,0.00154574,0.00262833,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Southern,biomass,electricity,biomass (conv),0.0,0.0,4.03201E-4,5.68121E-4,4.98436E-4,7.05785E-4,0.00121901,0.00198165,0.00310536,0.00480383,0.00722413,0.0,0.0,0.0,EJ,
