"","region","scenario","sector","Units","year","value.x","value.y","percent_reduction","absolute_reduction"
"1","China","1p5","iron and steel","MTCO2",2025,1622.00744423566,2052.78082757087,-20.9848697702891,-430.773383335209
"2","China","1p5","iron and steel","MTCO2",2030,994.925580927788,2052.78082757087,-51.5327906630383,-1057.85524664308
"3","China","1p5","iron and steel","MTCO2",2035,402.208097641827,2052.78082757087,-80.406671173085,-1650.57272992904
"4","China","1p5","iron and steel","MTCO2",2040,122.857349850776,2052.78082757087,-94.015077099285,-1929.9234777201
"5","China","1p5","iron and steel","MTCO2",2045,42.1638336576559,2052.78082757087,-97.9460138612289,-2010.61699391321
"6","China","1p5","iron and steel","MTCO2",2050,18.8452610518889,2052.78082757087,-99.0819642896709,-2033.93556651898
"7","EU-27","1p5","iron and steel","MTCO2",2025,139.351079679749,175.668114880345,-20.673663644272,-36.3170352005958
"8","EU-27","1p5","iron and steel","MTCO2",2030,89.6598078347342,175.668114880345,-48.9606819679227,-86.0083070456106
"9","EU-27","1p5","iron and steel","MTCO2",2035,44.7011214476242,175.668114880345,-74.553651083424,-130.966993432721
"10","EU-27","1p5","iron and steel","MTCO2",2040,20.7270089509472,175.668114880345,-88.2010409429934,-154.941105929398
"11","EU-27","1p5","iron and steel","MTCO2",2045,5.85617446892491,175.668114880345,-96.666341827079,-169.81194041142
"12","EU-27","1p5","iron and steel","MTCO2",2050,3.05492833645843,175.668114880345,-98.260965947896,-172.613186543886
"13","Global","1p5","iron and steel","MTCO2",2025,2637.31016947596,3371.12388925013,-21.7676283602085,-733.813719774175
"14","Global","1p5","iron and steel","MTCO2",2030,1651.0824900772,3371.12388925013,-51.0227881169784,-1720.04139917294
"15","Global","1p5","iron and steel","MTCO2",2035,788.663378669106,3371.12388925013,-76.6053279387328,-2582.46051058103
"16","Global","1p5","iron and steel","MTCO2",2040,366.008564097588,3371.12388925013,-89.1428325946513,-3005.11532515254
"17","Global","1p5","iron and steel","MTCO2",2045,142.614745909134,3371.12388925013,-95.7695192880954,-3228.509143341
"18","Global","1p5","iron and steel","MTCO2",2050,56.7820830071126,3371.12388925013,-98.3156334542263,-3314.34180624302
"19","India","1p5","iron and steel","MTCO2",2025,266.67678076938,336.199341480355,-20.6789699244658,-69.5225607109745
"20","India","1p5","iron and steel","MTCO2",2030,180.416432641129,336.199341480355,-46.3364705455048,-155.782908839226
"21","India","1p5","iron and steel","MTCO2",2035,142.625342214229,336.199341480355,-57.5771500365765,-193.573999266126
"22","India","1p5","iron and steel","MTCO2",2040,112.74581053532,336.199341480355,-66.4645950706276,-223.453530945034
"23","India","1p5","iron and steel","MTCO2",2045,44.1861911212529,336.199341480355,-86.8571452499901,-292.013150359102
"24","India","1p5","iron and steel","MTCO2",2050,15.0912462158021,336.199341480355,-95.5112207687998,-321.108095264552
"25","Japan","1p5","iron and steel","MTCO2",2025,110.036912603207,145.427468359434,-24.3355372650486,-35.3905557562268
"26","Japan","1p5","iron and steel","MTCO2",2030,70.2959674263079,145.427468359434,-51.6625241301961,-75.1315009331258
"27","Japan","1p5","iron and steel","MTCO2",2035,33.8509394600102,145.427468359434,-76.7231460178174,-111.576528899424
"28","Japan","1p5","iron and steel","MTCO2",2040,15.1513988667336,145.427468359434,-89.5814738180783,-130.2760694927
"29","Japan","1p5","iron and steel","MTCO2",2045,6.40170735277558,145.427468359434,-95.5980067417846,-139.025761006658
"30","Japan","1p5","iron and steel","MTCO2",2050,3.61400209883113,145.427468359434,-97.5149109452288,-141.813466260603
"31","ROW","1p5","iron and steel","MTCO2",2025,375.953667201241,492.484452329835,-23.661820099561,-116.530785128594
