"","region","scenario","sector","Units","year","emission","value","year "
"1","China","1p5","iron and steel","MTCO2",1990,"value",212.857619333333,"1990"
"2","China","1p5 delay","iron and steel","MTCO2",1990,"value",212.857619333333,"1990"
"3","China","Ref","iron and steel","MTCO2",1990,"value",212.857619333333,"1990"
"4","China","1p5","iron and steel","MTCO2",2005,"value",789.594946576475,"2005"
"5","China","1p5 delay","iron and steel","MTCO2",2005,"value",789.594946576475,"2005"
"6","China","Ref","iron and steel","MTCO2",2005,"value",789.594946576475,"2005"
"7","China","1p5","iron and steel","MTCO2",2010,"value",1353.44089716012,"2010"
"8","China","1p5 delay","iron and steel","MTCO2",2010,"value",1353.44089716012,"2010"
"9","China","Ref","iron and steel","MTCO2",2010,"value",1353.44089716012,"2010"
"10","China","1p5","iron and steel","MTCO2",2015,"value",1600.98110444694,"2015"
"11","China","1p5 delay","iron and steel","MTCO2",2015,"value",1600.98110444694,"2015"
"12","China","Ref","iron and steel","MTCO2",2015,"value",1600.98110444694,"2015"
"13","China","1p5","iron and steel","MTCO2",2020,"value",2052.78082757087,"2020"
"14","China","1p5 delay","iron and steel","MTCO2",2020,"value",2052.78082752893,"2020"
"15","China","Ref","iron and steel","MTCO2",2020,"value",2108.24169595292,"2020"
"16","China","1p5","iron and steel","MTCO2",2025,"value",1622.00744423566,"2025"
"17","China","1p5 delay","iron and steel","MTCO2",2025,"value",1952.8006546338,"2025"
"18","China","Ref","iron and steel","MTCO2",2025,"value",2158.33797390544,"2025"
"19","China","1p5","iron and steel","MTCO2",2030,"value",994.925580927788,"2030"
"20","China","1p5 delay","iron and steel","MTCO2",2030,"value",1657.47674331281,"2030"
"21","China","Ref","iron and steel","MTCO2",2030,"value",2086.51687270004,"2030"
"22","China","1p5","iron and steel","MTCO2",2035,"value",402.208097641827,"2035"
"23","China","1p5 delay","iron and steel","MTCO2",2035,"value",929.935231384441,"2035"
"24","China","Ref","iron and steel","MTCO2",2035,"value",1945.76761429396,"2035"
"25","China","1p5","iron and steel","MTCO2",2040,"value",122.857349850776,"2040"
"26","China","1p5 delay","iron and steel","MTCO2",2040,"value",447.135421736398,"2040"
"27","China","Ref","iron and steel","MTCO2",2040,"value",1816.00652028672,"2040"
"28","China","1p5","iron and steel","MTCO2",2045,"value",42.1638336576559,"2045"
"29","China","1p5 delay","iron and steel","MTCO2",2045,"value",49.1208628400989,"2045"
"30","China","Ref","iron and steel","MTCO2",2045,"value",1662.80583212418,"2045"
"31","China","1p5","iron and steel","MTCO2",2050,"value",18.8452610518889,"2050"
"32","China","1p5 delay","iron and steel","MTCO2",2050,"value",17.9516594650924,"2050"
"33","China","Ref","iron and steel","MTCO2",2050,"value",1496.44913031208,"2050"
"34","China","1p5","iron and steel","MTCO2",2065,"value",0,"2065"
"35","China","1p5 delay","iron and steel","MTCO2",2065,"value",0,"2065"
"36","China","Ref","iron and steel","MTCO2",2065,"value",0,"2065"
"37","China","1p5","iron and steel","MTCO2",2080,"value",0,"2080"
"38","China","1p5 delay","iron and steel","MTCO2",2080,"value",0,"2080"
"39","China","Ref","iron and steel","MTCO2",2080,"value",0,"2080"
"40","China","1p5","iron and steel","MTCO2",2095,"value",0,"2095"
"41","China","1p5 delay","iron and steel","MTCO2",2095,"value",0,"2095"
"42","China","Ref","iron and steel","MTCO2",2095,"value",0,"2095"
"43","EU-27","1p5","iron and steel","MTCO2",1990,"value",318.456406473981,"1990"
"44","EU-27","1p5 delay","iron and steel","MTCO2",1990,"value",318.456406473981,"1990"
"45","EU-27","Ref","iron and steel","MTCO2",1990,"value",318.456406473981,"1990"
"46","EU-27","1p5","iron and steel","MTCO2",2005,"value",218.593651446085,"2005"
"47","EU-27","1p5 delay","iron and steel","MTCO2",2005,"value",218.593651446085,"2005"
"48","EU-27","Ref","iron and steel","MTCO2",2005,"value",218.593651446085,"2005"
"49","EU-27","1p5","iron and steel","MTCO2",2010,"value",184.557419815369,"2010"
"50","EU-27","1p5 delay","iron and steel","MTCO2",2010,"value",184.557419815369,"2010"
"51","EU-27","Ref","iron and steel","MTCO2",2010,"value",184.557419815369,"2010"
"52","EU-27","1p5","iron and steel","MTCO2",2015,"value",173.42559067704,"2015"
"53","EU-27","1p5 delay","iron and steel","MTCO2",2015,"value",173.42559067704,"2015"
"54","EU-27","Ref","iron and steel","MTCO2",2015,"value",173.42559067704,"2015"
"55","EU-27","1p5","iron and steel","MTCO2",2020,"value",175.668114880345,"2020"
"56","EU-27","1p5 delay","iron and steel","MTCO2",2020,"value",175.668114002792,"2020"
"57","EU-27","Ref","iron and steel","MTCO2",2020,"value",178.461545116319,"2020"
"58","EU-27","1p5","iron and steel","MTCO2",2025,"value",139.351079679749,"2025"
"59","EU-27","1p5 delay","iron and steel","MTCO2",2025,"value",167.239925671548,"2025"
"60","EU-27","Ref","iron and steel","MTCO2",2025,"value",188.024317167007,"2025"
"61","EU-27","1p5","iron and steel","MTCO2",2030,"value",89.6598078347342,"2030"
"62","EU-27","1p5 delay","iron and steel","MTCO2",2030,"value",145.049131315393,"2030"
"63","EU-27","Ref","iron and steel","MTCO2",2030,"value",189.793053213901,"2030"
"64","EU-27","1p5","iron and steel","MTCO2",2035,"value",44.7011214476242,"2035"
"65","EU-27","1p5 delay","iron and steel","MTCO2",2035,"value",90.8496321118992,"2035"
"66","EU-27","Ref","iron and steel","MTCO2",2035,"value",187.342763638152,"2035"
"67","EU-27","1p5","iron and steel","MTCO2",2040,"value",20.7270089509472,"2040"
"68","EU-27","1p5 delay","iron and steel","MTCO2",2040,"value",54.359399578845,"2040"
"69","EU-27","Ref","iron and steel","MTCO2",2040,"value",184.19628921903,"2040"
"70","EU-27","1p5","iron and steel","MTCO2",2045,"value",5.85617446892491,"2045"
"71","EU-27","1p5 delay","iron and steel","MTCO2",2045,"value",10.4169300317076,"2045"
"72","EU-27","Ref","iron and steel","MTCO2",2045,"value",179.906331392372,"2045"
"73","EU-27","1p5","iron and steel","MTCO2",2050,"value",3.05492833645843,"2050"
"74","EU-27","1p5 delay","iron and steel","MTCO2",2050,"value",2.72227673774284,"2050"
"75","EU-27","Ref","iron and steel","MTCO2",2050,"value",174.645456464225,"2050"
"76","EU-27","1p5","iron and steel","MTCO2",2065,"value",0,"2065"
"77","EU-27","1p5 delay","iron and steel","MTCO2",2065,"value",0,"2065"
"78","EU-27","Ref","iron and steel","MTCO2",2065,"value",0,"2065"
"79","EU-27","1p5","iron and steel","MTCO2",2080,"value",0,"2080"
