"","region","year","share","scenario","generation"
"1","China",1990,19.5060359825289,"Ref","clean"
"2","China",1990,80.4939640174711,"Ref","conventional"
"3","China",2005,18.0236520893841,"Ref","clean"
"4","China",2005,81.9763479106159,"Ref","conventional"
"5","China",2010,20.4153119722758,"Ref","clean"
"6","China",2010,79.5846880277242,"Ref","conventional"
"7","China",2015,26.8611157592746,"Ref","clean"
"8","China",2015,73.1388842407254,"Ref","conventional"
"9","China",2020,27.6078652636733,"Ref","clean"
"10","China",2020,72.3921347363267,"Ref","conventional"
"11","China",2025,30.4170925711676,"Ref","clean"
"12","China",2025,69.5829074288324,"Ref","conventional"
"13","China",2030,33.6683344042382,"Ref","clean"
"14","China",2030,66.3316655957619,"Ref","conventional"
"15","China",2035,36.6374022189807,"Ref","clean"
"16","China",2035,63.3625977810193,"Ref","conventional"
"17","China",2040,39.5748126098694,"Ref","clean"
"18","China",2040,60.4251873901306,"Ref","conventional"
"19","China",2045,41.7650079916469,"Ref","clean"
"20","China",2045,58.2349920083531,"Ref","conventional"
"21","China",2050,43.9367930883677,"Ref","clean"
"22","China",2050,56.0632069116323,"Ref","conventional"
"23","China",2065,NA,"Ref","clean"
"24","China",2065,NA,"Ref","conventional"
"25","China",2080,NA,"Ref","clean"
"26","China",2080,NA,"Ref","conventional"
"27","China",2095,NA,"Ref","clean"
"28","China",2095,NA,"Ref","conventional"
"29","China",1990,19.5060359825289,"1p5","clean"
"30","China",1990,80.4939640174711,"1p5","conventional"
"31","China",2005,18.0236520893841,"1p5","clean"
"32","China",2005,81.9763479106159,"1p5","conventional"
"33","China",2010,20.4153119722758,"1p5","clean"
"34","China",2010,79.5846880277242,"1p5","conventional"
"35","China",2015,26.8611157592746,"1p5","clean"
"36","China",2015,73.1388842407254,"1p5","conventional"
"37","China",2020,27.6011571508729,"1p5","clean"
"38","China",2020,72.398842849127,"1p5","conventional"
"39","China",2025,52.0462824577719,"1p5","clean"
"40","China",2025,47.9537175422281,"1p5","conventional"
"41","China",2030,80.9775497284004,"1p5","clean"
"42","China",2030,19.0224502715996,"1p5","conventional"
"43","China",2035,96.2905025635773,"1p5","clean"
"44","China",2035,3.70949743642274,"1p5","conventional"
"45","China",2040,99.8521576940532,"1p5","clean"
"46","China",2040,0.1478423059468,"1p5","conventional"
"47","China",2045,99.9987809177991,"1p5","clean"
"48","China",2045,0.00121908220093416,"1p5","conventional"
"49","China",2050,99.9999962599285,"1p5","clean"
"50","China",2050,0.00000374007147502025,"1p5","conventional"
"51","China",2065,NA,"1p5","clean"
"52","China",2065,NA,"1p5","conventional"
"53","China",2080,NA,"1p5","clean"
"54","China",2080,NA,"1p5","conventional"
"55","China",2095,NA,"1p5","clean"
"56","China",2095,NA,"1p5","conventional"
"57","China",1990,19.5060359825289,"1p5 delay","clean"
"58","China",1990,80.4939640174711,"1p5 delay","conventional"
"59","China",2005,18.0236520893841,"1p5 delay","clean"
"60","China",2005,81.9763479106159,"1p5 delay","conventional"
"61","China",2010,20.4153119722758,"1p5 delay","clean"
"62","China",2010,79.5846880277242,"1p5 delay","conventional"
"63","China",2015,26.8611157592746,"1p5 delay","clean"
"64","China",2015,73.1388842407254,"1p5 delay","conventional"
"65","China",2020,27.6011571508729,"1p5 delay","clean"
"66","China",2020,72.398842849127,"1p5 delay","conventional"
"67","China",2025,30.2645093933322,"1p5 delay","clean"
"68","China",2025,69.7354906066678,"1p5 delay","conventional"
"69","China",2030,33.4292838158505,"1p5 delay","clean"
"70","China",2030,66.5707161841495,"1p5 delay","conventional"
"71","China",2035,57.6692791479783,"1p5 delay","clean"
"72","China",2035,42.3307208520217,"1p5 delay","conventional"
"73","China",2040,90.1008519101576,"1p5 delay","clean"
"74","China",2040,9.8991480898424,"1p5 delay","conventional"
"75","China",2045,99.9668629178834,"1p5 delay","clean"
"76","China",2045,0.0331370821166066,"1p5 delay","conventional"
"77","China",2050,99.9999980970086,"1p5 delay","clean"
"78","China",2050,0.00000190299144619606,"1p5 delay","conventional"
"79","China",2065,NA,"1p5 delay","clean"
"80","China",2065,NA,"1p5 delay","conventional"
"81","China",2080,NA,"1p5 delay","clean"
"82","China",2080,NA,"1p5 delay","conventional"
"83","China",2095,NA,"1p5 delay","clean"
"84","China",2095,NA,"1p5 delay","conventional"
"85","EU-27",1990,43.9974795203986,"Ref","clean"
"86","EU-27",1990,56.0025204796014,"Ref","conventional"
"87","EU-27",2005,46.4264615347427,"Ref","clean"
"88","EU-27",2005,53.5735384652573,"Ref","conventional"
"89","EU-27",2010,49.4857379647458,"Ref","clean"
"90","EU-27",2010,50.5142620352542,"Ref","conventional"
"91","EU-27",2015,57.0716554533305,"Ref","clean"
"92","EU-27",2015,42.9283445466695,"Ref","conventional"
"93","EU-27",2020,58.0351853860133,"Ref","clean"
"94","EU-27",2020,41.9648146139867,"Ref","conventional"
"95","EU-27",2025,58.4406688197829,"Ref","clean"
"96","EU-27",2025,41.5593311802171,"Ref","conventional"
"97","EU-27",2030,59.3324310724424,"Ref","clean"
"98","EU-27",2030,40.6675689275576,"Ref","conventional"
"99","EU-27",2035,60.4367387244133,"Ref","clean"
"100","EU-27",2035,39.5632612755867,"Ref","conventional"
"101","EU-27",2040,61.7383217761537,"Ref","clean"
"102","EU-27",2040,38.2616782238463,"Ref","conventional"
"103","EU-27",2045,60.6463787766259,"Ref","clean"
"104","EU-27",2045,39.3536212233741,"Ref","conventional"
"105","EU-27",2050,61.7756440070149,"Ref","clean"
"106","EU-27",2050,38.2243559929851,"Ref","conventional"
"107","EU-27",2065,NA,"Ref","clean"
"108","EU-27",2065,NA,"Ref","conventional"
"109","EU-27",2080,NA,"Ref","clean"
"110","EU-27",2080,NA,"Ref","conventional"
"111","EU-27",2095,NA,"Ref","clean"
"112","EU-27",2095,NA,"Ref","conventional"
"113","EU-27",1990,43.9974795203986,"1p5","clean"
"114","EU-27",1990,56.0025204796014,"1p5","conventional"
"115","EU-27",2005,46.4264615347427,"1p5","clean"
"116","EU-27",2005,53.5735384652573,"1p5","conventional"
"117","EU-27",2010,49.4857379647458,"1p5","clean"
"118","EU-27",2010,50.5142620352542,"1p5","conventional"
"119","EU-27",2015,57.0716554533305,"1p5","clean"
"120","EU-27",2015,42.9283445466695,"1p5","conventional"
"121","EU-27",2020,58.0416516805253,"1p5","clean"
"122","EU-27",2020,41.9583483194747,"1p5","conventional"
"123","EU-27",2025,72.1606101312724,"1p5","clean"
"124","EU-27",2025,27.8393898687276,"1p5","conventional"
"125","EU-27",2030,86.0653494533367,"1p5","clean"
"126","EU-27",2030,13.9346505466633,"1p5","conventional"
"127","EU-27",2035,94.8881631316432,"1p5","clean"
"128","EU-27",2035,5.11183686835677,"1p5","conventional"
"129","EU-27",2040,99.5493535498152,"1p5","clean"
"130","EU-27",2040,0.450646450184837,"1p5","conventional"
"131","EU-27",2045,99.9970383284312,"1p5","clean"
"132","EU-27",2045,0.00296167156880632,"1p5","conventional"
"133","EU-27",2050,99.9999920451517,"1p5","clean"
"134","EU-27",2050,0.00000795484827854824,"1p5","conventional"
"135","EU-27",2065,NA,"1p5","clean"
"136","EU-27",2065,NA,"1p5","conventional"
"137","EU-27",2080,NA,"1p5","clean"
"138","EU-27",2080,NA,"1p5","conventional"
"139","EU-27",2095,NA,"1p5","clean"
"140","EU-27",2095,NA,"1p5","conventional"
"141","EU-27",1990,43.9974795203986,"1p5 delay","clean"
"142","EU-27",1990,56.0025204796014,"1p5 delay","conventional"
"143","EU-27",2005,46.4264615347427,"1p5 delay","clean"
"144","EU-27",2005,53.5735384652573,"1p5 delay","conventional"
"145","EU-27",2010,49.4857379647458,"1p5 delay","clean"
"146","EU-27",2010,50.5142620352542,"1p5 delay","conventional"
"147","EU-27",2015,57.0716554533305,"1p5 delay","clean"
"148","EU-27",2015,42.9283445466695,"1p5 delay","conventional"
"149","EU-27",2020,58.0416516842302,"1p5 delay","clean"
"150","EU-27",2020,41.9583483157698,"1p5 delay","conventional"
"151","EU-27",2025,58.2307912706584,"1p5 delay","clean"
"152","EU-27",2025,41.7692087293416,"1p5 delay","conventional"
"153","EU-27",2030,58.96128156605,"1p5 delay","clean"
"154","EU-27",2030,41.03871843395,"1p5 delay","conventional"
"155","EU-27",2035,74.8194328669293,"1p5 delay","clean"
"156","EU-27",2035,25.1805671330707,"1p5 delay","conventional"
"157","EU-27",2040,91.6976455621682,"1p5 delay","clean"
"158","EU-27",2040,8.30235443783182,"1p5 delay","conventional"
"159","EU-27",2045,99.9364123447041,"1p5 delay","clean"
"160","EU-27",2045,0.0635876552959012,"1p5 delay","conventional"
"161","EU-27",2050,99.9999965016674,"1p5 delay","clean"
"162","EU-27",2050,0.00000349833264731184,"1p5 delay","conventional"
"163","EU-27",2065,NA,"1p5 delay","clean"
"164","EU-27",2065,NA,"1p5 delay","conventional"
"165","EU-27",2080,NA,"1p5 delay","clean"
"166","EU-27",2080,NA,"1p5 delay","conventional"
"167","EU-27",2095,NA,"1p5 delay","clean"
"168","EU-27",2095,NA,"1p5 delay","conventional"
"169","Global",1990,37.083897537804,"Ref","clean"
"170","Global",1990,62.916102462196,"Ref","conventional"
"171","Global",2005,33.8438999925763,"Ref","clean"
"172","Global",2005,66.1561000074237,"Ref","conventional"
"173","Global",2010,32.8608484368569,"Ref","clean"
"174","Global",2010,67.1391515631431,"Ref","conventional"
"175","Global",2015,33.6701385145006,"Ref","clean"
"176","Global",2015,66.3298614854994,"Ref","conventional"
"177","Global",2020,34.7815732349934,"Ref","clean"
"178","Global",2020,65.2184267650066,"Ref","conventional"
"179","Global",2025,36.566993615427,"Ref","clean"
"180","Global",2025,63.433006384573,"Ref","conventional"
"181","Global",2030,38.3854419141018,"Ref","clean"
"182","Global",2030,61.6145580858982,"Ref","conventional"
"183","Global",2035,40.1511704998903,"Ref","clean"
"184","Global",2035,59.8488295001097,"Ref","conventional"
