"","region","year","scenario","input","value","share"
"1","China",2015,"Ref","biomass",0,0
"2","China",2015,"Ref","coal",4413.98820063218,88.278457980913
"3","China",2015,"Ref","electricity",533.1664820884,10.6631718859445
"4","China",2015,"Ref","gas",41.7510334008,0.835008314522532
"5","China",2015,"Ref","hydrogen",0,0
"6","China",2015,"Ref","refined liquids",11.16825615682,0.223361818619883
"7","China",2015,"1p5","biomass",0,0
"8","China",2015,"1p5","coal",4413.98820063218,88.278457980913
"9","China",2015,"1p5","coal with CCS",0,0
"10","China",2015,"1p5","electricity",533.1664820884,10.6631718859445
"11","China",2015,"1p5","gas",41.7510334008,0.835008314522532
"12","China",2015,"1p5","gas with CCS",0,0
"13","China",2015,"1p5","hydrogen",0,0
"14","China",2015,"1p5","refined liquids",11.16825615682,0.223361818619883
"15","China",2015,"1p5","refined liquids with CCS",0,0
"16","China",2015,"1p5 delay","biomass",0,0
"17","China",2015,"1p5 delay","coal",4413.98820063218,88.278457980913
"18","China",2015,"1p5 delay","coal with CCS",0,0
"19","China",2015,"1p5 delay","electricity",533.1664820884,10.6631718859445
"20","China",2015,"1p5 delay","gas",41.7510334008,0.835008314522532
"21","China",2015,"1p5 delay","gas with CCS",0,0
"22","China",2015,"1p5 delay","hydrogen",0,0
"23","China",2015,"1p5 delay","refined liquids",11.16825615682,0.223361818619883
"24","China",2015,"1p5 delay","refined liquids with CCS",0,0
"25","China",2020,"Ref","biomass",2.37251300912,0.0360953961430528
"26","China",2020,"Ref","coal",5825.70615417231,88.6322522319347
"27","China",2020,"Ref","electricity",700.005192225928,10.649874044299
"28","China",2020,"Ref","gas",30.8480583367603,0.469322141387275
"29","China",2020,"Ref","hydrogen",0.57094212342,0.00868630942818081
"30","China",2020,"Ref","refined liquids",13.3935829843023,0.203769876807782
"31","China",2020,"1p5","biomass",2.09172111782,0.0321075448368425
"32","China",2020,"1p5","coal",5584.92630793747,85.727619382382
"33","China",2020,"1p5","coal with CCS",0,0
"34","China",2020,"1p5","electricity",710.915560676438,10.9124266352566
"35","China",2020,"1p5","gas",193.391845868909,2.96853022585874
"36","China",2020,"1p5","gas with CCS",0,0
"37","China",2020,"1p5","hydrogen",0,0
"38","China",2020,"1p5","refined liquids",23.4084951601145,0.359316211665777
"39","China",2020,"1p5","refined liquids with CCS",0,0
"40","China",2020,"1p5 delay","biomass",2.09172111782,0.0321075448368425
"41","China",2020,"1p5 delay","coal",5584.92630793747,85.727619382382
"42","China",2020,"1p5 delay","coal with CCS",0,0
"43","China",2020,"1p5 delay","electricity",710.915560676438,10.9124266352566
"44","China",2020,"1p5 delay","gas",193.391845868909,2.96853022585874
"45","China",2020,"1p5 delay","gas with CCS",0,0
"46","China",2020,"1p5 delay","hydrogen",0,0
"47","China",2020,"1p5 delay","refined liquids",23.4084951601145,0.359316211665777
"48","China",2020,"1p5 delay","refined liquids with CCS",0,0
"49","China",2025,"Ref","biomass",14.13736686544,0.209706284006622
"50","China",2025,"Ref","coal",5966.80229482691,88.5084152204598
"51","China",2025,"Ref","electricity",716.085922034946,10.6220429284113
"52","China",2025,"Ref","gas",27.0431416122738,0.40114377658532
"53","China",2025,"Ref","hydrogen",3.95544483102,0.0586729937053655
