"","region","scenario","sector","Units","year","value","sum","share"
"1","China","1p5","iron and steel","MTCO2",1990,212.857619333333,1394.23405921435,15.266993223023
"2","China","1p5 delay","iron and steel","MTCO2",1990,212.857619333333,1394.23405921435,15.266993223023
"3","China","Ref","iron and steel","MTCO2",1990,212.857619333333,1394.23405921435,15.266993223023
"4","China","1p5","iron and steel","MTCO2",2005,789.594946576475,1773.60592726558,44.5191874044882
"5","China","1p5 delay","iron and steel","MTCO2",2005,789.594946576475,1773.60592723872,44.5191874051625
"6","China","Ref","iron and steel","MTCO2",2005,789.594946576475,1773.6059271881,44.519187406433
"7","China","1p5","iron and steel","MTCO2",2010,1353.44089716012,2407.04336863283,56.2283552842196
"8","China","1p5 delay","iron and steel","MTCO2",2010,1353.44089716012,2407.04336620019,56.228355341046
"9","China","Ref","iron and steel","MTCO2",2010,1353.44089716012,2407.04336620019,56.228355341046
"10","China","1p5","iron and steel","MTCO2",2015,1600.98110444694,2832.45585003857,56.5227205368494
"11","China","1p5 delay","iron and steel","MTCO2",2015,1600.98110444694,2832.45584794581,56.5227205786112
"12","China","Ref","iron and steel","MTCO2",2015,1600.98110444694,2832.45584794581,56.5227205786112
"13","China","1p5","iron and steel","MTCO2",2020,2052.78082757087,3371.12388925013,60.8930699377972
"14","China","1p5 delay","iron and steel","MTCO2",2020,2052.78082752893,3371.12383223504,60.8930709664245
"15","China","Ref","iron and steel","MTCO2",2020,2108.24169595292,3446.52936661416,61.1699907847887
"16","China","1p5","iron and steel","MTCO2",2025,1622.00744423566,2637.31016947596,61.5023391260027
"17","China","1p5 delay","iron and steel","MTCO2",2025,1952.8006546338,3404.63309198114,57.3571542623254
"18","China","Ref","iron and steel","MTCO2",2025,2158.33797390544,3767.95508605028,57.28141457673
"19","China","1p5","iron and steel","MTCO2",2030,994.925580927788,1651.0824900772,60.258986871169
"20","China","1p5 delay","iron and steel","MTCO2",2030,1657.47674331281,3096.29155109838,53.5310294899339
"21","China","Ref","iron and steel","MTCO2",2030,2086.51687270004,3886.38990418573,53.687790575331
"22","China","1p5","iron and steel","MTCO2",2035,402.208097641827,788.663378669106,50.9987034418367
"23","China","1p5 delay","iron and steel","MTCO2",2035,929.935231384441,1832.58829070031,50.7443617370858
"24","China","Ref","iron and steel","MTCO2",2035,1945.76761429396,3897.34198848831,49.9255035878615
"25","China","1p5","iron and steel","MTCO2",2040,122.857349850776,366.008564097588,33.5667964911385
"26","China","1p5 delay","iron and steel","MTCO2",2040,447.135421736398,971.151111350365,46.0417968440221
"27","China","Ref","iron and steel","MTCO2",2040,1816.00652028672,3886.65127936599,46.7241949368546
"28","China","1p5","iron and steel","MTCO2",2045,42.1638336576559,142.614745909134,29.5648485637805
"29","China","1p5 delay","iron and steel","MTCO2",2045,49.1208628400989,245.450107331314,20.0125652313504
"30","China","Ref","iron and steel","MTCO2",2045,1662.80583212418,3807.57494611759,43.6709941538951
