"","Mitigation measure","region","reduction","total","1p5 emissions","Ref emissions","difference","share"
"1","Ref emissions","US",81.7694219208379,-58.050219070656,0.636412063343418,81.7694219208379,-81.1330098574945,-1.40859799032476
"2","Energy efficiency","US",-15.5855719768991,-58.050219070656,0.636412063343418,81.7694219208379,-81.1330098574945,0.192099023619045
"3","Material efficiency","US",-25.19459016921,-58.050219070656,0.636412063343418,81.7694219208379,-81.1330098574945,0.310534395475564
"4","Price-induced demand reduction","US",-6.30010284920497,-58.050219070656,0.636412063343418,81.7694219208379,-81.1330098574945,0.0776515361659914
"5","High scrap use","US",-13.3407653344626,-58.050219070656,0.636412063343418,81.7694219208379,-81.1330098574945,0.164430795281661
"6","H2 contribution","US",-15.9715403536837,-58.050219070656,0.636412063343418,81.7694219208379,-81.1330098574945,0.196856253474841
"7","CCUS","US",-4.74043917403415,-58.050219070656,0.636412063343418,81.7694219208379,-81.1330098574945,0.0584279959828985
"8","1p5 emissions","US",0.636412063343418,-58.050219070656,0.636412063343418,81.7694219208379,-81.1330098574945,-0.010963129399543
"9","Ref emissions","ROW",592.766807956316,-458.082845482299,14.6395087211249,592.766807956316,-578.127299235191,-1.29401660377003
"10","Energy efficiency","ROW",-85.0196363714425,-458.082845482299,14.6395087211249,592.766807956316,-578.127299235191,0.147060407775097
"11","Material efficiency","ROW",-133.226034112962,-458.082845482299,14.6395087211249,592.766807956316,-578.127299235191,0.230444115490149
"12","Price-induced demand reduction","ROW",-50.7741024309348,-458.082845482299,14.6395087211249,592.766807956316,-578.127299235191,0.0878251251897363
"13","High scrap use","ROW",-10.2439986135557,-458.082845482299,14.6395087211249,592.766807956316,-578.127299235191,0.0177192784826241
"14","H2 contribution","ROW",-173.341495460811,-458.082845482299,14.6395087211249,592.766807956316,-578.127299235191,0.299832745642915
"15","CCUS","ROW",-125.522032245485,-458.082845482299,14.6395087211249,592.766807956316,-578.127299235191,0.217118327419478
"16","1p5 emissions","ROW",14.6395087211249,-458.082845482299,14.6395087211249,592.766807956316,-578.127299235191,-0.0319582120690669
