IRONSTL inputs by tech (energy and feedstocks)
scenario,region,sector,input,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units,
"current_policies,date=2021-18-10T11:53:02-07:00",Africa_Eastern,iron and steel,H2 enduse,0.0,0.0,0.0,0.0,4.40949E-5,2.4199360000000001E-4,8.370286000000001E-4,0.00211097453,0.0045350484,0.008479277,0.013985768,0.0,0.0,0.0,EJ,
"current_policies,date=2021-18-10T11:53:02-07:00",Africa_Eastern,iron and steel,elect_td_ind,0.0,0.0,0.001164307,0.0020408989999999997,0.0029583635,0.008787771500000001,0.028642152300000008,0.07635995343,0.1780997902,0.36007314599999996,0.6358453700000001,0.0,0.0,0.0,EJ,
"current_policies,date=2021-18-10T11:53:02-07:00",Africa_Eastern,iron and steel,scrap,0.0,0.0,0.0,0.0,0.00379723,0.0224292,0.08036543,0.215581764,0.5024192599999999,1.0161327,1.7932858,0.0,0.0,0.0,Mt,
"current_policies,date=2021-18-10T11:53:02-07:00",Africa_Northern,iron and steel,H2 enduse,0.0,0.0,0.0,0.0,7.61792638E-5,1.67375537E-4,2.435371584E-4,3.0414537968999995E-4,3.3786168350000004E-4,3.94969927E-4,4.35777514E-4,0.0,0.0,0.0,EJ,
"current_policies,date=2021-18-10T11:53:02-07:00",Africa_Northern,iron and steel,delivered biomass,0.0,0.0,0.0,0.0,1.27743E-7,1.319889E-6,3.4776833E-6,5.9536481000000005E-6,7.766504E-6,9.010181E-6,9.571109E-6,0.0,0.0,0.0,EJ,
"current_policies,date=2021-18-10T11:53:02-07:00",Africa_Northern,iron and steel,delivered coal,0.0,0.0,0.0,0.0,1.41857E-7,1.5187530000000002E-6,4.0704074E-6,7.2145301999999996E-6,1.0147038E-5,1.3184777E-5,1.5868774000000002E-5,0.0,0.0,0.0,EJ,
"current_policies,date=2021-18-10T11:53:02-07:00",Africa_Northern,iron and steel,elect_td_ind,0.003599981,0.003935157,0.0053647389999999994,0.002606132,0.0030509302657199997,0.0037662868727800004,0.0044336987113000005,0.0050065822930080005,0.0054907849872,0.0058780919871,0.0061443790109,0.0,0.0,0.0,EJ,
"current_policies,date=2021-18-10T11:53:02-07:00",Africa_Northern,iron and steel,refined liquids industrial,0.00276271936,0.00535782922,0.0,0.0,1.03864E-10,1.751775E-9,4.963199E-9,8.798046E-9,1.2058421E-8,1.5023850999999998E-8,1.7323335E-8,0.0,0.0,0.0,EJ,
"current_policies,date=2021-18-10T11:53:02-07:00",Africa_Northern,iron and steel,scrap,0.0,0.0,0.0,0.0,0.509023,1.377864,2.236872,2.8486328,3.1473009999999997,3.399468,3.5678400000000003,0.0,0.0,0.0,Mt,
"current_policies,date=2021-18-10T11:53:02-07:00",Africa_Northern,iron and steel,wholesale gas,0.00816278412,0.008748870019999999,0.01385554727,0.00862299419,0.010147351589834,0.012588405151765,0.014859340444589,0.01679515251663,0.018409231508621,0.019685039306451,0.020577369978635,0.0,0.0,0.0,EJ,
"current_policies,date=2021-18-10T11:53:02-07:00",Africa_Western,iron and steel,H2 enduse,0.0,0.0,0.0,0.0,6.13292E-5,0.0011036372999999999,0.0055807743,0.0162990966,0.039317289,0.082003451,0.15043731,0.0,0.0,0.0,EJ,
"current_policies,date=2021-18-10T11:53:02-07:00",Africa_Western,iron and steel,delivered coal,0.00297206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EJ,
"current_policies,date=2021-18-10T11:53:02-07:00",Africa_Western,iron and steel,elect_td_ind,0.0,2.51159E-4,0.001438148,0.0024391449999999998,0.0021309058000000005,0.0039449711999999994,0.0140059046,0.03832895967,0.08855973339999998,0.17758856900000003,0.31462934,0.0,0.0,0.0,EJ,
"current_policies,date=2021-18-10T11:53:02-07:00",Africa_Western,iron and steel,scrap,0.0,0.0,0.0,0.0,0.00199485,0.036138189999999994,0.183253695,0.521910357,1.19996789,2.3760141,4.1198671,0.0,0.0,0.0,Mt,
"current_policies,date=2021-18-10T11:53:02-07:00",Africa_Western,iron and steel,wholesale gas,0.002093,0.00803712,0.00259532,0.0106743,0.008829924,0.008723389,0.017680436,0.039883359,0.079897629,0.13914474,0.2169917,0.0,0.0,0.0,EJ,
"current_policies,date=2021-18-10T11:53:02-07:00",Argentina,iron and steel,H2 enduse,0.0,0.0,0.0,0.0,0.0,0.0042048232999999996,0.01123954036,0.016356838460000002,0.01928384481,0.022749630470000004,0.026161630220000003,0.0,0.0,0.0,EJ,
"current_policies,date=2021-18-10T11:53:02-07:00",Argentina,iron and steel,delivered biomass,0.0,0.0,0.0,0.0,0.0,4.11633E-5,1.573878E-4,2.812685E-4,3.6560313999999997E-4,4.327167E-4,4.800048000000001E-4,0.0,0.0,0.0,EJ,
"current_policies,date=2021-18-10T11:53:02-07:00",Argentina,iron and steel,delivered coal,0.0,0.0,0.0,0.0,0.0,4.76667E-5,1.820433E-4,3.332331E-4,4.6627834E-4,6.231349999999999E-4,7.916366000000001E-4,0.0,0.0,0.0,EJ,
"current_policies,date=2021-18-10T11:53:02-07:00",Argentina,iron and steel,elect_td_ind,0.0,0.0,0.0,0.022939430000000004,0.01272262,0.016889088358666,0.02186684272333,0.026560885950268998,0.030766128677602,0.034439703605591,0.037553388019307,0.0,0.0,0.0,EJ,
"current_policies,date=2021-18-10T11:53:02-07:00",Argentina,iron and steel,refined liquids industrial,0.016743852,0.025534847,0.025116020000000003,0.028422982,0.014242224999999999,0.0146218404347,0.0128729814947,0.012215363627900003,0.013397922096199999,0.013898022952900001,0.0139107010106,0.0,0.0,0.0,EJ,
