IRONSTL inputs by tech (energy and feedstocks)
scenario,region,sector,input,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units,
"0_1p5C,date=2021-20-10T09:40:15-07:00",Africa_Eastern,iron and steel,H2 enduse,0.0,0.0,0.0,0.0,0.0,4.9516449999999996E-5,3.66180418783E-4,0.001519484667313,0.004402452832120001,0.007576460110000001,0.011581458499999999,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T09:40:15-07:00",Africa_Eastern,iron and steel,delivered biomass,0.0,0.0,0.0,0.0,7.32567E-4,0.0019519059999999998,0.004850444,0.00842937,0.0101243,0.007894989,0.004264074,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T09:40:15-07:00",Africa_Eastern,iron and steel,delivered coal,0.0,0.0,0.0,0.0,0.0,1.76589E-4,0.001369098,0.0058340845,0.0165762026,0.01952619,0.013380138000000001,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T09:40:15-07:00",Africa_Eastern,iron and steel,elect_td_ind,0.0,0.0,0.001164307,0.0020408989999999997,2.5665017509999996E-4,3.6072598910899995E-4,0.001160499037265,0.0035986823285929998,0.01298740889803,0.09719137733890001,0.30277470822799996,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T09:40:15-07:00",Africa_Eastern,iron and steel,refined liquids industrial,0.0,0.0,0.0,0.0,4.36626E-7,1.292677E-6,3.893389E-6,9.2956695E-6,1.8171033299999998E-5,1.9002218999999998E-5,1.23381029E-5,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T09:40:15-07:00",Africa_Eastern,iron and steel,scrap,0.0,0.0,0.0,0.0,6.04071E-4,8.119081087399999E-4,0.00275817114338,0.0092706716805,0.037147948148,0.29007513199999996,0.9058170299999999,0.0,0.0,0.0,Mt,
"0_1p5C,date=2021-20-10T09:40:15-07:00",Africa_Eastern,iron and steel,wholesale gas,0.0,0.0,0.0,0.0,4.36626E-7,1.292677E-6,3.893389E-6,9.2956695E-6,1.8171033299999998E-5,1.9002218999999998E-5,1.23381029E-5,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T09:40:15-07:00",Africa_Northern,iron and steel,H2 enduse,0.0,0.0,0.0,0.0,0.0,2.889278816E-4,9.534846208E-4,0.0014067772352,0.00143688949012,0.001344145968571,0.0015357051,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T09:40:15-07:00",Africa_Northern,iron and steel,delivered biomass,0.0,0.0,0.0,0.0,1.55986E-7,1.2625830000000002E-6,2.0681331E-6,2.111817E-6,1.164623E-6,8.3044E-9,0.0,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T09:40:15-07:00",Africa_Northern,iron and steel,delivered coal,0.0,0.0,0.0,0.0,0.0,1.27854E-7,4.3314409999999997E-7,8.579843E-7,7.0088557E-7,1.2936957000000001E-8,2.61282E-10,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T09:40:15-07:00",Africa_Northern,iron and steel,elect_td_ind,0.003599981,0.003935157,0.0053647389999999994,0.002606132,0.00304435399668,0.0035128027754700005,0.0038158888795600003,0.003960479606006,0.004017525939889,0.003923560346044,0.00375246419,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T09:40:15-07:00",Africa_Northern,iron and steel,refined liquids industrial,0.00276271936,0.00535782922,0.0,0.0,0.0,6.76636E-10,1.434089E-9,1.834811E-9,1.064528E-9,0.0,0.0,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T09:40:15-07:00",Africa_Northern,iron and steel,scrap,0.0,0.0,0.0,0.0,0.489917,1.192852,1.85388,2.2544043,2.364447,2.467459,2.5643770000000004,0.0,0.0,0.0,Mt,
"0_1p5C,date=2021-20-10T09:40:15-07:00",Africa_Northern,iron and steel,wholesale gas,0.00816278412,0.008748870019999999,0.01385554727,0.00862299419,0.010088604460000001,0.011438389134836,0.011960527748709001,0.011913581426691,0.011670627506978,0.0106890032198,0.0094437590202,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T09:40:15-07:00",Africa_Western,iron and steel,H2 enduse,0.0,0.0,0.0,0.0,0.0,0.00114277298,0.0051535075399999995,0.01317010322,0.027417382754,0.04835311709,0.079966438699,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T09:40:15-07:00",Africa_Western,iron and steel,delivered biomass,0.0,0.0,0.0,0.0,1.28973E-6,8.903945E-5,3.34519066E-4,6.59125478E-4,7.115384E-4,4.4240383E-4,1.11881212E-4,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T09:40:15-07:00",Africa_Western,iron and steel,delivered coal,0.00297206,0.0,0.0,0.0,0.0,1.17289E-5,1.0449524E-4,4.7507787999999997E-4,0.00103809802,7.782361E-4,2.1201071E-4,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T09:40:15-07:00",Africa_Western,iron and steel,elect_td_ind,0.0,2.51159E-4,0.0014381379999999998,0.0024391449999999998,0.0021604851407,0.0033107840681000007,0.0102423182183,0.025718637983470002,0.055052549408799986,0.10096182827330001,0.16585841489211098,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T09:40:15-07:00",Africa_Western,iron and steel,refined liquids industrial,0.0,0.0,0.0,0.0,7.6871E-10,6.1657128E-8,2.75889804E-7,7.40693551E-7,1.18416476E-6,8.334891E-7,2.21913019E-7,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T09:40:15-07:00",Africa_Western,iron and steel,scrap,0.0,0.0,0.0,0.0,0.00291489,0.02027402,0.0723342,0.175667024,0.36440321,0.6267507999999999,0.9706044,0.0,0.0,0.0,Mt,
"0_1p5C,date=2021-20-10T09:40:15-07:00",Africa_Western,iron and steel,wholesale gas,0.002093,0.00803712,0.00259532,0.0106743,0.009237896862710001,0.004690342911028,0.002991971164504,0.004499580699751,0.007699091263439999,0.008713357484,0.007015756783909,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T09:40:15-07:00",Argentina,iron and steel,H2 enduse,0.0,0.0,0.0,0.0,0.0,0.004738772781,0.026322323617,0.043388067860000004,0.0526698688042,0.06113121263828,0.069121737423238,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T09:40:15-07:00",Argentina,iron and steel,delivered biomass,0.0,0.0,0.0,0.0,4.71159E-6,1.561206E-5,3.2489619999999996E-5,3.0779359999999996E-5,1.9236806E-5,7.782219050000001E-6,4.2092883000000004E-7,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T09:40:15-07:00",Argentina,iron and steel,delivered coal,0.0,0.0,0.0,0.0,0.0,1.46056E-6,8.12964E-6,1.2825559E-5,1.11734E-5,5.8485075000000005E-6,4.0359670999999996E-7,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T09:40:15-07:00",Argentina,iron and steel,elect_td_ind,0.0,0.0,0.0,0.022939430000000004,0.021469749945999997,0.015603165892,0.021738179681299995,0.027135536506199997,0.030744158456700005,0.033093344315390995,0.03488588118532,0.0,0.0,0.0,EJ,
