IRONSTL production by tech,,,,,,,,,,,,,,,,,,,,
scenario,region,sector,subsector,output,technology,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units
"0_1p5C,date=2021-20-10T07:49:36-07:00",Africa_Eastern,iron and steel,BLASTFUR,iron and steel,BLASTFUR,0,0,0,0,1.68E-04,6.13E-05,1.44E-04,3.98E-04,0.00153081,0.018574466,0.289203692,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:01",Africa_Eastern,iron and steel,BLASTFUR,iron and steel,BLASTFUR CCS,0,0,0,0,0,5.98E-07,5.68E-06,4.87E-05,4.81E-04,0.007499341,0.141410026,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:02",Africa_Eastern,iron and steel,BLASTFUR,iron and steel,BLASTFUR with hydrogen,0,0,0,0,0,0.0120549,0.09111974,0.41517221,1.31354912,2.5242783,2.1197746,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:03",Africa_Eastern,iron and steel,BLASTFUR,iron and steel,Biomass-based,0,0,0,0,0.0436626,0.1211784,0.3269045,0.61826379,0.8219126,0.9158991,0.6128605,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:04",Africa_Eastern,iron and steel,EAF with DRI,iron and steel,EAF with DRI,0.0139,0.0152,0.0152,0.0152,0.001634845,0.001405351,0.003236796,0.009775015,0.033801508,0.139382489,0.78102871,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:05",Africa_Eastern,iron and steel,EAF with DRI,iron and steel,EAF with DRI CCS,0,0,0,0,2.58E-05,1.33E-04,5.64E-04,0.002474813,0.011210174,0.056986014,0.370378001,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:06",Africa_Eastern,iron and steel,EAF with DRI,iron and steel,Hydrogen-based DRI,0,0,0,0,0,4.61E-04,0.002238122,0.006779648,0.022513068,0.08912161,0.48259626,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:07",Africa_Eastern,iron and steel,EAF with scrap,iron and steel,EAF with scrap,0.00438,0.0048,0.0048,0.0048,5.49E-04,6.90E-04,0.002113008,0.006681265,0.024047439,0.102067525,0.58743376,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:08",Africa_Northern,iron and steel,BLASTFUR,iron and steel,BLASTFUR,1.92556,2.1154,1.2631,1.2263,1.54189,2.193698,2.979432,3.6332381,3.886986,4.059518,4.204115,0,0,0,Mt
