"","region","scenario","sector","Units","year","value.x","value.y","percent_reduction","absolute_reduction"
"1","China","0_1p5C","iron and steel","MTCO2",2025,1625.033035486,2052.75512717065,-20.836488776632,-427.722091684652
"2","China","0_1p5C_delay","iron and steel","MTCO2",2025,1951.24595526676,2052.75512717065,-4.94502098961061,-101.509171903897
"3","China","1_1p5C","iron and steel","MTCO2",2025,1624.6915297539,2052.75512717056,-20.8531252340204,-428.063597416652
"4","China","1_1p5C_delay","iron and steel","MTCO2",2025,1951.24378571593,2052.75512717065,-4.94512667931518,-101.511341454726
"5","China","2_1p5C","iron and steel","MTCO2",2025,1563.9777632154,2052.75306069192,-23.8107206773215,-488.775297476521
"6","China","2_1p5C_delay","iron and steel","MTCO2",2025,1939.89480515175,2052.75306069192,-5.4978973214699,-112.858255540173
"7","China","3_1p5C","iron and steel","MTCO2",2025,1625.04799018737,2052.75512717048,-20.8357602581007,-427.70713698311
"8","China","3_1p5C_delay","iron and steel","MTCO2",2025,1951.24306336362,2052.75513074059,-4.94516203402878,-101.512067376961
"9","China","0_1p5C","iron and steel","MTCO2",2030,1017.86665084322,2052.75512717065,-50.4146092551156,-1034.88847632744
"10","China","0_1p5C_delay","iron and steel","MTCO2",2030,1652.73236177553,2052.75512717065,-19.4871156379221,-400.022765395121
"11","China","1_1p5C","iron and steel","MTCO2",2030,1017.0790652838,2052.75512717056,-50.4529764986773,-1035.67606188675
"12","China","1_1p5C_delay","iron and steel","MTCO2",2030,1652.72782011999,2052.75512717065,-19.4873368847472,-400.027307050667
"13","China","2_1p5C","iron and steel","MTCO2",2030,914.247737505112,2052.75306069192,-55.4623614982239,-1138.50532318681
"14","China","2_1p5C_delay","iron and steel","MTCO2",2030,1626.42413115394,2052.75306069192,-20.7686417670851,-426.32892953798
"15","China","3_1p5C","iron and steel","MTCO2",2030,1017.58482163032,2052.75512717048,-50.4283385698829,-1035.17030554016
"16","China","3_1p5C_delay","iron and steel","MTCO2",2030,1652.72708995008,2052.75513074059,-19.4873725950053,-400.028040790507
"17","China","0_1p5C","iron and steel","MTCO2",2035,453.178231150074,2052.75512717065,-77.9234149679267,-1599.57689602058
"18","China","0_1p5C_delay","iron and steel","MTCO2",2035,933.783562730586,2052.75512717065,-54.5107182843755,-1118.97156444007
"19","China","1_1p5C","iron and steel","MTCO2",2035,452.42233371319,2052.75512717056,-77.960238524076,-1600.33279345737
"20","China","1_1p5C_delay","iron and steel","MTCO2",2035,933.41463475056,2052.75512717065,-54.5286906170294,-1119.34049242009
"21","China","2_1p5C","iron and steel","MTCO2",2035,378.12444945842,2052.75306069192,-81.5796426419179,-1674.6286112335
"22","China","2_1p5C_delay","iron and steel","MTCO2",2035,901.796862117495,2052.75306069192,-56.0689067094351,-1150.95619857443
"23","China","3_1p5C","iron and steel","MTCO2",2035,452.916354142914,2052.75512717048,-77.9361723106635,-1599.83877302756
"24","China","3_1p5C_delay","iron and steel","MTCO2",2035,933.647432710101,2052.75513074059,-54.5173499396753,-1119.10769803048
"25","China","0_1p5C","iron and steel","MTCO2",2040,194.642764474946,2052.75512717065,-90.517974506622,-1858.11236269571
"26","China","0_1p5C_delay","iron and steel","MTCO2",2040,456.833481480004,2052.75512717065,-77.7453493875977,-1595.92164569065
"27","China","1_1p5C","iron and steel","MTCO2",2040,194.183838435854,2052.75512717056,-90.5403310962126,-1858.5712887347
"28","China","1_1p5C_delay","iron and steel","MTCO2",2040,456.547511105537,2052.75512717065,-77.7592804391236,-1596.20761606512
"29","China","2_1p5C","iron and steel","MTCO2",2040,155.755180642385,2052.75306069192,-92.4123761583926,-1896.99788004954
"30","China","2_1p5C_delay","iron and steel","MTCO2",2040,437.863076102836,2052.75306069192,-78.6694715264365,-1614.88998458909
"31","China","3_1p5C","iron and steel","MTCO2",2040,194.492133363528,2052.75512717048,-90.5253125037073,-1858.26299380695
"32","China","3_1p5C_delay","iron and steel","MTCO2",2040,456.745155580666,2052.75513074059,-77.7496522239414,-1596.00997515992
"33","China","0_1p5C","iron and steel","MTCO2",2045,57.3867129039915,2052.75512717065,-97.2044053309423,-1995.36841426666
"34","China","0_1p5C_delay","iron and steel","MTCO2",2045,146.095036395282,2052.75512717065,-92.8829778836482,-1906.66009077537
"35","China","1_1p5C","iron and steel","MTCO2",2045,57.1828700066738,2052.75512717056,-97.2143355410593,-1995.57225716388
"36","China","1_1p5C_delay","iron and steel","MTCO2",2045,145.762703639951,2052.75512717065,-92.8991674793253,-1906.9924235307
"37","China","2_1p5C","iron and steel","MTCO2",2045,56.7314978384374,2052.75306069192,-97.2363213615516,-1996.02156285348
"38","China","2_1p5C_delay","iron and steel","MTCO2",2045,140.499592135309,2052.75306069192,-93.1555531531907,-1912.25346855661
"39","China","3_1p5C","iron and steel","MTCO2",2045,57.354881123893,2052.75512717048,-97.2059560166365,-1995.40024604658
