IRONSTL inputs by tech (energy and feedstocks)
scenario,region,sector,input,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Africa_Eastern,iron and steel,H2 enduse,0.0,0.0,0.0,0.0,0.0,4.967197E-5,3.6819833857400003E-4,0.0015274189032389999,0.004411635821390001,0.00757453317,0.0115666607,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Africa_Eastern,iron and steel,delivered biomass,0.0,0.0,0.0,0.0,7.32354E-4,0.0019495229999999999,0.004827897,0.008336905,0.009963906,0.007742265,0.004162153,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Africa_Eastern,iron and steel,delivered coal,0.0,0.0,0.0,0.0,0.0,1.77083E-4,0.001375226,0.0058555937999999995,0.0165760262,0.019345552,0.013164688,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Africa_Eastern,iron and steel,elect_td_ind,0.0,0.0,0.001164307,0.0020408989999999997,2.572240108E-4,3.622657089080001E-4,0.001174573136491,0.0036760896609600007,0.01328017542865,0.09862545198389998,0.30438167741800004,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Africa_Eastern,iron and steel,refined liquids industrial,0.0,0.0,0.0,0.0,4.36499E-7,1.291616E-6,3.884439E-6,9.2563049E-6,1.80752766E-5,1.8778931E-5,1.2119629699999999E-5,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Africa_Eastern,iron and steel,scrap,0.0,0.0,0.0,0.0,6.05599E-4,8.1634629761E-4,0.00280019305827,0.009507674601900001,0.038057671257,0.294315586,0.90975723,0.0,0.0,0.0,Mt,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Africa_Eastern,iron and steel,wholesale gas,0.0,0.0,0.0,0.0,4.36499E-7,1.291616E-6,3.884439E-6,9.2563049E-6,1.80752766E-5,1.8778931E-5,1.2119629699999999E-5,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Africa_Northern,iron and steel,H2 enduse,0.0,0.0,0.0,0.0,0.0,2.888276526E-4,9.553143491E-4,0.001402378265,0.00142043455098,0.001339221475448,0.0015430345000000002,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Africa_Northern,iron and steel,delivered biomass,0.0,0.0,0.0,0.0,1.55971E-7,1.249897E-6,2.0210374E-6,2.0284275E-6,1.0866609999999999E-6,7.48752E-9,0.0,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Africa_Northern,iron and steel,delivered coal,0.0,0.0,0.0,0.0,0.0,1.26906E-7,4.237388E-7,8.208439E-7,6.5683654E-7,1.2118781E-8,2.34625E-10,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Africa_Northern,iron and steel,elect_td_ind,0.003599981,0.003935157,0.0053647389999999994,0.002606132,0.0030442839962,0.0035127059727,0.0038155348732699995,0.003959780447765,0.004016604032527999,0.00392247494646,0.00375101497,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Africa_Northern,iron and steel,refined liquids industrial,0.00276271936,0.00535782922,0.0,0.0,0.0,6.69081E-10,1.3998979999999999E-9,1.7587919999999999E-9,8.94558E-10,0.0,0.0,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Africa_Northern,iron and steel,scrap,0.0,0.0,0.0,0.0,0.489726,1.192722,1.8541189999999999,2.2551546,2.365535,2.468867,2.566117,0.0,0.0,0.0,Mt,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Africa_Northern,iron and steel,wholesale gas,0.00816278412,0.008748870019999999,0.01385554727,0.00862299419,0.010088674437000001,0.011438019400681001,0.011957115279038002,0.011907094911312002,0.011663144367658002,0.010677578942900001,0.0094270178582,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Africa_Western,iron and steel,H2 enduse,0.0,0.0,0.0,0.0,0.0,0.00114419334,0.00516172359,0.013181594100000001,0.027392026163,0.04833145699,0.07996713969,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Africa_Western,iron and steel,delivered biomass,0.0,0.0,0.0,0.0,1.29278E-6,8.803203999999999E-5,3.24868889E-4,6.27926034E-4,6.728861E-4,4.1658386E-4,1.00119099E-4,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Africa_Western,iron and steel,delivered coal,0.00297206,0.0,0.0,0.0,0.0,1.16476E-5,1.0219777E-4,4.5719602E-4,9.9464015E-4,7.441704E-4,1.9193574E-4,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Africa_Western,iron and steel,elect_td_ind,0.0,2.51159E-4,0.0014381379999999998,0.0024391449999999998,0.0021601793402000005,0.0033114771865,0.010251042810100003,0.02574708430963,0.05507392471899999,0.10095323192170001,0.16581374198843002,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Africa_Western,iron and steel,refined liquids industrial,0.0,0.0,0.0,0.0,7.70526E-10,6.0997182E-8,2.68456242E-7,7.09006512E-7,1.12930749E-6,7.9315735E-7,2.0020362200000002E-7,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Africa_Western,iron and steel,scrap,0.0,0.0,0.0,0.0,0.00290627,0.02027993,0.07236828,0.175791281,0.36458619000000003,0.6263208,0.9693837999999999,0.0,0.0,0.0,Mt,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Africa_Western,iron and steel,wholesale gas,0.002093,0.00803712,0.00259532,0.0106743,0.009237433331526,0.004682373896082,0.002966694439942,0.004461295107911999,0.00766397312817,0.008651255449950001,0.006874738645352,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Argentina,iron and steel,H2 enduse,0.0,0.0,0.0,0.0,0.0,0.0047561211540000006,0.026383300295000002,0.043429001572,0.0526376472748,0.06111582823705,0.06912563514610301,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Argentina,iron and steel,delivered biomass,0.0,0.0,0.0,0.0,4.71132E-6,1.5507240000000002E-5,3.168975E-5,2.9691494999999998E-5,1.8432541E-5,7.3762760399999995E-6,3.6232791000000003E-7,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Argentina,iron and steel,delivered coal,0.0,0.0,0.0,0.0,0.0,1.45382E-6,7.950299999999999E-6,1.2385554999999999E-5,1.0740651999999999E-5,5.58188492E-6,3.5274261500000003E-7,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Argentina,iron and steel,elect_td_ind,0.0,0.0,0.0,0.022939430000000004,0.021469849936999998,0.015600024297499999,0.021734279705499997,0.0271260730005,0.030718513451,0.03307706873553301,0.03486446205261,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Argentina,iron and steel,refined liquids industrial,0.016743852,0.025534847,0.025116020000000003,0.028422982,0.025031242908049995,0.012618052756129998,0.006530125302834,0.0036701326699140006,0.0034248248868660003,0.0030269033752509996,0.002034841163397,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Argentina,iron and steel,scrap,0.0,0.0,0.0,0.0,0.117239,0.15743469999999998,0.3333771,0.44318290000000005,0.47536900000000004,0.429763,0.306544,0.0,0.0,0.0,Mt,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Argentina,iron and steel,wholesale gas,0.0,0.052283247000000005,0.04659028,0.06969671599999999,0.060669386408049995,0.029258180172130003,0.013424250209033999,0.006018618084714,0.005229364080066001,0.004656419186251,0.003062833732207,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Australia_NZ,iron and steel,H2 enduse,0.0,0.0,0.0,0.0,0.0,0.0016784027,0.0064001818999999995,0.010222717499999999,0.012902363600000001,0.019421670529,0.0262248398174,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Australia_NZ,iron and steel,delivered biomass,0.0,0.0,0.0,0.0,2.60894E-5,0.0018084996,0.003774953,0.0035375711600000004,0.0021641523999999996,6.749015299999999E-4,8.9476867E-6,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Australia_NZ,iron and steel,delivered coal,0.14504513,0.12641689,0.15433787000000002,0.09786878,0.10872038999999999,0.091211948,0.07850240100000001,0.07144786299999999,0.0641560444,0.03987055165700001,0.021532845758050007,0.0,0.0,0.0,EJ,
