LUC emissions by region
scenario,region,LandLeaf,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,All LandLeaf,25.817975012669912,28.725265006037706,30.907458715019086,43.062764705487794,37.218791338406,35.547432755183394,47.44507797716602,71.06934129184023,9.330444057452294,13.347479883384592,15.908346732163787,18.09828217454134,19.641239352122856,22.17855177342721,23.193562356167636,-4.555313606978783,-4.0060681347157665,-2.8378361679334376,-1.8743762891674882,-1.20454338284273,-0.7655662537895291,-0.48466206740229195,-0.3066553564069815,-0.19424075148601075,-0.12327471071715992,MtC/yr,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Northern,All LandLeaf,-29.853562027829007,-33.030637791953,-33.3633785091962,-0.4301646063949951,8.818295356527301,11.1557439161278,2.529504206068997,2.2701947320439992,-0.012780466303325355,0.27869754394974966,0.6490518878051802,0.4838169087627218,0.2446240997611568,0.25851720338623285,0.3441274624047816,-0.22984768621929452,-0.22085642992089496,-0.17800409611727677,-0.1351790311209876,-0.10004059578989515,-0.07308422409230185,-0.05301519829904718,-0.03830405449797306,-0.027614022161221104,-0.0198856853561258,MtC/yr,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Southern,All LandLeaf,5.3887783186558575,9.208798198235522,12.917132302396636,19.270567885975613,20.39909132118857,21.000369685558734,58.556192785733806,121.72807247830201,14.192122377547214,14.931762371129434,16.956037068587992,16.989863071591394,14.630281762846804,16.76997278533482,15.814676363293822,-1.6032864294271334,-1.4722821230285636,-1.0613778082565384,-0.7089147460334659,-0.45960999843163125,-0.2944258178751646,-0.18782922117351872,-0.11978645311169825,-0.07652093749554736,-0.04901897530508881,MtC/yr,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Western,All LandLeaf,58.22517421859592,63.11473045782463,67.3977455943274,148.0191709080117,150.00085478858227,150.2591542600571,115.49884935355045,174.6677763362017,65.64196917237962,73.75413031668037,90.2586759685219,71.27325066696505,56.940978998721334,58.3756195508896,59.51859485902635,-2.884996611165006,-2.7490471637178198,-2.0025096651279237,-1.3394307476326954,-0.8649765727727886,-0.5497074039666403,-0.3467438849911239,-0.2180009493571894,-0.13691315289354583,-0.08600182325920135,MtC/yr,
"current_policies,date=2021-21-10T09:40:21-07:00",Argentina,All LandLeaf,-9.822774728855373,-7.734966227216005,-7.01132661109599,43.82754369174127,43.07109394463402,41.81656619391121,35.79954410038218,46.948493739445055,7.006192950011545,5.144514346329448,2.759118032276993,2.4390376638650118,1.8622886749983627,3.0255641486396128,2.5113552150927014,-0.2378098533882601,-0.21867689118099043,-0.1658515064040469,-0.11868902710837305,-0.08249869850388901,-0.0562849242562347,-0.03790430411534671,-0.025290968777345397,-0.016764923240197304,-0.011063826053382235,MtC/yr,
"current_policies,date=2021-21-10T09:40:21-07:00",Australia_NZ,All LandLeaf,-34.828963306788616,-17.801665489976596,-7.674720762893589,3.0918468478577754,4.7182236009041985,5.415729978606573,21.966856582109287,-0.566221185775798,-22.915280344815965,-9.120350634406805,-2.803797369614391,1.1108496541862567,1.5298775277795686,3.604044841117075,3.712671727955384,-4.333914549381934,-3.5781639873767537,-2.748052019040403,-2.0464015350766402,-1.5023697036512036,-1.0957759247749577,-0.7970878562598527,-0.5794416212177009,-0.421405456092394,-0.3067723336491844,MtC/yr,
"current_policies,date=2021-21-10T09:40:21-07:00",Brazil,All LandLeaf,216.89161832438467,221.40395116871215,224.39014644452558,151.20175216129397,157.27899771715317,160.88196754065484,167.39872342548216,251.64147203263602,35.77566195607802,54.435910601785324,45.8249881151967,45.91574850891959,38.84094829432844,50.69586935388763,43.54702239710652,-1.7140787950412393,-1.742824432978694,-1.241274523670123,-0.802777140071989,-0.5020270944347033,-0.3104377295833813,-0.19156451295200724,-0.11843434985354336,-0.07348836490870837,-0.045798025187372166,MtC/yr,
"current_policies,date=2021-21-10T09:40:21-07:00",Canada,All LandLeaf,84.15083453015005,81.14380412440934,79.2205691814715,73.24987308540906,74.10909602722032,74.60948544906363,23.66094257158358,34.846908628130954,20.13043618633003,14.434920951746445,10.713140036232065,9.177477474454413,5.911554265420232,9.661489043998724,7.95827950976699,-5.938148292820425,-4.5671637014964395,-3.467949847592956,-2.6128956188129266,-1.9579126771291993,-1.4612723747180645,-1.087444343478697,-0.8075606433967996,-0.5988263329398918,-0.44358927374185503,MtC/yr,
"current_policies,date=2021-21-10T09:40:21-07:00",Central America and Caribbean,All LandLeaf,40.59811702098155,40.59597585544695,40.730718441828216,23.74224912118842,23.788036108507352,24.107121590750154,8.098691158687027,4.615095704281577,-1.912896536338933,-0.3126203061858744,0.8309808935697531,2.593805156755618,1.9782114491825913,3.141192403404817,2.9946211999703,-0.9483575227666866,-0.6570542617527818,-0.4469612007544457,-0.30055402132249365,-0.20071834154153595,-0.13353036154607806,-0.08866043627999357,-0.058823534963155774,-0.039026640974426416,-0.02590288673421456,MtC/yr,
"current_policies,date=2021-21-10T09:40:21-07:00",Central Asia,All LandLeaf,-4.10947624330247,-2.4272268911082353,-0.8327091952099571,0.9605273451308498,-7.081843179845265,-12.27185270441621,13.570573861980812,-1.573856422204906,-21.02984844066705,-10.921957653828013,-6.552723326136118,-4.037170722308224,-2.8610931115638216,-1.5973498849542862,-1.29659829457555,-2.2686175773248705,-1.6736814672322098,-1.2219804016108031,-0.8900850070175783,-0.6484449750901802,-0.47283791844002615,-0.34517477473699815,-0.2522624629717833,-0.1845598094850578,-0.13516074089439029,MtC/yr,
"current_policies,date=2021-21-10T09:40:21-07:00",China,All LandLeaf,308.3586541078889,312.81693182758164,313.3434899416241,29.925465579469662,20.997869337443653,17.816060113430066,-21.66619305019019,-37.084631537422005,-10.081817601275551,-2.283887830918846,-6.023862925894056,-6.506932366253931,-10.868859092356526,-13.163012630466746,-19.18064291461637,-22.975056057957932,-18.98264328572889,-15.063451167320652,-11.664475420856025,-8.891207249318244,-6.70625762639634,-5.021941983443308,-3.7419243708575975,-2.778491463962983,-2.0581266282472948,MtC/yr,
"current_policies,date=2021-21-10T09:40:21-07:00",Colombia,All LandLeaf,1.1800885564600034,2.8433107387060077,4.210943173610008,-2.6243748370501017,-4.90764908046959,-6.862758276775699,-7.959582927410092,3.87668687491581,-2.9303198822088,5.6087813947309995,5.127113836907481,6.73497087674108,6.81888239093519,7.3693402181020575,6.741774529331535,-0.7564970884370038,-0.6387935880463129,-0.46081839198641095,-0.3151027205550515,-0.21094839198995802,-0.14001093237163836,-0.09263740750348341,-0.06125844867657762,-0.0405362777092381,-0.02685904768266161,MtC/yr,
"current_policies,date=2021-21-10T09:40:21-07:00",EU-12,All LandLeaf,-3.8648029893646916,-6.8916633250149975,-9.018251272118329,-15.82917501759553,-22.830047927668456,-28.291808494575502,-26.756847143654284,-18.927206263495055,-25.125464095283036,-20.832187130759444,-18.18598471803072,-14.413211917754829,-11.422342237967467,-8.106712453545676,-6.324208187633852,-6.318092545070682,-4.745920300801907,-3.5516243331555586,-2.6502556411875955,-1.9733000967406962,-1.46679144924736,-1.0888977088334768,-0.8075864580316123,-0.5985214074554486,-0.4433457935579426,MtC/yr,
"current_policies,date=2021-21-10T09:40:21-07:00",EU-15,All LandLeaf,-5.164528099146524,-1.894168906203227,0.5021383036493164,-2.775850459617414,-6.217496846870156,-8.44544793451604,-20.282651296681696,1.2695932183283754,-18.223504380749404,-15.057898094038134,-12.60301434866925,-10.090721896646482,-11.566771463056831,-7.142761605661722,-5.354906518497002,-7.91942291104172,-5.883113729738468,-4.351807898424332,-3.2113154514792215,-2.366214781693268,-1.741884615584259,-1.2815375177569668,-0.9425308438223607,-0.693089217576517,-0.5096452437443254,MtC/yr,
"current_policies,date=2021-21-10T09:40:21-07:00",Europe_Eastern,All LandLeaf,3.8045105849806067,1.2901214203988918,-0.1596605844214541,-8.785935932362737,-17.069069171309778,-23.149370506837798,-17.387274420034327,-5.839932065212663,-11.68163924341411,-10.198082133638998,-9.799525174940364,-8.554009670746826,-6.760264023227906,-4.816178267111832,-4.1172987666353,-4.0001516208120345,-2.735993598812378,-1.9099762184760325,-1.3550928172601302,-0.9731246207263011,-0.7049677101646841,-0.5138817730122873,-0.37621869404947567,-0.27626758524506206,-0.20329902442480904,MtC/yr,
"current_policies,date=2021-21-10T09:40:21-07:00",Europe_Non_EU,All LandLeaf,3.550130298921991,0.8245730201769972,-0.9070113479690031,-1.0349239927138092,-3.1425698414469982,-4.495369675513003,-9.738329464011493,-2.330227328387598,-5.829874318465198,-3.4902169891792996,-2.8638787182874177,-1.7198548199665011,-1.1950773054570998,-0.4680974587302002,-0.44834441689305,-1.696206862271511,-1.2971678820005088,-0.9788527593348304,-0.7339210313774539,-0.5481735769215883,-0.40836790448420984,-0.3036418785519552,-0.22545512613523555,-0.16722689507775593,-0.12394249462164601,MtC/yr,
"current_policies,date=2021-21-10T09:40:21-07:00",European Free Trade Association,All LandLeaf,1.156440472657999,2.0160801559980004,2.553410881248998,2.7504931292519994,2.999588646341703,3.1243066144914984,4.424946082116699,5.567428671879798,2.2843187143381023,0.7367707785082016,0.2738922278349805,-0.02064544393193927,-0.44949356960656023,-0.21937860292109032,-0.21109874421158967,-0.6886676149537606,-0.444486305919042,-0.2956207670396899,-0.2014803803419037,-0.1399482198145497,-0.0985953324728148,-0.07017994369752527,-0.05032147581147415,-0.036268777001369774,-0.026234920041519817,MtC/yr,
"current_policies,date=2021-21-10T09:40:21-07:00",India,All LandLeaf,49.779888686593964,50.07846540622934,50.56089436187585,40.982054997889925,40.542619079380714,40.576244320989396,11.920446194758084,0.8569230921566269,17.50564678520307,27.69665713580316,17.44951589196539,20.19370356534403,23.790956959127524,11.072786866470757,6.66431913278809,-0.906398826080262,-0.6801023288580007,-0.47539038425531566,-0.32255930194286625,-0.2160175402862323,-0.1439055809620319,-0.09574470758981334,-0.06376023218887152,-0.04255194195258586,-0.028479420329354386,MtC/yr,
"current_policies,date=2021-21-10T09:40:21-07:00",Indonesia,All LandLeaf,71.46304020476839,70.77635917465801,70.38451104432792,55.53775958470256,55.25510715176909,55.06939380123632,217.57338890287411,167.73284579931473,27.48379231817691,29.60355857082967,26.27385393293584,23.060143252913456,16.965397137282768,15.933479759074693,10.567814914337422,-1.1643996771800045,-0.8925097027174094,-0.6387859447205869,-0.44217810314951334,-0.3006022530501145,-0.2022585483812624,-0.1352720385313813,-0.09015537063453034,-0.05996923107786625,-0.03985069428197593,MtC/yr,
