hydrogen production by tech
scenario,region,sector,subsector,technology,1990,2005,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,H2 central production,biomass,biomass to H2,0.0,0.0,8.59794E-6,6.43101E-5,2.64498E-4,7.35836E-4,0.00146844,0.00243804,0.00379791,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,H2 central production,coal,coal chemical,0.0,0.0,4.99057E-5,3.77937E-4,0.00153823,0.00432473,0.00923726,0.0166705,0.0282353,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,H2 central production,electricity,electrolysis,0.0,0.0,1.58479E-7,1.27248E-6,4.7597E-6,1.42419E-5,3.54037E-5,7.39405E-5,1.38669E-4,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,H2 central production,gas,natural gas steam reforming,0.0,0.0,7.69516E-5,4.80618E-4,0.00168138,0.003732,0.00704811,0.0119551,0.0187986,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,H2 central production,nuclear,thermal splitting,0.0,0.0,9.05266E-6,6.51902E-5,2.53288E-4,6.68491E-4,0.00133166,0.00224311,0.00352329,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,H2 central production,solar,electrolysis,0.0,0.0,8.67104E-6,6.26841E-5,2.44604E-4,6.48615E-4,0.00129859,0.00219945,0.00347473,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,H2 central production,wind,electrolysis,0.0,0.0,8.18875E-6,5.76548E-5,2.22084E-4,5.80178E-4,0.00114005,0.00189616,0.0029461,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,H2 forecourt production,electricity,electrolysis,0.0,0.0,4.31459E-6,3.13318E-5,1.1013E-4,2.95358E-4,6.60778E-4,0.00125516,0.00215434,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,H2 forecourt production,gas,natural gas steam reforming,0.0,0.0,7.71434E-5,5.27576E-4,0.00202303,0.00488043,0.00955278,0.0167066,0.0273336,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Northern,H2 central production,biomass,biomass to H2,0.0,0.0,4.19514E-6,2.90395E-5,7.78288E-5,1.55811E-4,2.47053E-4,3.31338E-4,4.3123E-4,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Northern,H2 central production,coal,coal chemical,0.0,0.0,2.33952E-5,1.63128E-4,4.31613E-4,8.76458E-4,0.00147809,0.00212931,0.0029739,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Northern,H2 central production,electricity,electrolysis,0.0,0.0,1.11675E-7,8.963E-7,2.78831E-6,6.39567E-6,1.17736E-5,1.8773E-5,2.80391E-5,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Northern,H2 central production,gas,natural gas steam reforming,0.0,0.0,3.89405E-5,2.5703E-4,6.88709E-4,0.00137181,0.00219025,0.00308551,0.00402678,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Northern,H2 central production,nuclear,thermal splitting,0.0,0.0,4.19687E-6,2.80101E-5,7.09837E-5,1.34736E-4,2.11277E-4,2.8347E-4,3.66632E-4,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Northern,H2 central production,solar,electrolysis,0.0,0.0,4.01994E-6,2.69333E-5,6.85501E-5,1.3073E-4,2.0603E-4,2.77951E-4,3.61579E-4,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Northern,H2 central production,wind,electrolysis,0.0,0.0,2.28252E-6,1.51E-5,3.8154E-5,7.26518E-5,1.1483E-4,1.56631E-4,2.05525E-4,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Northern,H2 forecourt production,electricity,electrolysis,0.0,0.0,2.76355E-6,2.02085E-5,5.74094E-5,1.21111E-4,2.058E-4,3.03023E-4,4.16323E-4,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Northern,H2 forecourt production,gas,natural gas steam reforming,0.0,0.0,3.53961E-5,2.44439E-4,6.67431E-4,0.00137301,0.00228166,0.00331268,0.00454625,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Southern,H2 central production,biomass,biomass to H2,0.0,0.0,3.30612E-6,2.61269E-5,9.31873E-5,2.34241E-4,4.59827E-4,7.51798E-4,0.0011807,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Southern,H2 central production,coal,coal chemical,0.0,0.0,2.18019E-5,1.68978E-4,5.76753E-4,0.00142338,0.00290261,0.00492645,0.00795049,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Southern,H2 central production,electricity,electrolysis,0.0,0.0,4.58867E-8,4.02249E-7,1.65154E-6,4.71914E-6,1.06039E-5,2.01299E-5,3.6715E-5,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Southern,H2 central production,gas,natural gas steam reforming,0.0,0.0,3.03435E-5,2.06038E-4,6.81615E-4,0.0015137,0.0026526,0.00428738,0.00668564,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Southern,H2 central production,nuclear,thermal splitting,0.0,0.0,3.52007E-6,2.6473E-5,8.80799E-5,2.0769E-4,4.03332E-4,6.6045E-4,0.00103251,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Southern,H2 central production,solar,electrolysis,0.0,0.0,3.37168E-6,2.54552E-5,8.50601E-5,2.01515E-4,3.93316E-4,6.47593E-4,0.00101828,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Southern,H2 central production,wind,electrolysis,0.0,0.0,3.05615E-6,2.17816E-5,7.02103E-5,1.6313E-4,3.13861E-4,5.10188E-4,7.91279E-4,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Southern,H2 forecourt production,electricity,electrolysis,0.0,0.0,1.35972E-6,1.07858E-5,4.01146E-5,1.03618E-4,2.11312E-4,3.69093E-4,6.17229E-4,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Southern,H2 forecourt production,gas,natural gas steam reforming,0.0,0.0,3.2746E-5,2.41112E-4,8.27521E-4,0.00196525,0.00372885,0.00630285,0.0102276,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Western,H2 central production,biomass,biomass to H2,0.0,0.0,6.15216E-6,9.35013E-5,5.00081E-4,0.00144207,0.00321963,0.00605541,0.0103936,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Western,H2 central production,coal,coal chemical,0.0,0.0,3.61821E-5,5.50717E-4,0.00288986,0.00834452,0.0197375,0.0397833,0.0734814,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Western,H2 central production,electricity,electrolysis,0.0,0.0,1.61501E-7,2.86322E-6,1.74811E-5,5.54637E-5,1.37567E-4,2.93482E-4,5.61591E-4,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Western,H2 central production,gas,natural gas steam reforming,0.0,0.0,5.61221E-5,7.58624E-4,0.0038382,0.0099852,0.0202909,0.036859,0.0621585,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Western,H2 central production,nuclear,thermal splitting,0.0,0.0,6.40958E-6,9.28012E-5,4.66557E-4,0.00127121,0.00282609,0.0053537,0.00921248,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Western,H2 central production,solar,electrolysis,0.0,0.0,6.13938E-6,8.92335E-5,4.50561E-4,0.00123341,0.00275591,0.00524948,0.00908549,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Western,H2 central production,wind,electrolysis,0.0,0.0,5.73588E-6,7.71586E-5,3.68033E-4,9.76491E-4,0.00213229,0.00397624,0.00673621,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Western,H2 forecourt production,electricity,electrolysis,0.0,0.0,4.09686E-6,6.49038E-5,3.57876E-4,0.00103014,0.00233235,0.00456931,0.00808935,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Western,H2 forecourt production,gas,natural gas steam reforming,0.0,0.0,5.46258E-5,7.86513E-4,0.00412549,0.0115014,0.0253692,0.049138,0.0878998,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Argentina,H2 central production,biomass,biomass to H2,0.0,0.0,1.68727E-6,1.203E-4,4.18886E-4,6.561E-4,7.78419E-4,8.65618E-4,9.67566E-4,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Argentina,H2 central production,coal,coal chemical,0.0,0.0,9.90274E-6,6.96352E-4,0.00233481,0.00366141,0.00461242,0.00550761,0.00660796,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Argentina,H2 central production,electricity,electrolysis,0.0,0.0,4.53704E-8,3.89522E-6,1.64083E-5,3.0218E-5,4.28062E-5,5.75158E-5,7.46311E-5,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Argentina,H2 central production,gas,natural gas steam reforming,0.0,0.0,1.46795E-5,9.93823E-4,0.00355772,0.00566945,0.00707554,0.00853782,0.0097276,0.0,0.0,0.0,EJ,
