"","region","year","scenario","input","value","share"
"1","China",2015,"Ref","coal",15.89034481,88.278457980913
"2","China",2015,"1p5","coal",15.89034481,88.278457980913
"3","China",2015,"1p5 delay","coal",15.89034481,88.278457980913
"4","China",2020,"Ref","coal",20.979151562,88.6392649890138
"5","China",2020,"1p5","coal",20.105431822,85.7272629073291
"6","China",2020,"1p5 delay","coal",20.105431822,85.7272629073291
"7","China",2025,"Ref","coal",21.508825754,88.5354995502129
"8","China",2025,"1p5","coal",15.840487207,78.7461255266609
"9","China",2025,"1p5 delay","coal",19.097630803,84.5427818052397
"10","China",2030,"Ref","coal",20.802268204,88.0781201537744
"11","China",2030,"1p5","coal",9.564484446,55.6595253028537
"12","China",2030,"1p5 delay","coal",15.969869761,79.8729651188805
"13","China",2035,"Ref","coal",19.3774022913,87.502898238653
"14","China",2035,"1p5","coal",3.830292833,27.6186225582188
"15","China",2035,"1p5 delay","coal",8.839711433,59.1720172755905
"16","China",2040,"Ref","coal",18.0682412331,87.0755055747868
"17","China",2040,"1p5","coal",1.377329153,12.6360274227435
"18","China",2040,"1p5 delay","coal",4.117448179,36.6631708289163
"19","China",2045,"Ref","coal",16.5257119366,86.6610333180579
"20","China",2045,"1p5","coal",0.1804444288,2.15885702043076
"21","China",2045,"1p5 delay","coal",1.120701398,13.3113485141245
"22","China",2050,"Ref","coal",14.8617388404,86.3110216798848
"23","China",2050,"1p5","coal",0.001128439405,0.0180217646688053
"24","China",2050,"1p5 delay","coal",0.001375210912,0.0222544609681447
"25","Europe",2015,"Ref","coal",1.51955438,64.8940226865168
"26","Europe",2015,"1p5","coal",1.51955438,64.8940226865168
"27","Europe",2015,"1p5 delay","coal",1.51955438,64.8940226865168
"28","Europe",2020,"Ref","coal",1.564363414,64.8882175168509
"29","Europe",2020,"1p5","coal",1.533263092,64.2241658211429
"30","Europe",2020,"1p5 delay","coal",1.533263092,64.2241658211429
"31","Europe",2025,"Ref","coal",1.657999079,65.3000027277403
"32","Europe",2025,"1p5","coal",1.186388342,56.3776442128767
"33","Europe",2025,"1p5 delay","coal",1.450388208,62.4979219995743
"34","Europe",2030,"Ref","coal",1.681845193,65.5697765296064
"35","Europe",2030,"1p5","coal",0.716789665,39.059469436492
"36","Europe",2030,"1p5 delay","coal",1.238281349,58.4733810726867
"37","Europe",2035,"Ref","coal",1.664411034,65.6657585390585
"38","Europe",2035,"1p5","coal",0.313998433,19.721185232139
"39","Europe",2035,"1p5 delay","coal",0.731556794,42.1342422000849
"40","Europe",2040,"Ref","coal",1.6387363024,65.6644961458912
"41","Europe",2040,"1p5","coal",0.1567828225,11.102622450784
"42","Europe",2040,"1p5 delay","coal",0.396036503,26.3651918424581
"43","Europe",2045,"Ref","coal",1.601001543,65.4621828857292
"44","Europe",2045,"1p5","coal",0.0386793871,3.36810942432049
"45","Europe",2045,"1p5 delay","coal",0.1386040118,11.4011791330828
"46","Europe",2050,"Ref","coal",1.556218453,65.3825517023991
"47","Europe",2050,"1p5","coal",0.0006447006558,0.0682293336710077
"48","Europe",2050,"1p5 delay","coal",0.000687088902,0.0726626778831285
"49","Global",2015,"Ref","coal",26.8119461082,79.7421861417643
"50","Global",2015,"1p5","coal",26.8119462182,79.7421862080385
"51","Global",2015,"1p5 delay","coal",26.8119461082,79.7421861417643
"52","Global",2020,"Ref","coal",33.0194608634172,81.4865081304772
"53","Global",2020,"1p5","coal",31.880747713587,79.4605310755376
"54","Global",2020,"1p5 delay","coal",31.880747713587,79.4605311023574
"55","Global",2025,"Ref","coal",36.2967562096359,81.4358177911468
"56","Global",2025,"1p5","coal",24.5226466633467,69.3100495462641
"57","Global",2025,"1p5 delay","coal",32.211245847304,78.3596732454569
"58","Global",2030,"Ref","coal",37.5216276923376,80.7185536154719
"59","Global",2030,"1p5","coal",15.0414410148893,47.3337183864268
"60","Global",2030,"1p5 delay","coal",29.0009452358175,74.3221515451783
"61","Global",2035,"Ref","coal",37.48962827978,79.583675771444
"62","Global",2035,"1p5","coal",6.96218874489591,24.8160399155695
"63","Global",2035,"1p5 delay","coal",16.9819119779344,54.0347963418631
"64","Global",2040,"Ref","coal",37.1726570543488,78.2365946654405
"65","Global",2040,"1p5","coal",3.61151779945812,14.5578800914792
"66","Global",2040,"1p5 delay","coal",8.69854208669012,33.1123635327331
"67","Global",2045,"Ref","coal",36.1894588534445,76.5022477111471
"68","Global",2045,"1p5","coal",1.43901432348148,6.76040431314932
