"","region","year","input","total_energy","share","Ref","1p5","1p5 delay"
"1","China",2015,"biomass",18.0002519,0,0,0,0
"2","China",2015,"coal",18.0002519,88.278457980913,15.89034481,15.89034481,15.89034481
"3","China",2015,"coal with CCS",18.0002519,0,NA,0,0
"4","China",2015,"electricity",18.0002519,10.6631718859446,1.9193978,1.9193978,1.9193978
"5","China",2015,"gas",18.0002519,0.835008314522532,0.1503036,0.1503036,0.1503036
"6","China",2015,"gas with CCS",18.0002519,0,NA,0,0
"7","China",2015,"hydrogen",18.0002519,0,0,0,0
"8","China",2015,"refined liquids",18.0002519,0.223361818619883,0.04020569,0.04020569,0.04020569
"9","China",2015,"refined liquids with CCS",18.0002519,0,NA,0,0
"10","China",2020,"biomass",23.45278636008,0.0321177189113077,NA,0.0075325,0.0075325
"11","China",2020,"biomass",23.66801164766,0.0361696205301909,0.00856063,NA,NA
"12","China",2020,"coal",23.45278636008,85.7272629073291,NA,20.105431822,20.105431822
"13","China",2020,"coal",23.66801164766,88.6392649890138,20.979151562,NA,NA
"14","China",2020,"coal with CCS",23.45278636008,0,NA,0,0
"15","China",2020,"electricity",23.45278636008,10.9124841573463,NA,2.559281596,2.559281596
"16","China",2020,"electricity",23.66801164766,10.6519267335634,2.52109926,NA,NA
"17","China",2020,"gas",23.45278636008,2.96879901112793,NA,0.69626608954,0.69626608954
"18","China",2020,"gas",23.66801164766,0.468977723952464,0.11099770233,NA,NA
"19","China",2020,"gas with CCS",23.45278636008,0,NA,0,0
"20","China",2020,"hydrogen",23.45278636008,0,NA,0,0
"21","China",2020,"hydrogen",23.66801164766,0,0,NA,NA
"22","China",2020,"refined liquids",23.45278636008,0.359336205285386,NA,0.08427435254,0.08427435254
"23","China",2020,"refined liquids",23.66801164766,0.203660932940117,0.04820249333,NA,NA
"24","China",2020,"refined liquids with CCS",23.45278636008,0,NA,0,0
"25","China",2025,"biomass",20.11589408502,1.47586365659523,NA,0.29688317,NA
"26","China",2025,"biomass",22.58930969056,0.176108303197174,NA,NA,0.03978165
"27","China",2025,"biomass",24.29401298154,0.214335729710717,0.05207075,NA,NA
"28","China",2025,"coal",20.11589408502,78.7461255266609,NA,15.840487207,NA
"29","China",2025,"coal",22.58930969056,84.5427818052397,NA,NA,19.097630803
"30","China",2025,"coal",24.29401298154,88.5354995502129,21.508825754,NA,NA
"31","China",2025,"coal with CCS",20.11589408502,2.18225492809142,NA,0.43898009,NA
"32","China",2025,"coal with CCS",22.58930969056,0,NA,NA,0
"33","China",2025,"electricity",20.11589408502,12.3780698062744,NA,2.489959412,NA
"34","China",2025,"electricity",22.58930969056,11.5895903321652,NA,NA,2.618008452
"35","China",2025,"electricity",24.29401298154,10.6321945532947,2.582986725,NA,NA
"36","China",2025,"gas",20.11589408502,3.0713352531026,NA,0.61782654651,NA
"37","China",2025,"gas",22.58930969056,2.98185069179642,NA,NA,0.67357948728
"38","China",2025,"gas",24.29401298154,0.401301433172363,0.09749222227,NA,NA
"39","China",2025,"gas with CCS",20.11589408502,0.734001796668603,NA,0.147651024,NA
