"","year","region","scenario","color","value","total","share"
"1",2020,"China","Ref","green",0.00029257858,0.00161066458,18.165084377779
"2",2020,"China","Ref","grey",0.001318086,0.00161066458,81.834915622221
"3",2020,"China","1p5","blue",0,0.0059955133,0
"4",2020,"China","1p5","green",0.0008348333,0.0059955133,13.9243006933201
"5",2020,"China","1p5","grey",0.00516068,0.0059955133,86.0756993066799
"6",2020,"China","1p5 delay","blue",0,0.0059955133,0
"7",2020,"China","1p5 delay","green",0.0008348333,0.0059955133,13.9243006933201
"8",2020,"China","1p5 delay","grey",0.00516068,0.0059955133,86.0756993066799
"9",2020,"Europe","Ref","green",0.000364128696,0.002022464596,18.0042061908114
"10",2020,"Europe","Ref","grey",0.0016583359,0.002022464596,81.9957938091886
"11",2020,"Europe","1p5","blue",0,0.00831932264,0
"12",2020,"Europe","1p5","green",0.00111480164,0.00831932264,13.4001491256024
"13",2020,"Europe","1p5","grey",0.007204521,0.00831932264,86.5998508743976
"14",2020,"Europe","1p5 delay","blue",0,0.00831932264,0
"15",2020,"Europe","1p5 delay","green",0.00111480164,0.00831932264,13.4001491256024
"16",2020,"Europe","1p5 delay","grey",0.007204521,0.00831932264,86.5998508743976
"17",2020,"Global","Ref","green",0.002271883865655,0.013332405191655,17.0403151794172
"18",2020,"Global","Ref","grey",0.011060521326,0.013332405191655,82.9596848205828
"19",2020,"Global","1p5","blue",0,0.06451446065267,0
"20",2020,"Global","1p5","green",0.00739510630267,0.06451446065267,11.4627111935159
"21",2020,"Global","1p5","grey",0.05711935435,0.06451446065267,88.5372888064841
"22",2020,"Global","1p5 delay","blue",0,0.06451454038268,0
"23",2020,"Global","1p5 delay","green",0.00739511303268,0.06451454038268,11.4627074591472
"24",2020,"Global","1p5 delay","grey",0.05711942735,0.06451454038268,88.5372925408528
"25",2020,"India","Ref","green",0.00026193873,0.00162545073,16.1148366521082
"26",2020,"India","Ref","grey",0.001363512,0.00162545073,83.8851633478918
"27",2020,"India","1p5","blue",0,0.0066059475,0
