"","region","scenario","sector","Units","year","value","sum","share"
"1","China","1p5","iron and steel","MTCO2",1990,212.857619333333,1394.23405921435,15.266993223023
"2","China","1p5 delay","iron and steel","MTCO2",1990,212.857619333333,1394.23405921435,15.266993223023
"3","China","Ref","iron and steel","MTCO2",1990,212.857619333333,1394.23405921435,15.266993223023
"4","China","1p5","iron and steel","MTCO2",2005,789.594946576475,1773.60592722348,44.5191874055451
"5","China","1p5 delay","iron and steel","MTCO2",2005,789.594946576475,1773.60592722348,44.5191874055451
"6","China","Ref","iron and steel","MTCO2",2005,789.594946576475,1773.60592722347,44.5191874055451
"7","China","1p5","iron and steel","MTCO2",2010,1353.44089716012,2407.04336620019,56.228355341046
"8","China","1p5 delay","iron and steel","MTCO2",2010,1353.44089716012,2407.04336620019,56.228355341046
"9","China","Ref","iron and steel","MTCO2",2010,1353.44089716012,2407.04336620019,56.228355341046
"10","China","1p5","iron and steel","MTCO2",2015,1600.98110444694,2832.45584794581,56.5227205786112
"11","China","1p5 delay","iron and steel","MTCO2",2015,1600.98110444694,2832.45584794581,56.5227205786112
"12","China","Ref","iron and steel","MTCO2",2015,1600.98110444694,2832.45584794581,56.5227205786112
"13","China","1p5","iron and steel","MTCO2",2020,2052.75512717065,3371.08610369235,60.8929900936755
"14","China","1p5 delay","iron and steel","MTCO2",2020,2052.75512717048,3371.08609899832,60.8929901784599
"15","China","Ref","iron and steel","MTCO2",2020,2108.8984489532,3449.91605977359,61.1289785726439
"16","China","1p5","iron and steel","MTCO2",2025,1625.28713545959,2621.60937712963,61.9957782283759
"17","China","1p5 delay","iron and steel","MTCO2",2025,1951.24595522824,3401.38131252462,57.3662808119552
"18","China","Ref","iron and steel","MTCO2",2025,2161.19202048337,3785.05385703802,57.0980520254633
"19","China","1p5","iron and steel","MTCO2",2030,1017.99186998673,1686.26902417005,60.3694817016382
"20","China","1p5 delay","iron and steel","MTCO2",2030,1652.73240077177,3087.55888814981,53.5287733981377
"21","China","Ref","iron and steel","MTCO2",2030,2090.64794705903,3912.73257366264,53.4319151053559
"22","China","1p5","iron and steel","MTCO2",2035,453.243900010605,879.62310881642,51.5270569256041
"23","China","1p5 delay","iron and steel","MTCO2",2035,933.783548868872,1867.86454317504,49.992037820987
"24","China","Ref","iron and steel","MTCO2",2035,1947.23799245114,3915.70174079129,49.7289661305418
"25","China","1p5","iron and steel","MTCO2",2040,194.656910017761,521.286547982256,37.3416330751714
"26","China","1p5 delay","iron and steel","MTCO2",2040,456.833519265429,1028.990631553,44.3962758510206
"27","China","Ref","iron and steel","MTCO2",2040,1815.04462379389,3893.2362335874,46.6204595584334
"28","China","1p5","iron and steel","MTCO2",2045,57.3854872705649,261.017816049186,21.9852760011413
"29","China","1p5 delay","iron and steel","MTCO2",2045,146.095039417944,454.393651705225,32.1516462366247
"30","China","Ref","iron and steel","MTCO2",2045,1659.89129580273,3804.15593924632,43.6336291758741
