"","region","scenario","sector","Units","year","value"
"1","China","1p5","iron and steel","Mt",2015,803.47
"2","China","1p5 delay","iron and steel","Mt",2015,803.47
"3","China","Ref","iron and steel","Mt",2015,803.47
"4","China","1p5","iron and steel","Mt",2020,1039.046966
"5","China","1p5 delay","iron and steel","Mt",2020,1039.046966
"6","China","Ref","iron and steel","Mt",2020,1059.011404
"7","China","1p5","iron and steel","Mt",2025,934.564192
"8","China","1p5 delay","iron and steel","Mt",2025,1029.146438
"9","China","Ref","iron and steel","Mt",2025,1088.2433537
"10","China","1p5","iron and steel","Mt",2030,886.1255028
"11","China","1p5 delay","iron and steel","Mt",2030,964.4533404
"12","China","Ref","iron and steel","Mt",2030,1060.69360944
"13","China","1p5","iron and steel","Mt",2035,816.7332941
"14","China","1p5 delay","iron and steel","Mt",2035,824.7506576
"15","China","Ref","iron and steel","Mt",2035,999.56859236
"16","China","1p5","iron and steel","Mt",2040,731.919424
"17","China","1p5 delay","iron and steel","Mt",2040,736.002477
"18","China","Ref","iron and steel","Mt",2040,941.06387488
"19","China","1p5","iron and steel","Mt",2045,653.4759075
"20","China","1p5 delay","iron and steel","Mt",2045,659.8634455
"21","China","Ref","iron and steel","Mt",2045,868.58993268
"22","China","1p5","iron and steel","Mt",2050,565.9270716146
"23","China","1p5 delay","iron and steel","Mt",2050,564.937564651
"24","China","Ref","iron and steel","Mt",2050,787.4517608
"25","Europe","1p5","iron and steel","Mt",2015,166.2242
"26","Europe","1p5 delay","iron and steel","Mt",2015,166.2242
"27","Europe","Ref","iron and steel","Mt",2015,166.2242
"28","Europe","1p5","iron and steel","Mt",2020,171.14747083
"29","Europe","1p5 delay","iron and steel","Mt",2020,171.14747083
"30","Europe","Ref","iron and steel","Mt",2020,172.36042417
"31","Europe","1p5","iron and steel","Mt",2025,158.00130072
"32","Europe","1p5 delay","iron and steel","Mt",2025,168.34279268
"33","Europe","Ref","iron and steel","Mt",2025,179.6328319
"34","Europe","1p5","iron and steel","Mt",2030,151.981298502
"35","Europe","1p5 delay","iron and steel","Mt",2030,160.981568655
"36","Europe","Ref","iron and steel","Mt",2030,181.437225723
"37","Europe","1p5","iron and steel","Mt",2035,144.640374936
"38","Europe","1p5 delay","iron and steel","Mt",2035,145.244541971
"39","Europe","Ref","iron and steel","Mt",2035,180.063370032
"40","Europe","1p5","iron and steel","Mt",2040,135.93722869
"41","Europe","1p5 delay","iron and steel","Mt",2040,136.63560107
"42","Europe","Ref","iron and steel","Mt",2040,177.94709272
"43","Europe","1p5","iron and steel","Mt",2045,124.204614952
"44","Europe","1p5 delay","iron and steel","Mt",2045,124.86835121
"45","Europe","Ref","iron and steel","Mt",2045,175.37697013
"46","Europe","1p5","iron and steel","Mt",2050,113.77243248655
"47","Europe","1p5 delay","iron and steel","Mt",2050,113.52079984614
"48","Europe","Ref","iron and steel","Mt",2050,171.53753465
"49","Global","1p5","iron and steel","Mt",2015,1619.7432
"50","Global","1p5 delay","iron and steel","Mt",2015,1619.7432
"51","Global","Ref","iron and steel","Mt",2015,1619.7432
"52","Global","1p5","iron and steel","Mt",2020,1924.03971462608
"53","Global","1p5 delay","iron and steel","Mt",2020,1924.03971415898
"54","Global","Ref","iron and steel","Mt",2020,1947.70355280521
"55","Global","1p5","iron and steel","Mt",2025,1879.91821868663
"56","Global","1p5 delay","iron and steel","Mt",2025,2029.6633091587
"57","Global","Ref","iron and steel","Mt",2025,2137.61787135148
"58","Global","1p5","iron and steel","Mt",2030,1926.7563477656
"59","Global","1p5 delay","iron and steel","Mt",2030,2068.97999210823
"60","Global","Ref","iron and steel","Mt",2030,2259.412567013
"61","Global","1p5","iron and steel","Mt",2035,1945.45288380888
"62","Global","1p5 delay","iron and steel","Mt",2035,1968.73136099113
"63","Global","Ref","iron and steel","Mt",2035,2342.11910970927
"64","Global","1p5","iron and steel","Mt",2040,1933.99094250881
"65","Global","1p5 delay","iron and steel","Mt",2040,1950.00719078691
"66","Global","Ref","iron and steel","Mt",2040,2422.26862534412
"67","Global","1p5","iron and steel","Mt",2045,1899.50916154403
"68","Global","1p5 delay","iron and steel","Mt",2045,1919.0617241936
"69","Global","Ref","iron and steel","Mt",2045,2476.69837310658
"70","Global","1p5","iron and steel","Mt",2050,1844.21796406079
"71","Global","1p5 delay","iron and steel","Mt",2050,1843.07310199673
"72","Global","Ref","iron and steel","Mt",2050,2503.87023527962
"73","India","1p5","iron and steel","Mt",2015,89
"74","India","1p5 delay","iron and steel","Mt",2015,89
"75","India","Ref","iron and steel","Mt",2015,89
"76","India","1p5","iron and steel","Mt",2020,117.522158
"77","India","1p5 delay","iron and steel","Mt",2020,117.522158
"78","India","Ref","iron and steel","Mt",2020,117.71725
"79","India","1p5","iron and steel","Mt",2025,204.234038
"80","India","1p5 delay","iron and steel","Mt",2025,210.047019
"81","India","Ref","iron and steel","Mt",2025,216.586077
"82","India","1p5","iron and steel","Mt",2030,268.2699966
"83","India","1p5 delay","iron and steel","Mt",2030,282.3174231
"84","India","Ref","iron and steel","Mt",2030,299.4486524
"85","India","1p5","iron and steel","Mt",2035,325.3759937
"86","India","1p5 delay","iron and steel","Mt",2035,332.9957065
"87","India","Ref","iron and steel","Mt",2035,380.038664
