"","scenario","region","year","value"
"1","1p5","China",2015,10827.6925587328
"2","1p5","China",2020,12728.4486263586
"3","1p5","China",2025,10021.8175891596
"4","1p5","China",2030,7208.55704139472
"5","1p5","China",2035,4758.88981415902
"6","1p5","China",2040,2496.06594477227
"7","1p5","China",2045,926.411190615804
"8","1p5","China",2050,-539.979902376323
"9","1p5","Europe",2015,3513.08163767636
"10","1p5","Europe",2020,3442.29358935923
"11","1p5","Europe",2025,2726.0444682652
"12","1p5","Europe",2030,1952.45894709781
"13","1p5","Europe",2035,1385.85068070759
"14","1p5","Europe",2040,849.082507628323
"15","1p5","Europe",2045,224.121391262248
"16","1p5","Europe",2050,-258.179730993271
"17","1p5","Global",2015,38837.9169936232
"18","1p5","Global",2020,37819.6843805138
"19","1p5","Global",2025,27771.9962374889
"20","1p5","Global",2030,19431.6347094679
"21","1p5","Global",2035,14426.6979196089
"22","1p5","Global",2040,8723.47926942901
"23","1p5","Global",2045,2539.79103193619
"24","1p5","Global",2050,-3384.99586583734
"25","1p5","India",2015,2295.77663268124
"26","1p5","India",2020,2657.62134482531
"27","1p5","India",2025,2317.31619894923
"28","1p5","India",2030,1799.4202483496
"29","1p5","India",2035,1389.10382695661
"30","1p5","India",2040,888.222041885317
"31","1p5","India",2045,405.665862828402
"32","1p5","India",2050,-87.7177549662842
"33","1p5","Japan",2015,1190.1522055095
"34","1p5","Japan",2020,1160.58951545773
"35","1p5","Japan",2025,1075.7963927599
"36","1p5","Japan",2030,803.952633957074
"37","1p5","Japan",2035,546.79974213188
"38","1p5","Japan",2040,313.76200703133
"39","1p5","Japan",2045,122.961918768717
"40","1p5","Japan",2050,18.2303018663951
"41","1p5","ROW",2015,15484.113026686
"42","1p5","ROW",2020,12244.7930450786
"43","1p5","ROW",2025,7034.00736644952
"44","1p5","ROW",2030,4281.4752080345
"45","1p5","ROW",2035,3800.68999817936
"46","1p5","ROW",2040,2506.92704614311
"47","1p5","ROW",2045,282.672419226149
"48","1p5","ROW",2050,-2121.62079534184
"49","1p5","South Korea",2015,663.8723379112
"50","1p5","South Korea",2020,689.157996563667
"51","1p5","South Korea",2025,600.061603367967
"52","1p5","South Korea",2030,481.2408431292
"53","1p5","South Korea",2035,381.650846221333
"54","1p5","South Korea",2040,267.175293612773
"55","1p5","South Korea",2045,135.630086241227
"56","1p5","South Korea",2050,47.5279918172848
"57","1p5","US",2015,4863.22859442611
"58","1p5","US",2020,4896.78026287065
"59","1p5","US",2025,3996.95261853749
"60","1p5","US",2030,2904.52978750503
"61","1p5","US",2035,2163.71301125309
"62","1p5","US",2040,1402.24442835589
"63","1p5","US",2045,442.328162993648
"64","1p5","US",2050,-443.255975843301
"65","1p5 delay","China",2015,10827.6925587328
"66","1p5 delay","China",2020,12728.4486658455
"67","1p5 delay","China",2025,13643.7423354939
"68","1p5 delay","China",2030,13852.7288507954
"69","1p5 delay","China",2035,9719.48907186702
"70","1p5 delay","China",2040,5270.96428387163
"71","1p5 delay","China",2045,1938.00917385828
"72","1p5 delay","China",2050,-548.216015375705
"73","1p5 delay","Europe",2015,3513.08163767636
"74","1p5 delay","Europe",2020,3442.29352918099
"75","1p5 delay","Europe",2025,3586.52303039102
"76","1p5 delay","Europe",2030,3520.76540409487
"77","1p5 delay","Europe",2035,2499.55427581564
"78","1p5 delay","Europe",2040,1448.80977370443
"79","1p5 delay","Europe",2045,509.928409485769
"80","1p5 delay","Europe",2050,-389.409818240383
"81","1p5 delay","Global",2015,38837.9169936232
"82","1p5 delay","Global",2020,37819.6850461588
"83","1p5 delay","Global",2025,41213.0765617047
