CO2 emissions by subsector
scenario,region,sector,subsector,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,H2 central production,biomass,0.0,0.0,0.0,0.0,4.38476E-4,0.00324371,0.0132249,0.0363947,0.0718593,0.118052,0.181982,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,H2 central production,coal,0.0,0.0,0.0,0.0,0.00212879,0.0159469,0.0643089,0.178879,0.378073,0.676227,1.13356,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,H2 central production,gas,0.0,0.0,0.0,0.0,0.00155436,0.00965314,0.0335804,0.0741155,0.139196,0.234476,0.366675,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,H2 forecourt production,gas,0.0,0.0,0.0,0.0,0.00195265,0.0131431,0.0497008,0.118055,0.227597,0.391472,0.631115,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,N fertilizer,gas,0.0,0.00133626,0.0,0.0,0.0457175,0.1040388,0.1744621,0.2456942,0.3065617,0.37422457,0.44094297000000005,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,N fertilizer,refined liquids,0.0118274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,agricultural energy use,biomass,0.0,0.500193,0.603452,0.71945,0.6258360000000001,0.4658773,0.3283368,0.27325683,0.303427,0.3179384,0.3212037,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,agricultural energy use,refined liquids,0.123663,0.298358,0.21277,0.262317,0.344139,0.43589100000000003,0.5000369,0.5197231,0.5078876,0.48926289999999995,0.4806233,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,backup_electricity,gas,0.0,0.0,0.0,0.0,0.01835,0.128057,0.580638,1.41876,2.47546,3.78354,5.28634,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,cement,cement,0.299,0.725,1.093,1.093,1.2169059999999998,1.609804,2.2350899999999996,3.078164,4.2516305,5.8270513,7.92530547,0.0,0.0,0.0,MTC,
