elec gen by gen tech
scenario,region,subsector,output,technology,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,biomass,electricity,biomass (IGCC),0.0,0.0,0.0,0.0,0.0,0.00108139,0.00332109,0.0087966,0.0199332,0.0370623,0.0605574,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,biomass,electricity,biomass (conv),0.00129239,0.0021024,0.0027324,0.00243508,0.00375719,0.00782716,0.0160805,0.0341303,0.0656534,0.106712,0.155254,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,coal,electricity,coal (IGCC),0.0,0.0,0.0,0.0,0.0,0.00114279,0.00295923,0.00664267,0.0133411,0.0231004,0.03617,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,coal,electricity,coal (conv pul),6.61842E-4,0.00468229,0.00715193,0.00432125,0.00678207,0.0101656,0.01501,0.0241879,0.0400328,0.0620011,0.0903911,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,gas,electricity,gas (CC),0.0,0.0,6.08846E-5,1.16467E-4,7.38909E-4,0.00246663,0.0061091,0.0143591,0.031751,0.0607299,0.102589,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,gas,electricity,gas (steam/CT),0.0,0.0,2.99934E-4,0.00102255,0.002155,0.00404927,0.00628664,0.00899027,0.0121104,0.0150883,0.0176521,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,geothermal,electricity,geothermal,0.00117359,0.0036108,0.0052956,0.0161244,0.02386,0.0389965,0.0583672,0.0727679,0.0728029,0.0728311,0.0728076,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,hydro,electricity,hydro,0.0220885,0.0372506,0.0651303,0.0967141,0.124544,0.152375,0.180205,0.208035,0.235866,0.263696,0.291526,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,nuclear,electricity,Gen_III,0.0,0.0,0.0,0.0,6.54093E-4,0.00177811,0.00331413,0.00599119,0.0101812,0.01543,0.0214901,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,refined liquids,electricity,refined liquids (CC),0.0,0.0,0.0,0.0,0.0114466,0.032085,0.0550439,0.0943445,0.151551,0.196997,0.245473,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,refined liquids,electricity,refined liquids (steam/CT),0.00928196,0.0284453,0.0290975,0.0402832,0.0517516,0.064533,0.0688909,0.068863,0.0651957,0.0557452,0.0505997,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,rooftop_pv,elect_td_bld,rooftop_pv,0.0,0.0,0.0,0.0,0.0113504,0.0230043,0.0837056,0.180361,0.283155,0.408496,0.568882,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,solar,electricity,CSP_storage,0.0,0.0,0.0,0.0,3.48393E-6,8.33261E-5,5.95293E-4,0.00304436,0.0110659,0.0286661,0.060004,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,solar,electricity,PV,0.0,5.21001E-5,2.408E-4,6.75301E-4,0.0065220109999999994,0.020164211,0.044983111000000006,0.10381011100000001,0.219758111,0.39056981,0.6071961,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,solar,electricity,PV_storage,0.0,0.0,0.0,0.0,7.79769E-6,1.0897069E-4,6.1728969E-4,0.0028107696899999997,0.00974762969,0.025033829690000002,0.052657532,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,wind,electricity,wind,0.0,1.03E-5,1.084E-4,0.00327681,0.022048409999999997,0.06999521,0.12049711,0.19816621,0.32398621,0.4893944,0.6822398000000001,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,wind,electricity,wind_offshore,0.0,0.0,0.0,0.0,7.47557E-5,0.0014800256999999999,0.0124969257,0.06806362569999999,0.23884362569999998,0.57091387,1.0754536,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,wind,electricity,wind_storage,0.0,0.0,0.0,0.0,4.23882E-5,3.829062E-4,0.0019515962,0.0074475562,0.0209385562,0.0448053562,0.081061768,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Northern,biomass,electricity,biomass (IGCC),0.0,0.0,0.0,0.0,0.0,4.71321E-4,0.00130268,0.0025092,0.00400712,0.00573871,0.0075595,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Northern,biomass,electricity,biomass (conv),0.0,0.0,0.0,8.38453E-7,0.00112527,0.0028681,0.00566604,0.00915752,0.0125414,0.0154342,0.0178676,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Northern,coal,electricity,coal (IGCC),0.0,0.0,0.0,0.0,0.0,0.00432388,0.00945149,0.0150326,0.0207548,0.0266702,0.032324,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Northern,coal,electricity,coal (conv pul),0.0079653,0.0458462,0.0391365,0.0616071,0.0735199,0.0843806,0.0949267,0.104092,0.111379,0.117519,0.122539,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Northern,gas,electricity,gas (CC),0.0753068,0.198025,0.300178,0.382933,0.457766,0.614684,0.833905,1.10916,1.41821,1.76718,2.10467,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Northern,gas,electricity,gas (steam/CT),0.0605068,0.284423,0.386451,0.494492,0.511801,0.576445,0.629059,0.655901,0.652986,0.637261,0.611852,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Northern,geothermal,electricity,geothermal,0.0,0.0,0.0,0.0,0.00535428,0.0157398,0.0288689,0.0421975,0.0538224,0.0626841,0.0662865,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Northern,hydro,electricity,hydro,0.0408229,0.0516283,0.0603252,0.0564102,0.0615764,0.0667426,0.0719089,0.0770751,0.0822413,0.0874075,0.0925738,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Northern,nuclear,electricity,Gen_III,0.0,0.0,0.0,0.0,5.55117E-4,0.00120759,0.0019229,0.00264335,0.00333166,0.00399724,0.0045963,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Northern,refined liquids,electricity,refined liquids (CC),0.0,0.0,0.0,0.0,0.0318442,0.0676073,0.121918,0.188695,0.257716,0.325059,0.390269,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Northern,refined liquids,electricity,refined liquids (steam/CT),0.117727,0.127341,0.157289,0.214293,0.14278,0.145164,0.150627,0.153232,0.153646,0.148324,0.149582,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Northern,rooftop_pv,elect_td_bld,rooftop_pv,0.0,0.0,0.0,0.0,0.025713,0.103564,0.168132,0.222248,0.274818,0.331577,0.394696,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Northern,solar,electricity,CSP,0.0,0.0,0.0,1.44E-5,1.44E-5,1.44E-5,1.44E-5,1.44E-5,1.44E-5,0.0,0.0,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Northern,solar,electricity,CSP_storage,0.0,0.0,0.0,0.0,2.01568E-6,1.59987E-5,7.91383E-5,2.84724E-4,7.78624E-4,0.00172279,0.00317877,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Northern,solar,electricity,PV,0.0,7.2E-6,7.676E-4,0.0010805,0.00816132,0.03455912,0.08279861999999999,0.14406052,0.21055262,0.28220052,0.34556899999999996,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Northern,solar,electricity,PV_storage,0.0,0.0,0.0,0.0,4.81887E-6,2.3744970000000002E-5,9.070597E-5,2.8738297E-4,7.4359697E-4,0.00161949497,0.0029876660999999995,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Northern,wind,electricity,wind,0.0,0.0028801,0.0082658,0.0181601,0.0327476,0.06228210000000001,0.10423110000000001,0.1519405,0.19953510000000002,0.2291892,0.2580152,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Northern,wind,electricity,wind_offshore,0.0,0.0,0.0,0.0,1.21621E-4,0.001154231,0.005645681,0.018004581,0.043011881,0.08483976,0.14146015,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Northern,wind,electricity,wind_storage,0.0,0.0,0.0,0.0,4.78508E-5,2.137578E-4,6.167098E-4,0.0013402167999999998,0.0024010667999999997,0.0038257568,0.005431506,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Southern,biomass,electricity,biomass (IGCC),0.0,0.0,0.0,0.0,0.0,6.24449E-5,2.17555E-4,4.58391E-4,8.53951E-4,0.00153529,0.00264682,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Southern,biomass,electricity,biomass (conv),0.0,0.0,4.03201E-4,5.68121E-4,4.99341E-4,7.22145E-4,0.00125233,0.00201229,0.0031255,0.00485926,0.0074461,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Southern,coal,electricity,coal (IGCC),0.0,0.0,0.0,0.0,0.0,0.00241877,0.00751645,0.0143668,0.0242903,0.0395411,0.0617676,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Southern,coal,electricity,coal (conv pul),0.0213304,0.0204674,0.0126978,0.0266819,0.0254131,0.0321269,0.0452413,0.0610939,0.0826997,0.114634,0.159876,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Southern,gas,electricity,gas (CC),0.0,7.8267E-4,0.0,0.00985434,0.00872844,0.0140032,0.0281431,0.0496528,0.0823952,0.136793,0.220118,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Southern,gas,electricity,gas (steam/CT),0.0,0.00337892,0.00860167,0.0189845,0.016457,0.0193429,0.0247991,0.0295953,0.0337281,0.0383816,0.0434255,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Southern,geothermal,electricity,geothermal,0.0,0.0,0.0,0.0,1.96612E-5,6.61258E-4,0.0026036,0.00577398,0.0107258,0.0181277,0.0278722,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Southern,hydro,electricity,hydro,0.0548817,0.120117,0.148422,0.161628,0.175234,0.188839,0.202445,0.216051,0.229657,0.243262,0.256868,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Southern,nuclear,electricity,Gen_III,0.0,0.0,0.0,0.0,1.75964E-6,2.85538E-5,8.19072E-5,1.50014E-4,2.44718E-4,3.8615E-4,5.89442E-4,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Southern,refined liquids,electricity,refined liquids (CC),0.0,0.0,0.0,0.0,7.26166E-4,0.0184532,0.0660205,0.136012,0.231089,0.35188,0.507912,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Southern,refined liquids,electricity,refined liquids (steam/CT),0.00254618,0.00617972,0.00945443,0.0264261,0.00930945,0.0233882,0.045427,0.0641154,0.078688,0.0880891,0.0960075,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Southern,rooftop_pv,elect_td_bld,rooftop_pv,0.0,0.0,0.0,0.0,0.0232503,0.0525172,0.0884258,0.13546,0.200058,0.287261,0.397326,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Southern,solar,electricity,CSP_storage,0.0,0.0,0.0,0.0,8.19782E-9,9.96807E-7,9.90911E-6,4.64168E-5,1.70447E-4,5.29121E-4,0.0013602,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Southern,solar,electricity,PV,0.0,1.12E-5,5.29002E-5,8.66999E-5,1.08069E-4,7.96203E-4,0.002750223,0.005725623,0.010204283,0.0172042331,0.028166164,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Southern,solar,electricity,PV_storage,0.0,0.0,0.0,0.0,1.75799E-8,1.2178499E-6,9.696109900000001E-6,4.1024709899999996E-5,1.437917099E-4,4.422637099E-4,0.00114427313,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Southern,wind,electricity,wind,0.0,2.2E-6,6.70002E-6,6.51999E-5,9.440120000000001E-5,8.333152E-4,0.0025539452,0.004731845199999999,0.007447235199999999,0.010962045299999999,0.015673614000000002,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Southern,wind,electricity,wind_offshore,0.0,0.0,0.0,0.0,3.39412E-7,4.8635212E-5,4.68520212E-4,0.002020000212,0.0068430802120000005,0.0197892408,0.047899645,0.0,0.0,0.0,EJ,
