IRONSTL production by tech and vintage
scenario,region,sector,subsector,output,technology,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,iron and steel,EAF with DRI,iron and steel,"EAF with DRI CCS,year=2020",0.0,0.0,0.0,0.0,2.97959E-4,2.41697E-4,1.4784E-4,5.39354E-5,0.0,0.0,0.0,0.0,0.0,0.0,Mt,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,iron and steel,EAF with DRI,iron and steel,"EAF with DRI CCS,year=2025",0.0,0.0,0.0,0.0,0.0,0.00636985,0.00516799,0.00316032,0.0011531,0.0,0.0,0.0,0.0,0.0,Mt,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,iron and steel,EAF with DRI,iron and steel,"EAF with DRI CCS,year=2030",0.0,0.0,0.0,0.0,0.0,0.0,0.0295297,0.0239562,0.0146515,0.00534585,0.0,0.0,0.0,0.0,Mt,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,iron and steel,EAF with DRI,iron and steel,"EAF with DRI CCS,year=2035",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0982901,0.0797426,0.0487698,0.0177937,0.0,0.0,0.0,Mt,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,iron and steel,EAF with DRI,iron and steel,"EAF with DRI CCS,year=2040",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.266034,0.215841,0.132001,0.0,0.0,0.0,Mt,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,iron and steel,EAF with DRI,iron and steel,"EAF with DRI CCS,year=2045",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.584033,0.473844,0.0,0.0,0.0,Mt,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,iron and steel,EAF with DRI,iron and steel,"EAF with DRI CCS,year=2050",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07312,0.0,0.0,0.0,Mt,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,iron and steel,EAF with DRI,iron and steel,"EAF with DRI,year=1975",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mt,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,iron and steel,EAF with DRI,iron and steel,"EAF with DRI,year=1990",0.0139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mt,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,iron and steel,EAF with DRI,iron and steel,"EAF with DRI,year=2005",0.0,0.0152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mt,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,iron and steel,EAF with DRI,iron and steel,"EAF with DRI,year=2010",0.0,0.0,0.0152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mt,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,iron and steel,EAF with DRI,iron and steel,"EAF with DRI,year=2015",0.0,0.0,0.0,0.0152,0.01232,0.00754049,0.00275166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mt,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,iron and steel,EAF with DRI,iron and steel,"EAF with DRI,year=2020",0.0,0.0,0.0,0.0,0.00943014,0.00764947,0.004679,0.00170701,0.0,0.0,0.0,0.0,0.0,0.0,Mt,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,iron and steel,EAF with DRI,iron and steel,"EAF with DRI,year=2025",0.0,0.0,0.0,0.0,0.0,0.0335788,0.0272432,0.0166597,0.00607861,0.0,0.0,0.0,0.0,0.0,Mt,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,iron and steel,EAF with DRI,iron and steel,"EAF with DRI,year=2030",0.0,0.0,0.0,0.0,0.0,0.0,0.0848254,0.0688152,0.0420871,0.0153562,0.0,0.0,0.0,0.0,Mt,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,iron and steel,EAF with DRI,iron and steel,"EAF with DRI,year=2035",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.194011,0.157401,0.0962646,0.0351222,0.0,0.0,0.0,Mt,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,iron and steel,EAF with DRI,iron and steel,"EAF with DRI,year=2040",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.400542,0.324972,0.198742,0.0,0.0,0.0,Mt,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,iron and steel,EAF with DRI,iron and steel,"EAF with DRI,year=2045",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.710319,0.576304,0.0,0.0,0.0,Mt,
