"","region","scenario","sector","Units","year","value.x","value.y","percent_reduction","absolute_reduction"
"1","China","1p5","iron and steel","MTCO2",2025,1640.13086179022,2052.75376161418,-20.1009447669696,-412.622899823958
"2","China","1p5","iron and steel","MTCO2",2030,1074.68865113103,2052.75376161418,-47.6464897433217,-978.06511048315
"3","China","1p5","iron and steel","MTCO2",2035,517.899115183887,2052.75376161418,-74.7705192474407,-1534.85464643029
"4","China","1p5","iron and steel","MTCO2",2040,224.892791188984,2052.75376161418,-89.0443366664621,-1827.8609704252
"5","China","1p5","iron and steel","MTCO2",2045,48.4418325657199,2052.75376161418,-97.6401537548455,-2004.31192904846
"6","China","1p5","iron and steel","MTCO2",2050,11.8205699880676,2052.75376161418,-99.4241603542954,-2040.93319162611
"7","Europe","1p5","iron and steel","MTCO2",2025,141.088007725922,175.666717758263,-19.6842694356741,-34.5787100323418
"8","Europe","1p5","iron and steel","MTCO2",2030,95.5843675134617,175.666717758263,-45.5876624022792,-80.0823502448017
"9","Europe","1p5","iron and steel","MTCO2",2035,55.777628160763,175.666717758263,-68.2480387448696,-119.8890895975
"10","Europe","1p5","iron and steel","MTCO2",2040,37.0174621429857,175.666717758263,-78.9274470341469,-138.649255615278
"11","Europe","1p5","iron and steel","MTCO2",2045,14.0936624036759,175.666717758263,-91.9770446083757,-161.573055354587
"12","Europe","1p5","iron and steel","MTCO2",2050,1.88830556104997,175.666717758263,-98.925063560618,-173.778412197213
"13","Global","1p5","iron and steel","MTCO2",2025,2649.62326954247,3373.52869586471,-21.45840428776,-723.905426322248
"14","Global","1p5","iron and steel","MTCO2",2030,1785.93729126532,3373.52869586471,-47.0602608641056,-1587.59140459939
"15","Global","1p5","iron and steel","MTCO2",2035,1024.44820410216,3373.52869586471,-69.6327407750248,-2349.08049176255
"16","Global","1p5","iron and steel","MTCO2",2040,647.877925780889,3373.52869586471,-80.795244855185,-2725.65077008382
"17","Global","1p5","iron and steel","MTCO2",2045,320.654048209155,3373.52869586471,-90.494995682052,-3052.87464765556
