"","region","year","scenario","input","value","share"
"1","China",2015,"Ref","coal",15.89034481,88.278457980913
"2","China",2015,"1p5","coal",15.89034481,88.278457980913
"3","China",2015,"1p5 delay","coal",15.89034481,88.278457980913
"4","China",2020,"Ref","coal",20.979151561,88.6392649510827
"5","China",2020,"1p5","coal",20.105410855,85.727314659851
"6","China",2020,"1p5 delay","coal",20.105393113,85.727146800342
"7","China",2025,"Ref","coal",21.508825754,88.5354995502129
"8","China",2025,"1p5","coal",15.966443876,80.4646600940881
"9","China",2025,"1p5 delay","coal",19.097499316,84.542241428144
"10","China",2030,"Ref","coal",20.802268204,88.0781204517442
"11","China",2030,"1p5","coal",10.174122303,64.0435850002936
"12","China",2030,"1p5 delay","coal",15.969464303,79.870219728656
"13","China",2035,"Ref","coal",19.3774023923,87.5029030732703
"14","China",2035,"1p5","coal",4.71040026,41.0216939270512
"15","China",2035,"1p5 delay","coal",9.21932388,65.275199561495
"16","China",2040,"Ref","coal",18.0682412331,87.0755055320255
"17","China",2040,"1p5","coal",1.971839496,22.7204659571796
"18","China",2040,"1p5 delay","coal",4.47045677,44.1179539046462
"19","China",2045,"Ref","coal",16.5257119366,86.6610332316212
"20","China",2045,"1p5","coal",0.3334917052,5.05577698096733
"21","China",2045,"1p5 delay","coal",1.367657846,19.0493136637371
"22","China",2050,"Ref","coal",14.8617388404,86.3110216287563
"23","China",2050,"1p5","coal",0.003619559607,0.0659788356842702
"24","China",2050,"1p5 delay","coal",0.003436432843,0.0631479856616697
"25","Europe",2015,"Ref","coal",1.51955438,64.8940226865168
"26","Europe",2015,"1p5","coal",1.51955438,64.8940226865168
"27","Europe",2015,"1p5 delay","coal",1.51955438,64.8940226865168
"28","Europe",2020,"Ref","coal",1.564363414,64.8882175168509
"29","Europe",2020,"1p5","coal",1.533261036,64.224234624687
"30","Europe",2020,"1p5 delay","coal",1.533256954,64.223991532029
"31","Europe",2025,"Ref","coal",1.657999079,65.3000027276889
"32","Europe",2025,"1p5","coal",1.195368679,57.2149980382692
"33","Europe",2025,"1p5 delay","coal",1.450363311,62.4969179468645
"34","Europe",2030,"Ref","coal",1.681845193,65.5697739476866
"35","Europe",2030,"1p5","coal",0.748648004,42.7039985215854
"36","Europe",2030,"1p5 delay","coal",1.238205752,58.4695568518928
"37","Europe",2035,"Ref","coal",1.664411034,65.6657564696064
"38","Europe",2035,"1p5","coal",0.372166258,26.043028387049
"39","Europe",2035,"1p5 delay","coal",0.765619506,45.7142163806977
"40","Europe",2040,"Ref","coal",1.6387295094,65.664345112378
"41","Europe",2040,"1p5","coal",0.2141539882,17.456756913026
"42","Europe",2040,"1p5 delay","coal",0.447950273,32.3379061834771
"43","Europe",2045,"Ref","coal",1.600997814,65.4620698592271
"44","Europe",2045,"1p5","coal",0.058210407,6.07164546382393
"45","Europe",2045,"1p5 delay","coal",0.176113734,16.158127169945
"46","Europe",2050,"Ref","coal",1.556216903,65.3824899021308
"47","Europe",2050,"1p5","coal",0.00114226451,0.143606382094097
"48","Europe",2050,"1p5 delay","coal",0.00114508435,0.141446694815544
"49","Global",2015,"Ref","coal",26.8119472082,79.7421868045071
"50","Global",2015,"1p5","coal",26.8119462182,79.7421862080385
"51","Global",2015,"1p5 delay","coal",26.8119461082,79.7421861417643
"52","Global",2020,"Ref","coal",33.0194608624172,81.4865080817816
"53","Global",2020,"1p5","coal",31.923468351587,79.5460619812706
"54","Global",2020,"1p5 delay","coal",31.923446113187,79.5459309403022
"55","Global",2025,"Ref","coal",36.2967562096359,81.4358177830066
"56","Global",2025,"1p5","coal",24.8356619734281,71.4588718715244
"57","Global",2025,"1p5 delay","coal",32.339372741948,78.6586056754987
"58","Global",2030,"Ref","coal",37.5216243162366,80.7185518821629
"59","Global",2030,"1p5","coal",16.2066572664226,55.2880003472043
"60","Global",2030,"1p5 delay","coal",29.2555700541915,75.0219225486409
"61","Global",2035,"Ref","coal",37.48962638198,79.5836729271384
"62","Global",2035,"1p5","coal",8.82843147520067,37.2329776949309
"63","Global",2035,"1p5 delay","coal",18.0865860800881,61.2973354129238
"64","Global",2040,"Ref","coal",37.1726509874378,78.2365875287458
"65","Global",2040,"1p5","coal",5.34851384930165,26.3043673576335
"66","Global",2040,"1p5 delay","coal",10.2145940014994,43.9711941667081
"67","Global",2045,"Ref","coal",36.1894547315444,76.5022426122847
"68","Global",2045,"1p5","coal",2.41893477255687,13.9851173477281
