"","region","scenario","sector","Units","year","emission","value","year "
"1","China","1p5 delay","iron and steel","MTCO2",1990,"value",212.857619333333,"1990"
"2","China","1p5","iron and steel","MTCO2",1990,"value",212.857619333333,"1990"
"3","China","Ref","iron and steel","MTCO2",1990,"value",212.857619333333,"1990"
"4","China","1p5 delay","iron and steel","MTCO2",2005,"value",789.594946576475,"2005"
"5","China","1p5","iron and steel","MTCO2",2005,"value",789.594946576475,"2005"
"6","China","Ref","iron and steel","MTCO2",2005,"value",789.594946576475,"2005"
"7","China","1p5 delay","iron and steel","MTCO2",2010,"value",1353.44089716012,"2010"
"8","China","1p5","iron and steel","MTCO2",2010,"value",1353.44089716012,"2010"
"9","China","Ref","iron and steel","MTCO2",2010,"value",1353.44089716012,"2010"
"10","China","1p5 delay","iron and steel","MTCO2",2015,"value",1600.98110444694,"2015"
"11","China","1p5","iron and steel","MTCO2",2015,"value",1600.98110444694,"2015"
"12","China","Ref","iron and steel","MTCO2",2015,"value",1600.98110444694,"2015"
"13","China","1p5 delay","iron and steel","MTCO2",2020,"value",2052.75269584786,"2020"
"14","China","1p5","iron and steel","MTCO2",2020,"value",2052.75376161418,"2020"
"15","China","Ref","iron and steel","MTCO2",2020,"value",2108.89844627448,"2020"
"16","China","1p5 delay","iron and steel","MTCO2",2025,"value",1951.2345779156,"2025"
"17","China","1p5","iron and steel","MTCO2",2025,"value",1640.13086179022,"2025"
"18","China","Ref","iron and steel","MTCO2",2025,"value",2161.19202036074,"2025"
"19","China","1p5 delay","iron and steel","MTCO2",2030,"value",1652.71704431819,"2030"
"20","China","1p5","iron and steel","MTCO2",2030,"value",1074.68865113103,"2030"
"21","China","Ref","iron and steel","MTCO2",2030,"value",2090.64793640824,"2030"
"22","China","1p5 delay","iron and steel","MTCO2",2035,"value",969.658037374902,"2035"
"23","China","1p5","iron and steel","MTCO2",2035,"value",517.899115183887,"2035"
"24","China","Ref","iron and steel","MTCO2",2035,"value",1947.23797519306,"2035"
"25","China","1p5 delay","iron and steel","MTCO2",2040,"value",482.21234288762,"2040"
"26","China","1p5","iron and steel","MTCO2",2040,"value",224.892791188984,"2040"
"27","China","Ref","iron and steel","MTCO2",2040,"value",1815.04462783921,"2040"
"28","China","1p5 delay","iron and steel","MTCO2",2045,"value",154.759663344525,"2045"
"29","China","1p5","iron and steel","MTCO2",2045,"value",48.4418325657199,"2045"
"30","China","Ref","iron and steel","MTCO2",2045,"value",1659.89129544372,"2045"
"31","China","1p5 delay","iron and steel","MTCO2",2050,"value",12.1739848815761,"2050"
"32","China","1p5","iron and steel","MTCO2",2050,"value",11.8205699880676,"2050"
"33","China","Ref","iron and steel","MTCO2",2050,"value",1492.53694798565,"2050"
"34","China","1p5 delay","iron and steel","MTCO2",2065,"value",0,"2065"
"35","China","1p5","iron and steel","MTCO2",2065,"value",0,"2065"
"36","China","Ref","iron and steel","MTCO2",2065,"value",0,"2065"
"37","China","1p5 delay","iron and steel","MTCO2",2080,"value",0,"2080"
"38","China","1p5","iron and steel","MTCO2",2080,"value",0,"2080"
"39","China","Ref","iron and steel","MTCO2",2080,"value",0,"2080"
"40","China","1p5 delay","iron and steel","MTCO2",2095,"value",0,"2095"
"41","China","1p5","iron and steel","MTCO2",2095,"value",0,"2095"
"42","China","Ref","iron and steel","MTCO2",2095,"value",0,"2095"
"43","Europe","1p5 delay","iron and steel","MTCO2",1990,"value",318.456406473981,"1990"
"44","Europe","1p5","iron and steel","MTCO2",1990,"value",318.456406473981,"1990"
"45","Europe","Ref","iron and steel","MTCO2",1990,"value",318.456406473981,"1990"
"46","Europe","1p5 delay","iron and steel","MTCO2",2005,"value",218.593651446085,"2005"
"47","Europe","1p5","iron and steel","MTCO2",2005,"value",218.593651446085,"2005"
"48","Europe","Ref","iron and steel","MTCO2",2005,"value",218.593651446085,"2005"
"49","Europe","1p5 delay","iron and steel","MTCO2",2010,"value",184.557419815369,"2010"
"50","Europe","1p5","iron and steel","MTCO2",2010,"value",184.557419815369,"2010"
"51","Europe","Ref","iron and steel","MTCO2",2010,"value",184.557419815369,"2010"
"52","Europe","1p5 delay","iron and steel","MTCO2",2015,"value",173.42559067704,"2015"
"53","Europe","1p5","iron and steel","MTCO2",2015,"value",173.42559067704,"2015"
"54","Europe","Ref","iron and steel","MTCO2",2015,"value",173.42559067704,"2015"
"55","Europe","1p5 delay","iron and steel","MTCO2",2020,"value",175.666992139802,"2020"
"56","Europe","1p5","iron and steel","MTCO2",2020,"value",175.666717758263,"2020"
"57","Europe","Ref","iron and steel","MTCO2",2020,"value",178.42215624807,"2020"
"58","Europe","1p5 delay","iron and steel","MTCO2",2025,"value",167.08719848814,"2025"
"59","Europe","1p5","iron and steel","MTCO2",2025,"value",141.088007725922,"2025"
"60","Europe","Ref","iron and steel","MTCO2",2025,"value",188.149420955162,"2025"
"61","Europe","1p5 delay","iron and steel","MTCO2",2030,"value",144.78651881697,"2030"
"62","Europe","1p5","iron and steel","MTCO2",2030,"value",95.5843675134617,"2030"
"63","Europe","Ref","iron and steel","MTCO2",2030,"value",189.914932514511,"2030"
