"","region","year","scenario","em_intensity","em_intensity_2020","abs_reduction","perc_reduction","Units"
"1","China",2020,"1p5",1.97561223609505,1.97561223609505,0,0,"tCO2/t steel"
"2","China",2025,"1p5",1.77024427445601,1.97561223609505,0.205367961639044,-10.3951553795278,"tCO2/t steel"
"3","China",2030,"1p5",1.24680112128993,1.97561223609505,0.728811114805122,-36.8903928356747,"tCO2/t steel"
"4","China",2035,"1p5",0.657312471698184,1.97561223609505,1.31829976439687,-66.728669741517,"tCO2/t steel"
"5","China",2040,"1p5",0.310058217921424,1.97561223609505,1.66555401817363,-84.3057148434008,"tCO2/t steel"
"6","China",2045,"1p5",0.0745317313442006,1.97561223609505,1.90108050475085,-96.2274109269783,"tCO2/t steel"
"7","China",2050,"1p5",0.0209052612703725,1.97561223609505,1.95470697482468,-98.9418337825396,"tCO2/t steel"
"8","Europe",2020,"1p5",1.0264070461317,1.0264070461317,0,0,"tCO2/t steel"
"9","Europe",2025,"1p5",0.895037489467837,1.0264070461317,0.131369556663859,-12.7989726063322,"tCO2/t steel"
"10","Europe",2030,"1p5",0.635610221974551,1.0264070461317,0.390796824157145,-38.0742538381798,"tCO2/t steel"
"11","Europe",2035,"1p5",0.392852892055431,1.0264070461317,0.633554154076265,-61.7254291524978,"tCO2/t steel"
"12","Europe",2040,"1p5",0.275845360875658,1.0264070461317,0.750561685256037,-73.12514933376,"tCO2/t steel"
"13","Europe",2045,"1p5",0.113163259694652,1.0264070461317,0.913243786437044,-88.9748165582905,"tCO2/t steel"
"14","Europe",2050,"1p5",0.0165744068894591,1.0264070461317,1.00983263924224,-98.3852013728935,"tCO2/t steel"
"15","Global",2020,"1p5",1.75212955310784,1.75212955310784,0,0,"tCO2/t steel"
"16","Global",2025,"1p5",1.41473984198466,1.75212955310784,0.337389711123176,-19.2559797033691,"tCO2/t steel"
"17","Global",2030,"1p5",0.93993008606367,1.75212955310784,0.812199467044166,-46.3549893102099,"tCO2/t steel"
"18","Global",2035,"1p5",0.535398374046494,1.75212955310784,1.21673117906134,-69.4429916385559,"tCO2/t steel"
"19","Global",2040,"1p5",0.336496765020863,1.75212955310784,1.41563278808697,-80.7949837713768,"tCO2/t steel"
"20","Global",2045,"1p5",0.168616442491709,1.75212955310784,1.58351311061613,-90.376485449228,"tCO2/t steel"
"21","Global",2050,"1p5",0.052887104950539,1.75212955310784,1.6992424481573,-96.9815528277158,"tCO2/t steel"
"22","India",2020,"1p5",2.86064471165651,2.86064471165651,0,0,"tCO2/t steel"
"23","India",2025,"1p5",1.24577960641001,2.86064471165651,1.61486510524651,-56.4510894577813,"tCO2/t steel"
"24","India",2030,"1p5",0.733788432302069,2.86064471165651,2.12685627935444,-74.3488441849476,"tCO2/t steel"
"25","India",2035,"1p5",0.568926444497856,2.86064471165651,2.29171826715866,-80.1119502124957,"tCO2/t steel"
"26","India",2040,"1p5",0.50091785894927,2.86064471165651,2.35972685270724,-82.4893368649334,"tCO2/t steel"
"27","India",2045,"1p5",0.358248774708086,2.86064471165651,2.50239593694843,-87.4766421272694,"tCO2/t steel"
"28","India",2050,"1p5",0.0809340207554139,2.86064471165651,2.7797106909011,-97.1707769082394,"tCO2/t steel"
"29","Japan",2020,"1p5",1.46744489306337,1.46744489306337,0,0,"tCO2/t steel"
"30","Japan",2025,"1p5",1.35958467236485,1.46744489306337,0.10786022069852,-7.3502058720145,"tCO2/t steel"
"31","Japan",2030,"1p5",1.04044011624594,1.46744489306337,0.427004776817428,-29.0985221207206,"tCO2/t steel"
"32","Japan",2035,"1p5",0.708680914373799,1.46744489306337,0.758763978689567,-51.7064717234872,"tCO2/t steel"
"33","Japan",2040,"1p5",0.53355669802381,1.46744489306337,0.933888195039557,-63.6404269389645,"tCO2/t steel"
"34","Japan",2045,"1p5",0.213037747009613,1.46744489306337,1.25440714605375,-85.4824022342069,"tCO2/t steel"
"35","Japan",2050,"1p5",0.0572029642881636,1.46744489306337,1.4102419287752,-96.1018662739185,"tCO2/t steel"
"36","ROW",2020,"1p5",1.46130227331594,1.46130227331594,0,0,"tCO2/t steel"
"37","ROW",2025,"1p5",1.05437314891138,1.46130227331594,0.406929124404563,-27.8470191852348,"tCO2/t steel"
"38","ROW",2030,"1p5",0.653201552757722,1.46130227331594,0.808100720558222,-55.3000385556442,"tCO2/t steel"
"39","ROW",2035,"1p5",0.39353307985802,1.46130227331594,1.06776919345792,-73.0697004278912,"tCO2/t steel"
"40","ROW",2040,"1p5",0.286556567147783,1.46130227331594,1.17474570616816,-80.3903290660366,"tCO2/t steel"
"41","ROW",2045,"1p5",0.169123704923923,1.46130227331594,1.29217856839202,-88.4265077792459,"tCO2/t steel"
"42","ROW",2050,"1p5",0.0764422057755538,1.46130227331594,1.38486006754039,-94.7688984564368,"tCO2/t steel"
"43","South Korea",2020,"1p5",1.27137978931926,1.27137978931926,0,0,"tCO2/t steel"
"44","South Korea",2025,"1p5",1.11952904889326,1.27137978931926,0.151850740425992,-11.9437749208911,"tCO2/t steel"
"45","South Korea",2030,"1p5",0.768508334862004,1.27137978931926,0.502871454457252,-39.5532050046594,"tCO2/t steel"
"46","South Korea",2035,"1p5",0.444944616681742,1.27137978931926,0.826435172637513,-65.0030132286449,"tCO2/t steel"
"47","South Korea",2040,"1p5",0.307141412302265,1.27137978931926,0.964238377016991,-75.8418833709225,"tCO2/t steel"
"48","South Korea",2045,"1p5",0.164941436163808,1.27137978931926,1.10643835315545,-87.0265802909983,"tCO2/t steel"
"49","South Korea",2050,"1p5",0.0541572563113611,1.27137978931926,1.21722253300789,-95.7402770779958,"tCO2/t steel"
"50","US",2020,"1p5",0.879808390792716,0.879808390792716,0,0,"tCO2/t steel"
"51","US",2025,"1p5",0.671570914547171,0.879808390792716,0.208237476245545,-23.6685030996261,"tCO2/t steel"
"52","US",2030,"1p5",0.385752210905673,0.879808390792716,0.494056179887043,-56.1549747714833,"tCO2/t steel"
"53","US",2035,"1p5",0.165434048221806,0.879808390792716,0.714374342570909,-81.1965821248023,"tCO2/t steel"
