"","region","year","scenario","input","value","share"
"1","China",2015,"Ref","biomass",0,0
"2","China",2015,"Ref","coal",15.89034481,88.278457980913
"3","China",2015,"Ref","electricity",1.9193978,10.6631718859446
"4","China",2015,"Ref","gas",0.1503036,0.835008314522532
"5","China",2015,"Ref","hydrogen",0,0
"6","China",2015,"Ref","refined liquids",0.04020569,0.223361818619883
"7","China",2015,"1p5","biomass",0,0
"8","China",2015,"1p5","coal",15.89034481,88.278457980913
"9","China",2015,"1p5","electricity",1.9193978,10.6631718859446
"10","China",2015,"1p5","gas",0.1503036,0.835008314522532
"11","China",2015,"1p5","hydrogen",0,0
"12","China",2015,"1p5","refined liquids",0.04020569,0.223361818619883
"13","China",2015,"1p5 delay","biomass",0,0
"14","China",2015,"1p5 delay","coal",15.89034481,88.278457980913
"15","China",2015,"1p5 delay","electricity",1.9193978,10.6631718859446
"16","China",2015,"1p5 delay","gas",0.1503036,0.835008314522532
"17","China",2015,"1p5 delay","hydrogen",0,0
"18","China",2015,"1p5 delay","refined liquids",0.04020569,0.223361818619883
"19","China",2020,"Ref","biomass",0.00856064,0.036169662767557
"20","China",2020,"Ref","coal",20.979151561,88.6392649510827
"21","China",2020,"Ref","electricity",2.52109926,10.6519267295129
"22","China",2020,"Ref","gas",0.11099770233,0.468977723774131
"23","China",2020,"Ref","hydrogen",0,0
"24","China",2020,"Ref","refined liquids",0.04820249333,0.203660932862673
"25","China",2020,"1p5","biomass",0.0075334,0.0321216092979226
"26","China",2020,"1p5","coal",20.105410855,85.727314659851
"27","China",2020,"1p5","electricity",2.559281006,10.9124996095158
"28","China",2020,"1p5","gas",0.69624889007,2.96873056268627
"29","China",2020,"1p5","hydrogen",0,0
"30","China",2020,"1p5","refined liquids",0.08427359307,0.359333558649037
"31","China",2020,"1p5 delay","biomass",0.00753269,0.0321185473868664
"32","China",2020,"1p5 delay","coal",20.105393113,85.727146800342
"33","China",2020,"1p5 delay","electricity",2.559282063,10.9124923787947
"34","China",2020,"1p5 delay","gas",0.69628958965,2.96890090793001
"35","China",2020,"1p5 delay","hydrogen",0,0
"36","China",2020,"1p5 delay","refined liquids",0.08427551465,0.359341365546515
"37","China",2025,"Ref","biomass",0.05207075,0.214335729710717
"38","China",2025,"Ref","coal",21.508825754,88.5354995502129
"39","China",2025,"Ref","electricity",2.582986725,10.6321945532947
"40","China",2025,"Ref","gas",0.09749222227,0.401301433172363
"41","China",2025,"Ref","hydrogen",0.00413442,0.0170182670238201
"42","China",2025,"Ref","refined liquids",0.04850311027,0.199650466585555
"43","China",2025,"1p5","biomass",0.31221395,1.57343673760349
"44","China",2025,"1p5","coal",15.966443876,80.4646600940881
"45","China",2025,"1p5","electricity",2.492968437,12.5635902062087
"46","China",2025,"1p5","gas",0.74674295397,3.76329371997295
"47","China",2025,"1p5","hydrogen",0.21312651,1.07407462283866
"48","China",2025,"1p5","refined liquids",0.11130713497,0.560944619288112
"49","China",2025,"1p5 delay","biomass",0.03978671,0.176130790047127
"50","China",2025,"1p5 delay","coal",19.097499316,84.542241428144
"51","China",2025,"1p5 delay","electricity",2.618007537,11.5895919979597
"52","China",2025,"1p5 delay","gas",0.67368963187,2.98233975887479
"53","China",2025,"1p5 delay","hydrogen",0.06376705,0.282288756609297
"54","China",2025,"1p5 delay","refined liquids",0.09654830387,0.42740726836507
"55","China",2030,"Ref","biomass",0.13990766,0.592377889216531
"56","China",2030,"Ref","coal",20.802268204,88.0781204517442
"57","China",2030,"Ref","electricity",2.5054579551,10.6082675885145
"58","China",2030,"Ref","gas",0.1023203542,0.433230857015862
"59","China",2030,"Ref","hydrogen",0.0200010739,0.0846858130494488
"60","China",2030,"Ref","refined liquids",0.0480194522,0.203317400459489
"61","China",2030,"1p5","biomass",0.70965041,4.46707391554817
"62","China",2030,"1p5","coal",10.174122303,64.0435850002936
"63","China",2030,"1p5","electricity",2.869157897,18.0606397469393
"64","China",2030,"1p5","gas",0.92889168186,5.84714352860936
"65","China",2030,"1p5","hydrogen",1.02202596,6.43340078804306
"66","China",2030,"1p5","refined liquids",0.18239906386,1.14815702056652
"67","China",2030,"1p5 delay","biomass",0.09119796,0.456120566463636
"68","China",2030,"1p5 delay","coal",15.969464303,79.870219728656
