"","region","year","input","total_energy","share","Ref","1p5","1p5 delay"
"1","China",2015,"biomass",18.0002519,0,0,0,0
"2","China",2015,"coal",18.0002519,88.278457980913,15.89034481,15.89034481,15.89034481
"3","China",2015,"electricity",18.0002519,10.6631718859446,1.9193978,1.9193978,1.9193978
"4","China",2015,"gas",18.0002519,0.835008314522532,0.1503036,0.1503036,0.1503036
"5","China",2015,"hydrogen",18.0002519,0,0,0,0
"6","China",2015,"refined liquids",18.0002519,0.223361818619883,0.04020569,0.04020569,0.04020569
"7","China",2020,"biomass",23.45274774414,0.0321216092979226,NA,0.0075334,NA
"8","China",2020,"biomass",23.4527729703,0.0321185473868664,NA,NA,0.00753269
"9","China",2020,"biomass",23.66801165666,0.036169662767557,0.00856064,NA,NA
"10","China",2020,"coal",23.45274774414,85.727314659851,NA,20.105410855,NA
"11","China",2020,"coal",23.4527729703,85.727146800342,NA,NA,20.105393113
"12","China",2020,"coal",23.66801165666,88.6392649510827,20.979151561,NA,NA
"13","China",2020,"electricity",23.45274774414,10.9124996095158,NA,2.559281006,NA
"14","China",2020,"electricity",23.4527729703,10.9124923787947,NA,NA,2.559282063
"15","China",2020,"electricity",23.66801165666,10.6519267295129,2.52109926,NA,NA
"16","China",2020,"gas",23.45274774414,2.96873056268627,NA,0.69624889007,NA
"17","China",2020,"gas",23.4527729703,2.96890090793001,NA,NA,0.69628958965
"18","China",2020,"gas",23.66801165666,0.468977723774131,0.11099770233,NA,NA
"19","China",2020,"hydrogen",23.45274774414,0,NA,0,NA
"20","China",2020,"hydrogen",23.4527729703,0,NA,NA,0
"21","China",2020,"hydrogen",23.66801165666,0,0,NA,NA
"22","China",2020,"refined liquids",23.45274774414,0.359333558649037,NA,0.08427359307,NA
"23","China",2020,"refined liquids",23.4527729703,0.359341365546515,NA,NA,0.08427551465
"24","China",2020,"refined liquids",23.66801165666,0.203660932862673,0.04820249333,NA,NA
"25","China",2025,"biomass",19.84280286194,1.57343673760349,NA,0.31221395,NA
"26","China",2025,"biomass",22.58929854874,0.176130790047127,NA,NA,0.03978671
"27","China",2025,"biomass",24.29401298154,0.214335729710717,0.05207075,NA,NA
"28","China",2025,"coal",19.84280286194,80.4646600940881,NA,15.966443876,NA
"29","China",2025,"coal",22.58929854874,84.542241428144,NA,NA,19.097499316
"30","China",2025,"coal",24.29401298154,88.5354995502129,21.508825754,NA,NA
"31","China",2025,"electricity",19.84280286194,12.5635902062087,NA,2.492968437,NA
"32","China",2025,"electricity",22.58929854874,11.5895919979597,NA,NA,2.618007537
"33","China",2025,"electricity",24.29401298154,10.6321945532947,2.582986725,NA,NA
"34","China",2025,"gas",19.84280286194,3.76329371997295,NA,0.74674295397,NA
"35","China",2025,"gas",22.58929854874,2.98233975887479,NA,NA,0.67368963187
"36","China",2025,"gas",24.29401298154,0.401301433172363,0.09749222227,NA,NA
"37","China",2025,"hydrogen",19.84280286194,1.07407462283866,NA,0.21312651,NA
"38","China",2025,"hydrogen",22.58929854874,0.282288756609297,NA,NA,0.06376705
