"","region","scenario","sector","Units","year","value","sum","share"
"1","China","1p5 delay","iron and steel","MTCO2",1990,212.857619333333,1394.23405921435,15.266993223023
"2","China","1p5","iron and steel","MTCO2",1990,212.857619333333,1394.23405921435,15.266993223023
"3","China","Ref","iron and steel","MTCO2",1990,212.857619333333,1394.23405921435,15.266993223023
"4","China","1p5 delay","iron and steel","MTCO2",2005,789.594946576475,1773.60592723872,44.5191874051625
"5","China","1p5","iron and steel","MTCO2",2005,789.594946576475,1773.6059271881,44.519187406433
"6","China","Ref","iron and steel","MTCO2",2005,789.594946576475,1773.60592722348,44.5191874055451
"7","China","1p5 delay","iron and steel","MTCO2",2010,1353.44089716012,2407.04336620019,56.228355341046
"8","China","1p5","iron and steel","MTCO2",2010,1353.44089716012,2407.04336620019,56.228355341046
"9","China","Ref","iron and steel","MTCO2",2010,1353.44089716012,2407.04336620019,56.228355341046
"10","China","1p5 delay","iron and steel","MTCO2",2015,1600.98110444694,2832.45584794581,56.5227205786112
"11","China","1p5","iron and steel","MTCO2",2015,1600.98110444694,2832.45584794581,56.5227205786112
"12","China","Ref","iron and steel","MTCO2",2015,1600.98110444694,2832.45584794581,56.5227205786112
"13","China","1p5 delay","iron and steel","MTCO2",2020,2052.75269584786,3373.52837133557,60.84883451077
"14","China","1p5","iron and steel","MTCO2",2020,2052.75376161418,3373.52869586471,60.8488602492237
"15","China","Ref","iron and steel","MTCO2",2020,2108.89844627448,3449.91605798832,61.1289785266312
"16","China","1p5 delay","iron and steel","MTCO2",2025,1951.2345779156,3408.60560831395,57.2443633008269
"17","China","1p5","iron and steel","MTCO2",2025,1640.13086179022,2649.62326954247,61.9005305638578
"18","China","Ref","iron and steel","MTCO2",2025,2161.19202036074,3785.05385510855,57.0980520513297
"19","China","1p5 delay","iron and steel","MTCO2",2030,1652.71704431819,3102.81274149045,53.2651236801454
"20","China","1p5","iron and steel","MTCO2",2030,1074.68865113103,1785.93729126532,60.1750496160827
"21","China","Ref","iron and steel","MTCO2",2030,2090.64793640824,3912.7317860008,53.431925589387
"22","China","1p5 delay","iron and steel","MTCO2",2035,969.658037374902,1957.22144895631,49.542581800949
"23","China","1p5","iron and steel","MTCO2",2035,517.899115183887,1024.44820410216,50.5539580341964
"24","China","Ref","iron and steel","MTCO2",2035,1947.23797519306,3915.70082954153,49.7289772625723
"25","China","1p5 delay","iron and steel","MTCO2",2040,482.21234288762,1148.95664769959,41.9695855237962
"26","China","1p5","iron and steel","MTCO2",2040,224.892791188984,647.877925780889,34.7122169532046
"27","China","Ref","iron and steel","MTCO2",2040,1815.04462783921,3893.23585554075,46.6204641893474
"28","China","1p5 delay","iron and steel","MTCO2",2045,154.759663344525,549.410430344089,28.1683154882226
"29","China","1p5","iron and steel","MTCO2",2045,48.4418325657199,320.654048209155,15.1071950709078
"30","China","Ref","iron and steel","MTCO2",2045,1659.89129544372,3804.15566492749,43.6336323128711
"31","China","1p5 delay","iron and steel","MTCO2",2050,12.1739848815761,100.168795934431,12.1534703177875
"32","China","1p5","iron and steel","MTCO2",2050,11.8205699880676,97.7888379591502,12.0878519826623
"33","China","Ref","iron and steel","MTCO2",2050,1492.53694798565,3664.26974252926,40.7321800210981
"34","China","1p5 delay","iron and steel","MTCO2",2065,0,0,NA
"35","China","1p5","iron and steel","MTCO2",2065,0,0,NA
"36","China","Ref","iron and steel","MTCO2",2065,0,0,NA
"37","China","1p5 delay","iron and steel","MTCO2",2080,0,0,NA
"38","China","1p5","iron and steel","MTCO2",2080,0,0,NA
"39","China","Ref","iron and steel","MTCO2",2080,0,0,NA
"40","China","1p5 delay","iron and steel","MTCO2",2095,0,0,NA
"41","China","1p5","iron and steel","MTCO2",2095,0,0,NA
"42","China","Ref","iron and steel","MTCO2",2095,0,0,NA
"43","Europe","1p5 delay","iron and steel","MTCO2",1990,318.456406473981,1394.23405921435,22.840957324872
"44","Europe","1p5","iron and steel","MTCO2",1990,318.456406473981,1394.23405921435,22.840957324872
"45","Europe","Ref","iron and steel","MTCO2",1990,318.456406473981,1394.23405921435,22.840957324872
"46","Europe","1p5 delay","iron and steel","MTCO2",2005,218.593651446085,1773.60592723872,12.3248151175503
"47","Europe","1p5","iron and steel","MTCO2",2005,218.593651446085,1773.6059271881,12.324815117902
"48","Europe","Ref","iron and steel","MTCO2",2005,218.593651446085,1773.60592722348,12.3248151176562
"49","Europe","1p5 delay","iron and steel","MTCO2",2010,184.557419815369,2407.04336620019,7.6673907253576
"50","Europe","1p5","iron and steel","MTCO2",2010,184.557419815369,2407.04336620019,7.6673907253576
"51","Europe","Ref","iron and steel","MTCO2",2010,184.557419815369,2407.04336620019,7.6673907253576
"52","Europe","1p5 delay","iron and steel","MTCO2",2015,173.42559067704,2832.45584794581,6.12279943579047
