"","scenario","region","year","value"
"1","1p5 delay","China",2015,10827.6925587328
"2","1p5 delay","China",2020,12728.4160173007
"3","1p5 delay","China",2025,13643.6129256122
"4","1p5 delay","China",2030,13852.4783347241
"5","1p5 delay","China",2035,9716.56508474616
"6","1p5 delay","China",2040,5250.82789360424
"7","1p5 delay","China",2045,1914.43670136931
"8","1p5 delay","China",2050,-567.685670793572
"9","1p5 delay","Europe",2015,3513.08163767636
"10","1p5 delay","Europe",2020,3442.30485941984
"11","1p5 delay","Europe",2025,3586.56417264467
"12","1p5 delay","Europe",2030,3520.94331073859
"13","1p5 delay","Europe",2035,2495.99480055314
"14","1p5 delay","Europe",2040,1446.25794316189
"15","1p5 delay","Europe",2045,504.539415029028
"16","1p5 delay","Europe",2050,-391.968886118929
"17","1p5 delay","Global",2015,38837.9169936232
"18","1p5 delay","Global",2020,37821.729924439
"19","1p5 delay","Global",2025,41217.1590181893
"20","1p5 delay","Global",2030,42797.7537905294
"21","1p5 delay","Global",2035,28852.8087711626
"22","1p5 delay","Global",2040,15811.637688283
"23","1p5 delay","Global",2045,5572.25398271421
"24","1p5 delay","Global",2050,-5134.26511706822
"25","1p5 delay","India",2015,2295.77663268124
"26","1p5 delay","India",2020,2657.60978833982
"27","1p5 delay","India",2025,3624.54845244541
"28","1p5 delay","India",2030,4290.13239494588
"29","1p5 delay","India",2035,3546.00334120561
"30","1p5 delay","India",2040,2317.51577714923
"31","1p5 delay","India",2045,908.067118666935
"32","1p5 delay","India",2050,-241.209382577512
"33","1p5 delay","Japan",2015,1190.1522055095
"34","1p5 delay","Japan",2020,1160.58765967721
"35","1p5 delay","Japan",2025,1166.82932949652
"36","1p5 delay","Japan",2030,1120.66286937663
"37","1p5 delay","Japan",2035,944.742734902745
"38","1p5 delay","Japan",2040,553.210569369821
"39","1p5 delay","Japan",2045,227.135661673104
"40","1p5 delay","Japan",2050,13.5637830299452
"41","1p5 delay","ROW",2015,15484.113026686
"42","1p5 delay","ROW",2020,12246.8794720957
"43","1p5 delay","ROW",2025,13400.2344307524
"44","1p5 delay","ROW",2030,14248.8115613067
"45","1p5 delay","ROW",2035,7746.23574777821
"46","1p5 delay","ROW",2040,3540.65057616103
"47","1p5 delay","ROW",2045,838.707202170148
"48","1p5 delay","ROW",2050,-3523.01488854357
"49","1p5 delay","South Korea",2015,663.8723379112
"50","1p5 delay","South Korea",2020,689.154802534
"51","1p5 delay","South Korea",2025,706.605906800933
"52","1p5 delay","South Korea",2030,702.992264330767
"53","1p5 delay","South Korea",2035,568.889885588567
"54","1p5 delay","South Korea",2040,402.676989038646
"55","1p5 delay","South Korea",2045,212.778607134471
"56","1p5 delay","South Korea",2050,49.6673371144746
"57","1p5 delay","US",2015,4863.22859442611
"58","1p5 delay","US",2020,4896.77732507185
"59","1p5 delay","US",2025,5088.7638004372
"60","1p5 delay","US",2030,5061.73305510673
"61","1p5 delay","US",2035,3834.37717638816
"62","1p5 delay","US",2040,2300.49793979811
"63","1p5 delay","US",2045,966.589276671214
"64","1p5 delay","US",2050,-473.617409179055
"65","1p5","China",2015,10827.6925587328
"66","1p5","China",2020,12728.4184393063
"67","1p5","China",2025,10019.6973287703
"68","1p5","China",2030,7222.25112577071
"69","1p5","China",2035,4760.1710335789
"70","1p5","China",2040,2478.58465337697
"71","1p5","China",2045,888.1271474582
"72","1p5","China",2050,-556.575220442593
"73","1p5","Europe",2015,3513.08163767636
"74","1p5","Europe",2020,3442.2627579947
"75","1p5","Europe",2025,2724.13845161067
"76","1p5","Europe",2030,1947.84195350286
"77","1p5","Europe",2035,1380.58820361526
"78","1p5","Europe",2040,841.382460323308
"79","1p5","Europe",2045,216.185662306003
"80","1p5","Europe",2050,-263.372788896594
"81","1p5","Global",2015,38837.9169936232
"82","1p5","Global",2020,37821.5122663025
"83","1p5","Global",2025,27756.5090726666
"84","1p5","Global",2030,19432.2719064221
"85","1p5","Global",2035,14430.9311977825
"86","1p5","Global",2040,8710.15888456996
"87","1p5","Global",2045,2534.26909525676
"88","1p5","Global",2050,-3383.98978987144
"89","1p5","India",2015,2295.77663268124
"90","1p5","India",2020,2657.60154266199
"91","1p5","India",2025,2318.07688338108
"92","1p5","India",2030,1802.55728853265
"93","1p5","India",2035,1390.33082031148
"94","1p5","India",2040,900.5079816212
"95","1p5","India",2045,419.494795463664
"96","1p5","India",2050,-123.552186488821
"97","1p5","Japan",2015,1190.1522055095
"98","1p5","Japan",2020,1160.58396033635
"99","1p5","Japan",2025,1076.03742035096
"100","1p5","Japan",2030,807.243114489792
"101","1p5","Japan",2035,553.583358329946
"102","1p5","Japan",2040,320.255000321531
