,region,year.y,1p5C,1p5C_delay,1p5C_delay_no_css_steel_sector,1p5C_no_css_steel_sector,current_policies,current_policies_advEE,current_policies_advMEF,
1,China,1990,0.203219582,0.203219582,0.203219582,0.203217553,0.12367212,0.12367212,0.123668438,-2.02951E-06
2,China,2005,0.120889715,0.120889715,0.120889715,0.120887476,0.033122759,0.033122759,0.033118696,-2.23922E-06
3,China,2010,0.096341673,0.096341673,0.096341673,0.096339371,0.006123935,0.006123935,0.006119759,-2.30175E-06
4,China,2015,0.117509663,0.117509663,0.117509663,0.117507415,0.029405255,0.029405255,0.029401177,-2.24783E-06
5,China,2020,0,0,0,0,0,0,0,0
6,China,2025,-0.664249008,-0.027734512,-0.027734512,-0.737942137,-0.002786026,0.010969016,-0.00199603,0.073693128
7,China,2030,-0.640420532,-0.07407714,-0.074078414,-0.8836388,-0.004992156,0.023212685,-0.00362227,0.243218267
8,China,2035,-0.575124651,-0.499971345,-0.682550195,-0.885014258,-0.003225852,0.039679516,-0.001481965,0.309889607
9,China,2040,-0.73619292,-0.688497762,-0.765383121,-0.816496072,-0.000404807,0.057217896,0.001598225,0.080303151
10,China,2045,-0.736574991,-0.654060456,-0.721636027,-0.784172808,0.003878586,0.076253642,0.006062329,0.047597818
11,China,2050,-0.820528658,-0.836473742,-0.842204803,-0.828327558,0.009621526,0.09685539,0.011935561,0.007798899
12,China,2055,1,1,1,1,1,1,1,0
13,China,2060,1,1,1,1,1,1,1,0
14,China,2065,1,1,1,1,1,1,1,0
15,China,2070,1,1,1,1,1,1,1,0
16,China,2075,1,1,1,1,1,1,1,0
17,China,2080,1,1,1,1,1,1,1,0
18,China,2085,1,1,1,1,1,1,1,0
19,China,2090,1,1,1,1,1,1,1,0
20,China,2095,1,1,1,1,1,1,1,0
21,China,2100,1,1,1,1,1,1,1,0
22,Europe,1990,-0.072397076,-0.072397076,-0.072397076,-0.072393948,-0.102921359,-0.102921359,-0.102927315,-3.1281E-06
23,Europe,2005,0.071201717,0.071201717,0.071201717,0.071204427,0.044764773,0.044764773,0.044759615,2.70923E-06
24,Europe,2010,0.006461587,0.006461587,0.006461587,0.006464485,-0.021818095,-0.021818095,-0.021823612,2.89808E-06
25,Europe,2015,0.012838583,0.012838583,0.012838583,0.012841462,-0.015259586,-0.015259586,-0.015265069,2.87947E-06
26,Europe,2020,0,0,0,0,0,0,0,0
27,Europe,2025,-0.432102583,-0.004808853,-0.004809437,-0.455842159,0.012790621,0.025829038,0.013177087,0.023739577
28,Europe,2030,-0.39416497,-0.019609365,-0.019608781,-0.496498234,0.023142876,0.049427908,0.023750796,0.102333264
29,Europe,2035,-0.323843582,-0.293204133,-0.391213035,-0.485688117,0.033003138,0.072419586,0.033779109,0.161844534
30,Europe,2040,-0.334554555,-0.285445095,-0.415254386,-0.443847772,0.044390979,0.096606448,0.045245611,0.109293216
31,Europe,2045,-0.385968392,-0.353485442,-0.363508019,-0.377411931,0.064818893,0.128810397,0.065574036,-0.008556461
32,Europe,2050,-0.387601874,-0.397717793,-0.396860215,-0.383630811,0.079467087,0.155466823,0.080319509,-0.003971063
33,Europe,2055,1,1,1,1,1,1,1,0
34,Europe,2060,1,1,1,1,1,1,1,0
35,Europe,2065,1,1,1,1,1,1,1,0
36,Europe,2070,1,1,1,1,1,1,1,0
37,Europe,2075,1,1,1,1,1,1,1,0
38,Europe,2080,1,1,1,1,1,1,1,0
39,Europe,2085,1,1,1,1,1,1,1,0
40,Europe,2090,1,1,1,1,1,1,1,0
41,Europe,2095,1,1,1,1,1,1,1,0
42,Europe,2100,1,1,1,1,1,1,1,0
43,Global,1990,0.161129934,0.161129714,0.160388256,0.16039026,0.386791413,0.386790474,0.386795453,-0.000739674
44,Global,2005,0.188563011,0.188562798,0.187845588,0.187847526,0.406844815,0.406843906,0.406848723,-0.000715485
45,Global,2010,-0.327729793,-0.327730141,-0.32890369,-0.328900519,0.029438119,0.029436632,0.029444513,0.001170726
46,Global,2015,-0.586339738,-0.586340153,-0.587742282,-0.587738493,-0.159604077,-0.159605853,-0.159596437,0.001398755
47,Global,2020,0,0,0,0,0,0,0,0
48,Global,2025,-0.126768493,0.090971225,0.092409558,-0.136258332,0.028365077,0.044326507,0.028578383,0.009489839
49,Global,2030,-0.10812762,0.155827236,0.159740998,-0.147337664,0.04017876,0.071945519,0.040580064,0.039210044
50,Global,2035,-0.081254033,0.006542035,-0.020668727,-0.13916624,0.063531555,0.110074381,0.064006155,0.057912207
51,Global,2040,-0.085069618,-0.019833536,-0.072743868,-0.146783554,0.092591659,0.152493673,0.093181614,0.061713936
52,Global,2045,-0.186620515,-0.073416052,-0.11718096,-0.22851704,0.119403081,0.191941708,0.120262257,0.041896524
53,Global,2050,-0.370150734,-0.377318303,-0.408404799,-0.400389141,0.140413479,0.225446388,0.141577041,0.030238407
54,Global,2055,1,1,1,1,1,1,1,0
55,Global,2060,1,1,1,1,1,1,1,0
56,Global,2065,1,1,1,1,1,1,1,0
57,Global,2070,1,1,1,1,1,1,1,0
58,Global,2075,1,1,1,1,1,1,1,0
59,Global,2080,1,1,1,1,1,1,1,0
60,Global,2085,1,1,1,1,1,1,1,0
61,Global,2090,1,1,1,1,1,1,1,0
62,Global,2095,1,1,1,1,1,1,1,0
63,Global,2100,1,1,1,1,1,1,1,0
64,India,1990,0.428242287,0.428242287,0.428242287,0.428242287,0.423472405,0.423472405,0.423467255,0
65,India,2005,0.355647483,0.355647483,0.355647483,0.355647483,0.350271979,0.350271979,0.350266176,0
66,India,2010,-0.03001125,-0.03001125,-0.03001125,-0.03001125,-0.038604107,-0.038604107,-0.038613384,0
67,India,2015,0.027185515,0.027185515,0.027185515,0.027185515,0.019069821,0.019069821,0.01906106,0
68,India,2020,0,0,0,0,0,0,0,0
69,India,2025,-0.149391891,0.001036398,0.001036398,-0.142482572,-0.009351805,0.005350268,-0.008726643,-0.00690932
70,India,2030,-0.262368125,0.02184408,0.02184408,-0.25832883,-0.006323856,0.02294631,-0.00527886,-0.004039295
71,India,2035,-0.325800994,-0.180847012,-0.179279128,-0.337307668,0.009048117,0.052395116,0.010298689,0.011506675
72,India,2040,-0.347715938,-0.237087102,-0.267390669,-0.38485796,0.02397349,0.081111498,0.025536818,0.037142022
73,India,2045,-0.364829792,-0.281253599,-0.342241631,-0.421167321,0.040444099,0.110827371,0.042052235,0.056337529
74,India,2050,-0.356804351,-0.350426518,-0.39018168,-0.39018168,0.058022276,0.141168484,0.059639501,0.033377329
75,India,2055,1,1,1,1,1,1,1,0
76,India,2060,1,1,1,1,1,1,1,0
77,India,2065,1,1,1,1,1,1,1,0
78,India,2070,1,1,1,1,1,1,1,0
79,India,2075,1,1,1,1,1,1,1,0
80,India,2080,1,1,1,1,1,1,1,0
81,India,2085,1,1,1,1,1,1,1,0
82,India,2090,1,1,1,1,1,1,1,0
83,India,2095,1,1,1,1,1,1,1,0
84,India,2100,1,1,1,1,1,1,1,0
85,Japan,1990,-0.054447694,-0.054447694,-0.054447694,-0.054439966,-0.061715185,-0.061715185,-0.061732161,-7.72772E-06
86,Japan,2005,0.055974516,0.055974516,0.055974516,0.055981434,0.049468079,0.049468079,0.049452881,6.91847E-06
87,Japan,2010,-0.018087344,-0.018087344,-0.018087344,-0.018079883,-0.025104232,-0.025104232,-0.025120622,-7.46125E-06
88,Japan,2015,-0.011876232,-0.011876232,-0.011876232,-0.011868816,-0.018850312,-0.018850312,-0.018866602,-7.41573E-06
89,Japan,2020,0,0,0,0,0,0,0,0
90,Japan,2025,-0.607621407,0.015331736,0.015330514,-0.657762306,0.008416043,0.021265789,0.008959791,0.050140899
91,Japan,2030,-0.525686032,0.025808177,0.025804513,-0.746708196,0.015735035,0.041740767,0.01652857,0.221022164
