"","region","scenario","sector","subsector","output","technology","Units","year","value"
"1","China","1p5C_delay_no_css_steel_sector","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2015,0
"2","China","1p5C_no_css_steel_sector","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2015,0
"3","China","current_policies","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2015,0
"4","China","1p5C_delay_no_css_steel_sector","iron and steel","BLASTFUR","iron and steel","BF-BOF","Mt",2015,756
"5","China","1p5C_no_css_steel_sector","iron and steel","BLASTFUR","iron and steel","BF-BOF","Mt",2015,756
"6","China","current_policies","iron and steel","BLASTFUR","iron and steel","BF-BOF","Mt",2015,756
"7","China","1p5C_delay_no_css_steel_sector","iron and steel","BLASTFUR","iron and steel","BF-H2","Mt",2015,0
"8","China","1p5C_no_css_steel_sector","iron and steel","BLASTFUR","iron and steel","BF-H2","Mt",2015,0
"9","China","current_policies","iron and steel","BLASTFUR","iron and steel","BF-H2","Mt",2015,0
"10","China","1p5C_delay_no_css_steel_sector","iron and steel","EAF with DRI","iron and steel","DRI-EAF-Fossil","Mt",2015,2.37
"11","China","1p5C_no_css_steel_sector","iron and steel","EAF with DRI","iron and steel","DRI-EAF-Fossil","Mt",2015,2.37
"12","China","current_policies","iron and steel","EAF with DRI","iron and steel","DRI-EAF-Fossil","Mt",2015,2.37
"13","China","1p5C_delay_no_css_steel_sector","iron and steel","EAF with scrap","iron and steel","EAF-scrap","Mt",2015,45.1
"14","China","1p5C_no_css_steel_sector","iron and steel","EAF with scrap","iron and steel","EAF-scrap","Mt",2015,45.1
"15","China","current_policies","iron and steel","EAF with scrap","iron and steel","EAF-scrap","Mt",2015,45.1
"16","China","1p5C_delay_no_css_steel_sector","iron and steel","EAF with DRI","iron and steel","DRI-EAF-H2","Mt",2015,0
"17","China","1p5C_no_css_steel_sector","iron and steel","EAF with DRI","iron and steel","DRI-EAF-H2","Mt",2015,0
"18","China","current_policies","iron and steel","EAF with DRI","iron and steel","DRI-EAF-H2","Mt",2015,0
"19","China","1p5C_delay_no_css_steel_sector","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2020,0.448965
"20","China","1p5C_no_css_steel_sector","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2020,0.449007
"21","China","current_policies","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2020,0.510233
"22","China","1p5C_delay_no_css_steel_sector","iron and steel","BLASTFUR","iron and steel","BF-BOF","Mt",2020,955.175
