"","region","year.y","1p5C","1p5C_delay","1p5C_delay_no_css_steel_sector","1p5C_no_css_steel_sector","current_policies","current_policies_advEE","current_policies_advMEF"
"1","China",1990,0.20321958239673,0.20321958239673,0.20321958239673,0.203217552881903,0.123672120125504,0.123672120125504,0.123668437647514
"2","China",2005,0.120889715293653,0.120889715293653,0.120889715293653,0.120887476072762,0.0331227588525325,0.0331227588525325,0.0331186958708085
"3","China",2010,0.0963416730875771,0.0963416730875771,0.0963416730875771,0.0963393713392759,0.00612393545495292,0.00612393545495292,0.00611975901960598
"4","China",2015,0.117509663204682,0.117509663204682,0.117509663204682,0.117507415374309,0.0294052554908113,0.0294052554908113,0.0294011768875094
"5","China",2020,0,0,0,0,0,0,0
"6","China",2025,-0.664249008208152,-0.0277345118091683,-0.0277345118091683,-0.737942136519302,-0.00278602644554014,0.0109690161362617,-0.00199603035086717
"7","China",2030,-0.640420532479193,-0.0740771400734848,-0.0740784136424709,-0.883638799632702,-0.00499215598386383,0.023212684894666,-0.00362226981567882
"8","China",2035,-0.575124650564509,-0.499971344697814,-0.682550194537663,-0.885014257641115,-0.00322585163603769,0.039679515912147,-0.00148196499032805
"9","China",2040,-0.736192920230006,-0.688497761702507,-0.765383121390228,-0.816496071666457,-0.000404807261317772,0.057217895562528,0.00159822500374702
"10","China",2045,-0.736574990925821,-0.654060456319768,-0.721636026719477,-0.784172808468746,0.00387858583594796,0.0762536418646347,0.00606232937442304
"11","China",2050,-0.820528658486108,-0.83647374219143,-0.842204802628646,-0.82832755768327,0.00962152622142523,0.0968553899596593,0.0119355611366589
"12","China",2055,1,1,1,1,1,1,1
"13","China",2060,1,1,1,1,1,1,1
"14","China",2065,1,1,1,1,1,1,1
"15","China",2070,1,1,1,1,1,1,1
"16","China",2075,1,1,1,1,1,1,1
"17","China",2080,1,1,1,1,1,1,1
"18","China",2085,1,1,1,1,1,1,1
"19","China",2090,1,1,1,1,1,1,1
"20","China",2095,1,1,1,1,1,1,1
"21","China",2100,1,1,1,1,1,1,1
"22","Europe",1990,-0.072397076067743,-0.072397076067743,-0.072397076067743,-0.0723939479679256,-0.102921359100973,-0.102921359100973,-0.102927314825093
