,region,year,sector,Units,sector_mapping,Ref,1p5,1p5 delay,diff
1,China,2030,iron and steel,MTCO2,iron and steel,23.40459925,17.33837947,20.8726023,3.534222826
2,China,2050,iron and steel,MTCO2,iron and steel,59.17437546,22.96869208,31.92894927,8.96025719
3,Europe,2030,iron and steel,MTCO2,iron and steel,2.045758371,1.498999381,1.796797151,0.29779777
4,Europe,2050,iron and steel,MTCO2,iron and steel,5.704543572,2.152970207,2.957808085,0.804837878
5,Global,2030,iron and steel,MTCO2,iron and steel,41.01321281,28.29315732,36.47370329,8.180545972
6,Global,2050,iron and steel,MTCO2,iron and steel,117.8969474,40.31136156,59.77537845,19.46401689
7,India,2030,iron and steel,MTCO2,iron and steel,6.318364104,2.808487878,5.358999992,2.550512114
8,India,2050,iron and steel,MTCO2,iron and steel,26.4778927,5.300925676,10.49564516,5.194719487
9,Japan,2030,iron and steel,MTCO2,iron and steel,1.57346871,1.20879457,1.433766212,0.224971642
10,Japan,2050,iron and steel,MTCO2,iron and steel,4.133809304,1.739937558,2.367508962,0.627571403
11,ROW,2030,iron and steel,MTCO2,iron and steel,5.772599711,4.084445678,5.323704759,1.239259081
12,ROW,2050,iron and steel,MTCO2,iron and steel,17.23094202,6.301989816,9.31509561,3.013105795
13,South Korea,2030,iron and steel,MTCO2,iron and steel,1.003556211,0.752554922,0.928052916,0.175497995
14,South Korea,2050,iron and steel,MTCO2,iron and steel,2.630800556,1.075602819,1.556231193,0.480628373
15,US,2030,iron and steel,MTCO2,iron and steel,0.894866451,0.601495423,0.759779967,0.158284544
16,US,2050,iron and steel,MTCO2,iron and steel,2.544583744,0.771243403,1.15414017,0.382896767
