"","region","scenario","sector","Units","year","value.x","value.y","percent_reduction","absolute_reduction"
"1","China","1p5","iron and steel","MTCO2",2025,1559.81731835742,2052.77730681996,-24.0142945279441,-492.959988462544
"2","China","1p5","iron and steel","MTCO2",2030,907.575107044001,2052.77730681996,-55.7879413403121,-1145.20219977596
"3","China","1p5","iron and steel","MTCO2",2035,372.507832769495,2052.77730681996,-81.8534708303765,-1680.26947405046
"4","China","1p5","iron and steel","MTCO2",2040,152.870182262883,2052.77730681996,-92.5530070039745,-1899.90712455708
"5","China","1p5","iron and steel","MTCO2",2045,63.5202815804793,2052.77730681996,-96.9056418653185,-1989.25702523948
"6","China","1p5","iron and steel","MTCO2",2050,23.5349604558441,2052.77730681996,-98.853506399469,-2029.24234636411
"7","EU-27","1p5","iron and steel","MTCO2",2025,132.573547540775,175.477403756903,-24.4497897151273,-42.9038562161278
"8","EU-27","1p5","iron and steel","MTCO2",2030,78.3405096236339,175.477403756903,-55.3557848780561,-97.1368941332692
"9","EU-27","1p5","iron and steel","MTCO2",2035,37.2383279005392,175.477403756903,-78.778847245696,-138.239075856364
"10","EU-27","1p5","iron and steel","MTCO2",2040,24.0066338913231,175.477403756903,-86.3192448843268,-151.47076986558
"11","EU-27","1p5","iron and steel","MTCO2",2045,14.0316641569487,175.477403756903,-92.0037202189363,-161.445739599954
"12","EU-27","1p5","iron and steel","MTCO2",2050,4.36207744620464,175.477403756903,-97.5141657257207,-171.115326310699
"13","Global","1p5","iron and steel","MTCO2",2025,2524.70695202786,3364.91398126043,-24.9696436197708,-840.207029232569
"14","Global","1p5","iron and steel","MTCO2",2030,1518.80472109818,3364.91398126043,-54.8634904322498,-1846.10926016225
"15","Global","1p5","iron and steel","MTCO2",2035,747.596810485067,3364.91398126043,-77.7825877675175,-2617.31717077536
"16","Global","1p5","iron and steel","MTCO2",2040,451.225554870598,3364.91398126043,-86.5902796510246,-2913.68842638983
"17","Global","1p5","iron and steel","MTCO2",2045,279.515627048457,3364.91398126043,-91.693231131461,-3085.39835421197
"18","Global","1p5","iron and steel","MTCO2",2050,123.54886645462,3364.91398126043,-96.3283202143449,-3241.36511480581
"19","India","1p5","iron and steel","MTCO2",2025,261.358666542157,338.427950166803,-22.7727300852842,-77.0692836246461
"20","India","1p5","iron and steel","MTCO2",2030,195.554462147021,338.427950166803,-42.2168109783376,-142.873488019782
"21","India","1p5","iron and steel","MTCO2",2035,164.815481870591,338.427950166803,-51.2996837910824,-173.612468296212
"22","India","1p5","iron and steel","MTCO2",2040,151.54243237212,338.427950166803,-55.2216558066707,-186.885517794683
"23","India","1p5","iron and steel","MTCO2",2045,119.491703489372,338.427950166803,-64.692129172405,-218.936246677431
"24","India","1p5","iron and steel","MTCO2",2050,52.0131913781546,338.427950166803,-84.6309409868427,-286.414758788649
"25","Japan","1p5","iron and steel","MTCO2",2025,104.392822863229,145.587028083813,-28.2952442692004,-41.1942052205844
"26","Japan","1p5","iron and steel","MTCO2",2030,57.8818218712274,145.587028083813,-60.2424593502209,-87.7052062125859
"27","Japan","1p5","iron and steel","MTCO2",2035,25.2614006061691,145.587028083813,-82.648591060169,-120.325627477644
"28","Japan","1p5","iron and steel","MTCO2",2040,16.8436639161806,145.587028083813,-88.4305187502805,-128.743364167633
"29","Japan","1p5","iron and steel","MTCO2",2045,10.1002145599534,145.587028083813,-93.0624213620607,-135.48681352386
"30","Japan","1p5","iron and steel","MTCO2",2050,4.76743722199565,145.587028083813,-96.725369502528,-140.819590861818
"31","ROW","1p5","iron and steel","MTCO2",2025,349.310123742282,486.724675052253,-28.2325015256764,-137.414551309971
"32","ROW","1p5","iron and steel","MTCO2",2030,212.519441002932,486.724675052253,-56.3368261573924,-274.205234049321
"33","ROW","1p5","iron and steel","MTCO2",2035,118.774535469511,486.724675052253,-75.5971822351599,-367.950139582742
"34","ROW","1p5","iron and steel","MTCO2",2040,90.2418480948179,486.724675052253,-81.4593644579187,-396.482826957435
"35","ROW","1p5","iron and steel","MTCO2",2045,65.3105853035491,486.724675052253,-86.5816161269125,-421.414089748704
"36","ROW","1p5","iron and steel","MTCO2",2050,36.7337171011388,486.724675052253,-92.4528755199857,-449.990957951114
"37","South Korea","1p5","iron and steel","MTCO2",2025,68.2883083155601,90.5893999240363,-24.6177716456637,-22.3010916084763
"38","South Korea","1p5","iron and steel","MTCO2",2030,41.3905239618858,90.5893999240363,-54.3097492680227,-49.1988759621505
"39","South Korea","1p5","iron and steel","MTCO2",2035,19.6050538024955,90.5893999240363,-78.3583357225731,-70.9843461215408
"40","South Korea","1p5","iron and steel","MTCO2",2040,11.4022939117902,90.5893999240363,-87.4132139948475,-79.1871060122461
"41","South Korea","1p5","iron and steel","MTCO2",2045,5.15476938510826,90.5893999240363,-94.3097433149675,-85.4346305389281
"42","South Korea","1p5","iron and steel","MTCO2",2050,1.22095274727134,90.5893999240363,-98.6522123468141,-89.368447176765
"43","US","1p5","iron and steel","MTCO2",2025,48.9661646664403,75.3302174566609,-34.9979778106819,-26.3640527902206
"44","US","1p5","iron and steel","MTCO2",2030,25.5428554474771,75.3302174566609,-66.0921522466433,-49.7873620091838
"45","US","1p5","iron and steel","MTCO2",2035,9.39417806626605,75.3302174566609,-87.5293363228764,-65.9360393903949
"46","US","1p5","iron and steel","MTCO2",2040,4.31850042148375,75.3302174566609,-94.26724020282,-71.0117170351772
