"","region","year","scenario","em_intensity","em_intensity_2020","abs_reduction","perc_reduction","Units"
"1","China",2020,"1p5",1.97561748939756,1.97561748939756,0,0,"tCO2/t steel"
"2","China",2025,"1p5",1.62017981159751,1.97561748939756,0.355437677800049,-17.9912194393681,"tCO2/t steel"
"3","China",2030,"1p5",1.00163220272393,1.97561748939756,0.973985286673623,-49.3002968388698,"tCO2/t steel"
"4","China",2035,"1p5",0.453889768867057,1.97561748939756,1.5217277205305,-77.0254226183498,"tCO2/t steel"
"5","China",2040,"1p5",0.208818956255559,1.97561748939756,1.766798533142,-89.4301929712499,"tCO2/t steel"
"6","China",2045,"1p5",0.0967228380070892,1.97561748939756,1.87889465139047,-95.104171808249,"tCO2/t steel"
"7","China",2050,"1p5",0.0413086248034613,1.97561748939756,1.9343088645941,-97.9090777933912,"tCO2/t steel"
"8","EU-27",2020,"1p5",1.02175817291126,1.02175817291126,0,0,"tCO2/t steel"
"9","EU-27",2025,"1p5",0.796825853465223,1.02175817291126,0.22493231944604,-22.0142422551069,"tCO2/t steel"
"10","EU-27",2030,"1p5",0.481750478820929,1.02175817291126,0.540007694090333,-52.8508318706869,"tCO2/t steel"
"11","EU-27",2035,"1p5",0.240883351459551,1.02175817291126,0.780874821451712,-76.4246220049104,"tCO2/t steel"
"12","EU-27",2040,"1p5",0.165132816924361,1.02175817291126,0.856625355986902,-83.8383659360558,"tCO2/t steel"
"13","EU-27",2045,"1p5",0.1030759356941,1.02175817291126,0.918682237217163,-89.9119049470963,"tCO2/t steel"
"14","EU-27",2050,"1p5",0.0332837055207056,1.02175817291126,0.988474467390557,-96.7425065535937,"tCO2/t steel"
"15","Global",2020,"1p5",1.74651220076452,1.74651220076452,0,0,"tCO2/t steel"
"16","Global",2025,"1p5",1.30828750276681,1.74651220076452,0.438224697997716,-25.0914192185939,"tCO2/t steel"
"17","Global",2030,"1p5",0.769426414561447,1.74651220076452,0.977085786203075,-55.9449734032985,"tCO2/t steel"
"18","Global",2035,"1p5",0.378370017189141,1.74651220076452,1.36814218357538,-78.3356785584714,"tCO2/t steel"
"19","Global",2040,"1p5",0.229943059496928,1.74651220076452,1.51656914126759,-86.8341567040716,"tCO2/t steel"
"20","Global",2045,"1p5",0.143775033942034,1.74651220076452,1.60273716682249,-91.767876921839,"tCO2/t steel"
"21","Global",2050,"1p5",0.0653695708979861,1.74651220076452,1.68114262986654,-96.2571363160606,"tCO2/t steel"
"22","India",2020,"1p5",2.88467074115036,2.88467074115036,0,0,"tCO2/t steel"
"23","India",2025,"1p5",1.29300454475981,2.88467074115036,1.59166619639055,-55.176702619302,"tCO2/t steel"
"24","India",2030,"1p5",0.731930171584148,2.88467074115036,2.15274056956621,-74.6269076347942,"tCO2/t steel"
"25","India",2035,"1p5",0.507181341440025,2.88467074115036,2.37748939971033,-82.4180508990163,"tCO2/t steel"
"26","India",2040,"1p5",0.405255862132575,2.88467074115036,2.47941487901778,-85.9513997091063,"tCO2/t steel"
"27","India",2045,"1p5",0.290557715180244,2.88467074115036,2.59411302597011,-89.9275258338713,"tCO2/t steel"
"28","India",2050,"1p5",0.118932404510009,2.88467074115036,2.76573833664035,-95.8770890967411,"tCO2/t steel"
"29","Japan",2020,"1p5",1.4661845894435,1.4661845894435,0,0,"tCO2/t steel"
"30","Japan",2025,"1p5",1.21165412767907,1.4661845894435,0.254530461764434,-17.3600557253874,"tCO2/t steel"
"31","Japan",2030,"1p5",0.71616645488854,1.4661845894435,0.750018134554962,-51.1544139772766,"tCO2/t steel"
"32","Japan",2035,"1p5",0.333358857618903,1.4661845894435,1.1328257318246,-77.2635137472403,"tCO2/t steel"
"33","Japan",2040,"1p5",0.238058697290198,1.4661845894435,1.2281258921533,-83.7633883888689,"tCO2/t steel"
"34","Japan",2045,"1p5",0.15640900303024,1.4661845894435,1.30977558641326,-89.3322434189814,"tCO2/t steel"
"35","Japan",2050,"1p5",0.0812162209288494,1.4661845894435,1.38496836851465,-94.4607096873337,"tCO2/t steel"
"36","ROW",2020,"1p5",1.43783181930581,1.43783181930581,0,0,"tCO2/t steel"
"37","ROW",2025,"1p5",0.955914993150334,1.43783181930581,0.481916826155472,-33.5169120396949,"tCO2/t steel"
"38","ROW",2030,"1p5",0.512922141560979,1.43783181930581,0.924909677744827,-64.3266942159744,"tCO2/t steel"
"39","ROW",2035,"1p5",0.257061965286067,1.43783181930581,1.18076985401974,-82.1215553978922,"tCO2/t steel"
"40","ROW",2040,"1p5",0.177512968802584,1.43783181930581,1.26031885050322,-87.6541215447375,"tCO2/t steel"
"41","ROW",2045,"1p5",0.118643574239859,1.43783181930581,1.31918824506595,-91.7484386806003,"tCO2/t steel"
"42","ROW",2050,"1p5",0.0637244898722479,1.43783181930581,1.37410732943356,-95.5680150476142,"tCO2/t steel"
"43","South Korea",2020,"1p5",1.26666187808774,1.26666187808774,0,0,"tCO2/t steel"
"44","South Korea",2025,"1p5",1.08813889399073,1.26666187808774,0.17852298409701,-14.0939730787923,"tCO2/t steel"
"45","South Korea",2030,"1p5",0.701368278323038,1.26666187808774,0.565293599764698,-44.6286108032331,"tCO2/t steel"
"46","South Korea",2035,"1p5",0.357259686655624,1.26666187808774,0.909402191432113,-71.7951812685028,"tCO2/t steel"
"47","South Korea",2040,"1p5",0.226708739209925,1.26666187808774,1.03995313887781,-82.101873978225,"tCO2/t steel"
"48","South Korea",2045,"1p5",0.113146059078818,1.26666187808774,1.15351581900892,-91.067382619138,"tCO2/t steel"
"49","South Korea",2050,"1p5",0.0300686732691845,1.26666187808774,1.23659320481855,-97.6261483992414,"tCO2/t steel"
"50","US",2020,"1p5",0.844470867179829,0.844470867179829,0,0,"tCO2/t steel"
"51","US",2025,"1p5",0.581595773735345,0.844470867179829,0.262875093444484,-31.1289712482769,"tCO2/t steel"
"52","US",2030,"1p5",0.304485236359368,0.844470867179829,0.539985630820461,-63.9436660051734,"tCO2/t steel"
"53","US",2035,"1p5",0.113348263553954,0.844470867179829,0.731122603625876,-86.5775993039892,"tCO2/t steel"
"54","US",2040,"1p5",0.0529692085405702,0.844470867179829,0.791501658639259,-93.7275268337599,"tCO2/t steel"
"55","US",2045,"1p5",0.0240092925680715,0.844470867179829,0.820461574611758,-97.1568832625035,"tCO2/t steel"
"56","US",2050,"1p5",0.0120393909836588,0.844470867179829,0.832431476196171,-98.5743272560882,"tCO2/t steel"
