"","region","year","input","total_energy","share","Ref","1p5","1p5 delay"
"1","China",2015,"biomass",5000.0739722782,0,0,0,0
"2","China",2015,"coal",5000.0739722782,88.278457980913,4413.98820063218,4413.98820063218,4413.98820063218
"3","China",2015,"coal with CCS",5000.0739722782,0,NA,0,0
"4","China",2015,"electricity",5000.0739722782,10.6631718859446,533.1664820884,533.1664820884,533.1664820884
"5","China",2015,"gas",5000.0739722782,0.835008314522532,41.7510334008,41.7510334008,41.7510334008
"6","China",2015,"gas with CCS",5000.0739722782,0,NA,0,0
"7","China",2015,"hydrogen",5000.0739722782,0,0,0,0
"8","China",2015,"refined liquids",5000.0739722782,0.223361818619883,11.16825615682,11.16825615682,11.16825615682
"9","China",2015,"refined liquids with CCS",5000.0739722782,0,NA,0,0
"10","China",2020,"biomass",6514.71987181062,0.0320998112770549,NA,2.09121278408,2.09121278408
"11","China",2020,"biomass",6572.8962164461,0.0360952283418646,2.372501898,NA,NA
"12","China",2020,"coal",6514.71987181062,85.7275911924249,NA,5584.91241903747,5584.91241903747
"13","China",2020,"coal",6572.8962164461,88.6322552975824,5825.70615500564,NA,NA
"14","China",2020,"coal with CCS",6514.71987181062,0,NA,0,0
"15","China",2020,"electricity",6514.71987181062,10.9124503551367,NA,710.915571787558,710.915571787558
"16","China",2020,"electricity",6572.8962164461,10.64987022306,700.00491694793,NA,NA
"17","China",2020,"gas",6514.71987181062,2.96854046485013,NA,193.39209556633,193.39209556633
"18","China",2020,"gas",6572.8962164461,0.469323002648994,30.8481138840269,NA,NA
"19","China",2020,"gas with CCS",6514.71987181062,0,NA,0,0
"20","China",2020,"hydrogen",6514.71987181062,0,NA,0,0
"21","China",2020,"hydrogen",6572.8962164461,0.00868626746625708,0.57093934564,NA,NA
"22","China",2020,"refined liquids",6514.71987181062,0.359318176311249,NA,23.4085726351765,23.4085726351765
"23","China",2020,"refined liquids",6572.8962164461,0.203769980900515,13.3935893648629,NA,NA
"24","China",2020,"refined liquids with CCS",6514.71987181062,0,NA,0,0
"25","China",2025,"biomass",5772.73161887605,0.965986506588319,NA,55.7638084999,NA
"26","China",2025,"biomass",6250.16964093727,0.165589149074168,NA,NA,10.34960272412
"27","China",2025,"biomass",6741.49975946772,0.209703917406002,14.13718908752,NA,NA
"28","China",2025,"coal",5772.73161887605,72.6828540007701,NA,4195.78609440397,NA
"29","China",2025,"coal",6250.16964093727,84.3936812747908,NA,NA,5274.74824590633
"30","China",2025,"coal",6741.49975946772,88.5084069106024,5966.79403898697,NA,NA
"31","China",2025,"coal with CCS",5772.73161887605,10.3491215375587,NA,597.42701127456,NA
"32","China",2025,"coal with CCS",6250.16964093727,0,NA,NA,0
"33","China",2025,"electricity",5772.73161887605,11.9208612936023,NA,688.159329138134,NA
"34","China",2025,"electricity",6250.16964093727,11.5328929366569,NA,NA,720.825373048726
"35","China",2025,"electricity",6741.49975946772,10.6220524706135,716.085641756944,NA,NA
"36","China",2025,"gas",5772.73161887605,2.1700556205246,NA,125.271486953221,NA
"37","China",2025,"gas",6250.16964093727,2.98319691704903,NA,NA,186.454868038775
"38","China",2025,"gas",6741.49975946772,0.401143798971786,27.0431082428026,NA,NA
"39","China",2025,"gas with CCS",5772.73161887605,0.579021405238443,NA,33.42535174026,NA
"40","China",2025,"gas with CCS",6250.16964093727,0,NA,NA,0
"41","China",2025,"hydrogen",5772.73161887605,0.880554853393601,NA,50.8320684434,NA
"42","China",2025,"hydrogen",6250.16964093727,0.49577494003432,NA,NA,30.9867747894
"43","China",2025,"hydrogen",6741.49975946772,0.0586735226244718,3.9554753866,NA,NA
"44","China",2025,"refined liquids",5772.73161887605,0.418206504287531,NA,24.1419391052025,NA
"45","China",2025,"refined liquids",6250.16964093727,0.428864782394858,NA,NA,26.8047764299151
"46","China",2025,"refined liquids",6741.49975946772,0.200019379781826,13.4843060068806,NA,NA
"47","China",2025,"refined liquids with CCS",5772.73161887605,0.0333382780364681,NA,1.9245293174,NA
"48","China",2025,"refined liquids with CCS",6250.16964093727,0,NA,NA,0
"49","China",2030,"biomass",5007.07773774232,1.95170749548105,NA,97.72351151208,NA
"50","China",2030,"biomass",5496.38286871944,0.413528655593373,NA,NA,22.72911818328
"51","China",2030,"biomass",6550.63019567774,0.572603423863087,37.50913278506,NA,NA
"52","China",2030,"coal",5007.07773774232,45.9705116533661,NA,2301.77925492193,NA
"53","China",2030,"coal",5496.38286871944,79.4539871581204,NA,NA,4367.09533867348
"54","China",2030,"coal",6550.63019567774,88.0392043382631,5767.1227034167,NA,NA
"55","China",2030,"coal with CCS",5007.07773774232,29.3235843419063,NA,1468.25466349168,NA
"56","China",2030,"coal with CCS",5496.38286871944,0,NA,NA,0
"57","China",2030,"electricity",5007.07773774232,14.4067411090845,NA,721.356726807142,NA
"58","China",2030,"electricity",5496.38286871944,13.1463663120936,NA,NA,722.574625837016
"59","China",2030,"electricity",6550.63019567774,10.5883840362366,693.605881912039,NA,NA
"60","China",2030,"gas",5007.07773774232,2.14895100731836,NA,107.599647482427,NA
"61","China",2030,"gas",5496.38286871944,4.59348421724728,NA,NA,252.475479594111
"62","China",2030,"gas",6550.63019567774,0.431059183137983,28.2370930118786,NA,NA
"63","China",2030,"gas with CCS",5007.07773774232,1.80449925780781,NA,90.35268061542,NA
"64","China",2030,"gas with CCS",5496.38286871944,0,NA,NA,0
"65","China",2030,"hydrogen",5007.07773774232,3.66386822222813,NA,183.4527300954,NA
"66","China",2030,"hydrogen",5496.38286871944,1.70924769295571,NA,NA,93.9467973796
"67","China",2030,"hydrogen",6550.63019567774,0.164930978028528,10.8040184487634,NA,NA
"68","China",2030,"refined liquids",5007.07773774232,0.627422078251945,NA,31.4155112018333,NA
"69","China",2030,"refined liquids",5496.38286871944,0.683385963989662,NA,NA,37.561509051961
"70","China",2030,"refined liquids",6550.63019567774,0.203818040470612,13.3513661033066,NA,NA
"71","China",2030,"refined liquids with CCS",5007.07773774232,0.102714834555874,NA,5.143011614406,NA
"72","China",2030,"refined liquids with CCS",5496.38286871944,0,NA,NA,0
"73","China",2035,"biomass",4030.65808040388,2.21641376111784,NA,89.33606035768,NA
"74","China",2035,"biomass",4148.98669897837,1.26477589479526,NA,NA,52.47538364694
"75","China",2035,"biomass",6147.27184769132,1.04149066310976,64.02326232968,NA,NA
"76","China",2035,"coal",4030.65808040388,19.7322011998393,NA,795.337562102874,NA
"77","China",2035,"coal",4148.98669897837,56.6715674202435,NA,NA,2351.29579436846
"78","China",2035,"coal",6147.27184769132,87.4996080561041,5378.83877287313,NA,NA
"79","China",2035,"coal with CCS",4030.65808040388,44.652221204122,NA,1799.77836204376,NA
"80","China",2035,"coal with CCS",4148.98669897837,13.5043643718203,NA,NA,560.2942815684
"81","China",2035,"electricity",4030.65808040388,18.7903372238664,NA,757.374245648912,NA
"82","China",2035,"electricity",4148.98669897837,17.3605400504039,NA,NA,720.28649756207
"83","China",2035,"electricity",6147.27184769132,10.5384705214136,647.828431540108,NA,NA
"84","China",2035,"gas",4030.65808040388,1.74074860706787,NA,70.163624390299,NA
"85","China",2035,"gas",4148.98669897837,2.99417497002105,NA,NA,124.227921250313
"86","China",2035,"gas",6147.27184769132,0.405784479800185,24.9446750890574,NA,NA
"87","China",2035,"gas with CCS",4030.65808040388,3.53301633447238,NA,142.4038083674,NA
"88","China",2035,"gas with CCS",4148.98669897837,1.83953014542643,NA,NA,76.32186105744
"89","China",2035,"hydrogen",4030.65808040388,8.17743533569021,NA,329.6044581278,NA
"90","China",2035,"hydrogen",4148.98669897837,5.29170460199503,NA,NA,219.552120086
"91","China",2035,"hydrogen",6147.27184769132,0.309519892613127,19.0270292216112,NA,NA
"92","China",2035,"refined liquids",4030.65808040388,0.961673442677772,NA,38.7617683243899,NA
"93","China",2035,"refined liquids",4148.98669897837,0.975249927987007,NA,NA,40.4629897939771
"94","China",2035,"refined liquids",6147.27184769132,0.205126386959265,12.6096766377332,NA,NA
"95","China",2035,"refined liquids with CCS",4030.65808040388,0.195952891146216,NA,7.89819104077,NA
"96","China",2035,"refined liquids with CCS",4148.98669897837,0.0980926173074535,NA,NA,4.069849644766
"97","China",2040,"biomass",3126.34162807408,1.68445044488248,NA,52.66167546264,NA
"98","China",2040,"biomass",3130.04252970146,1.29222184954202,NA,NA,40.44709346876
"99","China",2040,"biomass",5764.30278542743,1.39467913460238,80.39352820366,NA,NA
"100","China",2040,"coal",3126.34162807408,7.75338560312118,NA,242.39732169548,NA
"101","China",2040,"coal",3130.04252970146,34.3931083434621,NA,NA,1076.51891843667
"102","China",2040,"coal",5764.30278542743,87.1216993976665,5021.9585450914,NA,NA
"103","China",2040,"coal with CCS",3126.34162807408,41.1032539983651,NA,1285.02814024391,NA
"104","China",2040,"coal with CCS",3130.04252970146,18.384846457505,NA,NA,575.45351314022
"105","China",2040,"electricity",3126.34162807408,25.6240716364002,NA,801.096018376302,NA
"106","China",2040,"electricity",3130.04252970146,25.0191592322551,NA,NA,783.110324543314
"107","China",2040,"electricity",5764.30278542743,10.4889819796367,604.61668041518,NA,NA
"108","China",2040,"gas",3126.34162807408,1.34792569819372,NA,42.1407622181384,NA
"109","China",2040,"gas",3130.04252970146,2.60765440821724,NA,NA,81.6206920048347
"110","China",2040,"gas",5764.30278542743,0.348091774959184,20.065063879816,NA,NA
"111","China",2040,"gas with CCS",3126.34162807408,6.53554055930431,NA,204.323325125196,NA
"112","China",2040,"gas with CCS",3130.04252970146,4.66172551302237,NA,NA,145.913991175544
"113","China",2040,"hydrogen",3126.34162807408,14.0971572993416,NA,440.7252970244,NA
"114","China",2040,"hydrogen",3130.04252970146,11.8058497396751,NA,NA,369.52811784448
"115","China",2040,"hydrogen",5764.30278542743,0.442792205700825,25.5238834468682,NA,NA
"116","China",2040,"refined liquids",3126.34162807408,1.50848426415635,NA,47.160371503267,NA
