"","year","region","scenario","color","value","total","share"
"1",2020,"China","Ref","green",0.00066592619,0.00366605519,18.1646526167
"2",2020,"China","Ref","grey",0.003000129,0.00366605519,81.8353473833
"3",2020,"China","1p5","blue",0,0.0059952315,0
"4",2020,"China","1p5","green",0.0008347215,0.0059952315,13.9230903760764
"5",2020,"China","1p5","grey",0.00516051,0.0059952315,86.0769096239236
"6",2020,"China","1p5 delay","blue",0,0.0059952315,0
"7",2020,"China","1p5 delay","green",0.0008347215,0.0059952315,13.9230903760764
"8",2020,"China","1p5 delay","grey",0.00516051,0.0059952315,86.0769096239236
"9",2020,"EU-27","Ref","green",0.0009177587,0.0050967097,18.0068858934618
"10",2020,"EU-27","Ref","grey",0.004178951,0.0050967097,81.9931141065382
"11",2020,"EU-27","1p5","blue",0,0.0217239898,0
"12",2020,"EU-27","1p5","green",0.0029142998,0.0217239898,13.4151222994958
"13",2020,"EU-27","1p5","grey",0.01880969,0.0217239898,86.5848777005042
"14",2020,"EU-27","1p5 delay","blue",0,0.0217239898,0
"15",2020,"EU-27","1p5 delay","green",0.0029142998,0.0217239898,13.4151222994958
"16",2020,"EU-27","1p5 delay","grey",0.01880969,0.0217239898,86.5848777005042
"17",2020,"Global","Ref","green",0.00853197100093,0.05096339306093,16.741371577692
"18",2020,"Global","Ref","grey",0.04243142206,0.05096339306093,83.258628422308
"19",2020,"Global","1p5","blue",0,0.19962296778072,0
"20",2020,"Global","1p5","green",0.02295775025072,0.19962296778072,11.5005555252231
"21",2020,"Global","1p5","grey",0.17666521753,0.19962296778072,88.4994444747769
"22",2020,"Global","1p5 delay","blue",0,0.19962300599867,0
"23",2020,"Global","1p5 delay","green",0.02295775251867,0.19962300599867,11.5005544595511
"24",2020,"Global","1p5 delay","grey",0.17666525348,0.19962300599867,88.4994455404489
"25",2020,"India","Ref","green",0.00091486936,0.00567677936,16.1159929245515
"26",2020,"India","Ref","grey",0.00476191,0.00567677936,83.8840070754485
"27",2020,"India","1p5","blue",0,0.0245195749,0
"28",2020,"India","1p5","green",0.0026791749,0.0245195749,10.9266776072859
"29",2020,"India","1p5","grey",0.0218404,0.0245195749,89.0733223927141
"30",2020,"India","1p5 delay","blue",0,0.0245195749,0
"31",2020,"India","1p5 delay","green",0.0026791749,0.0245195749,10.9266776072859
"32",2020,"India","1p5 delay","grey",0.0218404,0.0245195749,89.0733223927141
"33",2020,"Japan","Ref","green",0.00022003021,0.00115352721,19.0745574176789
"34",2020,"Japan","Ref","grey",0.000933497,0.00115352721,80.9254425823211
"35",2020,"Japan","1p5","blue",0,0.0047244509,0
"36",2020,"Japan","1p5","green",0.0006108009,0.0047244509,12.9285056174465
"37",2020,"Japan","1p5","grey",0.00411365,0.0047244509,87.0714943825535
"38",2020,"Japan","1p5 delay","blue",0,0.0047244509,0
"39",2020,"Japan","1p5 delay","green",0.0006108009,0.0047244509,12.9285056174465
"40",2020,"Japan","1p5 delay","grey",0.00411365,0.0047244509,87.0714943825535
"41",2020,"ROW","Ref","green",0.00449295869093,0.02807854675093,16.001393272895
"42",2020,"ROW","Ref","grey",0.02358558806,0.02807854675093,83.998606727105
"43",2020,"ROW","1p5","blue",0,0.11416324628072,0
"44",2020,"ROW","1p5","green",0.01227370875072,0.11416324628072,10.7510158922248
"45",2020,"ROW","1p5","grey",0.10188953753,0.11416324628072,89.2489841077752
"46",2020,"ROW","1p5 delay","blue",0,0.11416328449867,0
"47",2020,"ROW","1p5 delay","green",0.01227371101867,0.11416328449867,10.7510142797381
"48",2020,"ROW","1p5 delay","grey",0.10188957348,0.11416328449867,89.2489857202619
"49",2020,"South Korea","Ref","green",0.00037618641,0.00193743341,19.4167401087607
"50",2020,"South Korea","Ref","grey",0.001561247,0.00193743341,80.5832598912393
"51",2020,"South Korea","1p5","blue",0,0.0078742745,0
"52",2020,"South Korea","1p5","green",0.0010374445,0.0078742745,13.1751121960506
"53",2020,"South Korea","1p5","grey",0.00683683,0.0078742745,86.8248878039494
"54",2020,"South Korea","1p5 delay","blue",0,0.0078742745,0
"55",2020,"South Korea","1p5 delay","green",0.0010374445,0.0078742745,13.1751121960506
"56",2020,"South Korea","1p5 delay","grey",0.00683683,0.0078742745,86.8248878039494
"57",2020,"US","Ref","green",0.00094424144,0.00535434144,17.635062137539
"58",2020,"US","Ref","grey",0.0044101,0.00535434144,82.364937862461
"59",2020,"US","1p5","blue",0,0.0206221999,0
"60",2020,"US","1p5","green",0.0026075999,0.0206221999,12.644625271041
"61",2020,"US","1p5","grey",0.0180146,0.0206221999,87.355374728959
"62",2020,"US","1p5 delay","blue",0,0.0206221999,0
"63",2020,"US","1p5 delay","green",0.0026075999,0.0206221999,12.644625271041
"64",2020,"US","1p5 delay","grey",0.0180146,0.0206221999,87.355374728959
"65",2025,"China","Ref","green",0.0036408793,0.0202268693,18.0002117282678
"66",2025,"China","Ref","grey",0.01658599,0.0202268693,81.9997882717322
"67",2025,"China","1p5","blue",0.0708913,0.211627043,33.4982235706048
"68",2025,"China","1p5","green",0.091552763,0.211627043,43.2613723190377
"69",2025,"China","1p5","grey",0.04918298,0.211627043,23.2404041103575
"70",2025,"China","1p5 delay","blue",0,0.13328146,0
"71",2025,"China","1p5 delay","green",0.02117336,0.13328146,15.8862005263148
"72",2025,"China","1p5 delay","grey",0.1121081,0.13328146,84.1137994736852
"73",2025,"EU-27","Ref","green",0.00280252938,0.01588506938,17.6425378634387
"74",2025,"EU-27","Ref","grey",0.01308254,0.01588506938,82.3574621365614
"75",2025,"EU-27","1p5","blue",0.02829268,0.0856758842,33.0229215189121
"76",2025,"EU-27","1p5","green",0.0338812942,0.0856758842,39.5458938257447
"77",2025,"EU-27","1p5","grey",0.02350191,0.0856758842,27.4311846553432
"78",2025,"EU-27","1p5 delay","blue",0,0.070915879,0
"79",2025,"EU-27","1p5 delay","green",0.010760679,0.070915879,15.1738639522469
"80",2025,"EU-27","1p5 delay","grey",0.0601552,0.070915879,84.8261360477531
"81",2025,"Global","Ref","green",0.03222872517919,0.19216463937919,16.7714129318009
"82",2025,"Global","Ref","grey",0.1599359142,0.19216463937919,83.2285870681991
"83",2025,"Global","1p5","blue",0.34548455821,1.1188782814294,30.8777606951699
"84",2025,"Global","1p5","green",0.4317879790024,1.1188782814294,38.5911484894298
"85",2025,"Global","1p5","grey",0.341605744217,1.1188782814294,30.5310908154003
"86",2025,"Global","1p5 delay","blue",0,0.8437616340994,0
"87",2025,"Global","1p5 delay","green",0.1145120609994,0.8437616340994,13.5716126891247
"88",2025,"Global","1p5 delay","grey",0.7292495731,0.8437616340994,86.4283873108753
"89",2025,"India","Ref","green",0.0055134824,0.0352582624,15.6374195002871
"90",2025,"India","Ref","grey",0.02974478,0.0352582624,84.3625804997129
"91",2025,"India","1p5","blue",0.0616217,0.207708724,29.6673624551273
"92",2025,"India","1p5","green",0.072776744,0.207708724,35.0378850721744
"93",2025,"India","1p5","grey",0.07331028,0.207708724,35.2947524726983
"94",2025,"India","1p5 delay","blue",0,0.162218109,0
"95",2025,"India","1p5 delay","green",0.019405709,0.162218109,11.9627266768348
"96",2025,"India","1p5 delay","grey",0.1428124,0.162218109,88.0372733231652
"97",2025,"Japan","Ref","green",0.0013289157,0.0071239457,18.6542087203163
"98",2025,"Japan","Ref","grey",0.00579503,0.0071239457,81.3457912796837
"99",2025,"Japan","1p5","blue",0.00956002,0.0327607267,29.181342915693
"100",2025,"Japan","1p5","green",0.0123788167,0.0327607267,37.7855375839389
"101",2025,"Japan","1p5","grey",0.01082189,0.0327607267,33.0331195003681
"102",2025,"Japan","1p5 delay","blue",0,0.028498219,0
"103",2025,"Japan","1p5 delay","green",0.004155819,0.028498219,14.5827323454845
"104",2025,"Japan","1p5 delay","grey",0.0243424,0.028498219,85.4172676545155
"105",2025,"ROW","Ref","green",0.01530502339919,0.09379110759919,16.3182030695223
"106",2025,"ROW","Ref","grey",0.0784860842,0.09379110759919,83.6817969304777
"107",2025,"ROW","1p5","blue",0.15288050421,0.4927070387294,31.0286828059632
"108",2025,"ROW","1p5","green",0.1872556603024,0.4927070387294,38.0054770042047
"109",2025,"ROW","1p5","grey",0.152570874217,0.4927070387294,30.9658401898321
"110",2025,"ROW","1p5 delay","blue",0,0.3750140070994,0
"111",2025,"ROW","1p5 delay","green",0.0477738339994,0.3750140070994,12.7392132280374
"112",2025,"ROW","1p5 delay","grey",0.3272401731,0.3750140070994,87.2607867719626
"113",2025,"South Korea","Ref","green",0.0014708062,0.0077848462,18.893195346621
"114",2025,"South Korea","Ref","grey",0.00631404,0.0077848462,81.106804653379
