"","region","scenario","sector","subsector","input","technology","Units","year","value"
"1","China","1p5","iron and steel","BLASTFUR","biomass","Biomass-based","TWh",2015,0
"2","China","1p5 delay","iron and steel","BLASTFUR","biomass","Biomass-based","TWh",2015,0
"3","China","Ref","iron and steel","BLASTFUR","biomass","Biomass-based","TWh",2015,0
"4","China","1p5","iron and steel","BLASTFUR","electricity","Biomass-based","TWh",2015,0
"5","China","1p5 delay","iron and steel","BLASTFUR","electricity","Biomass-based","TWh",2015,0
"6","China","Ref","iron and steel","BLASTFUR","electricity","Biomass-based","TWh",2015,0
"7","China","1p5","iron and steel","BLASTFUR","refined liquids","Biomass-based","TWh",2015,0
"8","China","1p5 delay","iron and steel","BLASTFUR","refined liquids","Biomass-based","TWh",2015,0
"9","China","Ref","iron and steel","BLASTFUR","refined liquids","Biomass-based","TWh",2015,0
"10","China","1p5","iron and steel","BLASTFUR","gas","Biomass-based","TWh",2015,0
"11","China","1p5 delay","iron and steel","BLASTFUR","gas","Biomass-based","TWh",2015,0
"12","China","Ref","iron and steel","BLASTFUR","gas","Biomass-based","TWh",2015,0
"13","China","1p5","iron and steel","BLASTFUR","coal","BLASTFUR","TWh",2015,4412.0590852
"14","China","1p5 delay","iron and steel","BLASTFUR","coal","BLASTFUR","TWh",2015,4412.0590852
"15","China","Ref","iron and steel","BLASTFUR","coal","BLASTFUR","TWh",2015,4412.0590852
"16","China","1p5","iron and steel","BLASTFUR","electricity","BLASTFUR","TWh",2015,453.41147384
"17","China","1p5 delay","iron and steel","BLASTFUR","electricity","BLASTFUR","TWh",2015,453.41147384
"18","China","Ref","iron and steel","BLASTFUR","electricity","BLASTFUR","TWh",2015,453.41147384
"19","China","1p5","iron and steel","BLASTFUR","refined liquids","BLASTFUR","TWh",2015,2.1630017304
"20","China","1p5 delay","iron and steel","BLASTFUR","refined liquids","BLASTFUR","TWh",2015,2.1630017304
"21","China","Ref","iron and steel","BLASTFUR","refined liquids","BLASTFUR","TWh",2015,2.1630017304
"22","China","1p5","iron and steel","BLASTFUR","gas","BLASTFUR","TWh",2015,7.5810060648
"23","China","1p5 delay","iron and steel","BLASTFUR","gas","BLASTFUR","TWh",2015,7.5810060648
"24","China","Ref","iron and steel","BLASTFUR","gas","BLASTFUR","TWh",2015,7.5810060648
"25","China","1p5","iron and steel","BLASTFUR","coal with CCS","BLASTFUR CCS","TWh",2015,0
"26","China","1p5 delay","iron and steel","BLASTFUR","coal with CCS","BLASTFUR CCS","TWh",2015,0
"27","China","1p5","iron and steel","BLASTFUR","electricity","BLASTFUR CCS","TWh",2015,0
"28","China","1p5 delay","iron and steel","BLASTFUR","electricity","BLASTFUR CCS","TWh",2015,0
"29","China","1p5","iron and steel","BLASTFUR","refined liquids with CCS","BLASTFUR CCS","TWh",2015,0
"30","China","1p5 delay","iron and steel","BLASTFUR","refined liquids with CCS","BLASTFUR CCS","TWh",2015,0
"31","China","1p5","iron and steel","BLASTFUR","gas with CCS","BLASTFUR CCS","TWh",2015,0
