"","region","scenario","sector","Units","year","value","sum","share"
"1","China","1p5","iron and steel","MTCO2",1990,212.857619333333,1394.23405921435,15.266993223023
"2","China","1p5 delay","iron and steel","MTCO2",1990,212.857619333333,1394.23405921435,15.266993223023
"3","China","Ref","iron and steel","MTCO2",1990,212.857619333333,1394.23405921435,15.266993223023
"4","China","1p5","iron and steel","MTCO2",2005,789.594946576475,1773.6059271881,44.519187406433
"5","China","1p5 delay","iron and steel","MTCO2",2005,789.594946576475,1773.60592722347,44.5191874055451
"6","China","Ref","iron and steel","MTCO2",2005,789.594946576475,1773.60592722348,44.5191874055451
"7","China","1p5","iron and steel","MTCO2",2010,1353.44089716012,2407.04336620019,56.228355341046
"8","China","1p5 delay","iron and steel","MTCO2",2010,1353.44089716012,2407.04336636049,56.2283553373014
"9","China","Ref","iron and steel","MTCO2",2010,1353.44089716012,2407.04336620019,56.228355341046
"10","China","1p5","iron and steel","MTCO2",2015,1600.98110444694,2832.45584794581,56.5227205786112
"11","China","1p5 delay","iron and steel","MTCO2",2015,1600.98110444694,2832.45584794581,56.5227205786112
"12","China","Ref","iron and steel","MTCO2",2015,1600.98110444694,2832.45584794581,56.5227205786112
"13","China","1p5","iron and steel","MTCO2",2020,2052.77730681996,3364.91398126043,61.0053427294754
"14","China","1p5 delay","iron and steel","MTCO2",2020,2052.77730573566,3364.91397047447,61.0053428927994
"15","China","Ref","iron and steel","MTCO2",2020,2108.24169894328,3445.7975444565,61.1829822194563
"16","China","1p5","iron and steel","MTCO2",2025,1559.81731835742,2524.70695202786,61.7821136470734
"17","China","1p5 delay","iron and steel","MTCO2",2025,1940.22934083735,3357.12685621604,57.7943409330758
"18","China","Ref","iron and steel","MTCO2",2025,2158.3343070012,3773.14499113032,57.2025276546457
"19","China","1p5","iron and steel","MTCO2",2030,907.575107044001,1518.80472109818,59.7558787141361
"20","China","1p5 delay","iron and steel","MTCO2",2030,1627.25671594002,3005.24294101858,54.1472602340924
"21","China","Ref","iron and steel","MTCO2",2030,2086.51705504924,3888.42498703668,53.6596967153878
"22","China","1p5","iron and steel","MTCO2",2035,372.507832769495,747.596810485067,49.8273705217922
"23","China","1p5 delay","iron and steel","MTCO2",2035,897.023871173425,1768.1942503024,50.7310704703408
"24","China","Ref","iron and steel","MTCO2",2035,1945.76628828004,3898.67747549357,49.908367658284
"25","China","1p5","iron and steel","MTCO2",2040,152.870182262883,451.225554870598,33.8788839889005
"26","China","1p5 delay","iron and steel","MTCO2",2040,433.923888940636,965.520932088304,44.9419452773656
"27","China","Ref","iron and steel","MTCO2",2040,1816.00266001447,3886.73502070027,46.7230889253489
"28","China","1p5","iron and steel","MTCO2",2045,63.5202815804793,279.515627048457,22.7251271248128
"29","China","1p5 delay","iron and steel","MTCO2",2045,143.404320624514,436.445300078146,32.8573410227668
"30","China","Ref","iron and steel","MTCO2",2045,1662.80595452295,3805.87797273008,43.6904694905435
