"","scenario","region","year","value"
"1","1p5","China",2015,10827.6925587328
"2","1p5","China",2020,12729.7198032703
"3","1p5","China",2025,10033.0249029876
"4","1p5","China",2030,7284.51078952862
"5","1p5","China",2035,4776.6252218092
"6","1p5","China",2040,2546.1893509999
"7","1p5","China",2045,1052.57788721046
"8","1p5","China",2050,-368.991566199419
"9","1p5","EU-27",2015,3513.08163767636
"10","1p5","EU-27",2020,3443.37482231377
"11","1p5","EU-27",2025,2842.13095788408
"12","1p5","EU-27",2030,2157.59807988248
"13","1p5","EU-27",2035,1534.02919021553
"14","1p5","EU-27",2040,946.431526291178
"15","1p5","EU-27",2045,262.451443449921
"16","1p5","EU-27",2050,-316.418004075567
"17","1p5","Global",2015,38837.9169936232
"18","1p5","Global",2020,37828.5554813493
"19","1p5","Global",2025,30520.9143117286
"20","1p5","Global",2030,22888.6056401882
"21","1p5","Global",2035,16199.701181606
"22","1p5","Global",2040,9687.84461909935
"23","1p5","Global",2045,3194.89829757311
"24","1p5","Global",2050,-3500.8935241377
"25","1p5","India",2015,2295.77663268124
"26","1p5","India",2020,2661.16060069499
"27","1p5","India",2025,2340.77266782229
"28","1p5","India",2030,1844.93615741412
"29","1p5","India",2035,1381.11364455646
"30","1p5","India",2040,905.323082662114
"31","1p5","India",2045,498.595339198519
"32","1p5","India",2050,73.7622349752577
"33","1p5","Japan",2015,1190.1522055095
"34","1p5","Japan",2020,1161.12340748982
"35","1p5","Japan",2025,1042.69380505451
"36","1p5","Japan",2030,834.329055693684
"37","1p5","Japan",2035,589.825209933651
"38","1p5","Japan",2040,375.697825895155
"39","1p5","Japan",2045,180.023096943044
"40","1p5","Japan",2050,59.9801352075712
"41","1p5","ROW",2015,15484.113026686
"42","1p5","ROW",2020,12247.492489397
"43","1p5","ROW",2025,9464.98426882002
"44","1p5","ROW",2030,6943.72357966312
"45","1p5","ROW",2035,4959.92013004261
"46","1p5","ROW",2040,2935.97277419684
"47","1p5","ROW",2045,424.972632721894
"48","1p5","ROW",2050,-2592.66736395477
"49","1p5","South Korea",2015,663.8723379112
"50","1p5","South Korea",2020,689.706828664333
"51","1p5","South Korea",2025,601.587529902333
"52","1p5","South Korea",2030,499.589584487033
"53","1p5","South Korea",2035,403.255891164867
"54","1p5","South Korea",2040,293.374239061933
"55","1p5","South Korea",2045,184.188477089591
"56","1p5","South Korea",2050,83.9220303729529
"57","1p5","US",2015,4863.22859442611
"58","1p5","US",2020,4895.9775295191
"59","1p5","US",2025,4195.72017925777
"60","1p5","US",2030,3323.91839351912
"61","1p5","US",2035,2554.93189388367
