"","Mitigation measure","region","reduction","total","1p5 emissions","Ref emissions","difference","share"
"1","Ref emissions","US",81.7697084279068,-63.2995639742555,0.916530104010971,81.7697084279068,-80.8531783238958,-1.2917894420436
"2","Energy efficiency","US",-14.2438905466437,-63.2995639742555,0.916530104010971,81.7697084279068,-80.8531783238958,0.176169828347169
"3","Material efficiency","US",-23.0278042837474,-63.2995639742555,0.916530104010971,81.7697084279068,-80.8531783238958,0.284810130672892
"4","Price-induced demand reduction","US",-2.25757813836931,-63.2995639742555,0.916530104010971,81.7697084279068,-80.8531783238958,0.0279219467331947
"5","High scrap use","US",-23.136446546871,-63.2995639742555,0.916530104010971,81.7697084279068,-80.8531783238958,0.286153828785641
"6","H2 contribution","US",-10.7844563626921,-63.2995639742555,0.916530104010971,81.7697084279068,-80.8531783238958,0.133383208752659
"7","CCUS","US",-7.40300244557227,-63.2995639742555,0.916530104010971,81.7697084279068,-80.8531783238958,0.0915610567084454
"8","1p5 emissions","US",0.916530104010971,-63.2995639742555,0.916530104010971,81.7697084279068,-80.8531783238958,-0.0144792482991468
"9","Ref emissions","ROW",592.769018424396,-454.276216627259,36.7337171011388,592.769018424396,-556.035301323257,-1.30486474248061
"10","Energy efficiency","ROW",-82.4573773945265,-454.276216627259,36.7337171011388,592.769018424396,-556.035301323257,0.148295220102561
"11","Material efficiency","ROW",-129.228634127428,-454.276216627259,36.7337171011388,592.769018424396,-556.035301323257,0.232410844814867
"12","Price-induced demand reduction","ROW",-23.0719822623043,-454.276216627259,36.7337171011388,592.769018424396,-556.035301323257,0.0414937364721222
"13","High scrap use","ROW",-78.9964606843117,-454.276216627259,36.7337171011388,592.769018424396,-556.035301323257,0.142070944949566
"14","H2 contribution","ROW",-90.3000101664935,-454.276216627259,36.7337171011388,592.769018424396,-556.035301323257,0.162399779207537
"15","CCUS","ROW",-151.980836688194,-454.276216627259,36.7337171011388,592.769018424396,-556.035301323257,0.273329474453346
"16","1p5 emissions","ROW",36.7337171011388,-454.276216627259,36.7337171011388,592.769018424396,-556.035301323257,-0.0808620741228005
"17","Ref emissions","China",1496.44840270558,-1614.11153408185,23.5349604558441,1496.44840270558,-1472.91344224974,-0.92710346906529
"18","Energy efficiency","China",-153.519084276571,-1614.11153408185,23.5349604558441,1496.44840270558,-1472.91344224974,0.10422817789081
"19","Material efficiency","China",-234.391425682331,-1614.11153408185,23.5349604558441,1496.44840270558,-1472.91344224974,0.15913455533702
"20","Price-induced demand reduction","China",-142.127766784976,-1614.11153408185,23.5349604558441,1496.44840270558,-1472.91344224974,0.0964943103295258
"21","High scrap use","China",-568.535057306106,-1614.11153408185,23.5349604558441,1496.44840270558,-1472.91344224974,0.385993528878195
"22","H2 contribution","China",-263.696253062913,-1614.11153408185,23.5349604558441,1496.44840270558,-1472.91344224974,0.179030379857313
"23","CCUS","China",-110.64385513684,-1614.11153408185,23.5349604558441,1496.44840270558,-1472.91344224974,0.075119047707136
"24","1p5 emissions","China",23.5349604558441,-1614.11153408185,23.5349604558441,1496.44840270558,-1472.91344224974,-0.014580752295554
"25","Ref emissions","Europe",174.675970884753,-168.240159469969,4.36207744620464,174.675970884753,-170.313893438548,-1.0382537168002
"26","Energy efficiency","Europe",-22.8736008756817,-168.240159469969,4.36207744620464,174.675970884753,-170.313893438548,0.134302612745653
"27","Material efficiency","Europe",-32.9125395163451,-168.240159469969,4.36207744620464,174.675970884753,-170.313893438548,0.19324635736908
"28","Price-induced demand reduction","Europe",-11.892657314342,-168.240159469969,4.36207744620464,174.675970884753,-170.313893438548,0.069827875308558
"29","High scrap use","Europe",-58.5643242472324,-168.240159469969,4.36207744620464,174.675970884753,-170.313893438548,0.343861108831754
"30","H2 contribution","Europe",-20.0630522900982,-168.240159469969,4.36207744620464,174.675970884753,-170.313893438548,0.11780044413897
"31","CCUS","Europe",-24.007719194849,-168.240159469969,4.36207744620464,174.675970884753,-170.313893438548,0.140961601605986
"32","1p5 emissions","Europe",4.36207744620464,-168.240159469969,4.36207744620464,174.675970884753,-170.313893438548,-0.0259276825458744
"33","Ref emissions","India",1136.83391674388,-744.93418176319,52.0131913781546,1136.83391674388,-1084.82072536573,-1.52608639068367
"34","Energy efficiency","India",-99.9925589936834,-744.93418176319,52.0131913781546,1136.83391674388,-1084.82072536573,0.0921742705090492
"35","Material efficiency","India",-285.485292997298,-744.93418176319,52.0131913781546,1136.83391674388,-1084.82072536573,0.263163568248617
"36","Price-induced demand reduction","India",-91.0634577428705,-744.93418176319,52.0131913781546,1136.83391674388,-1084.82072536573,0.083943324102856
"37","High scrap use","India",-227.058038176234,-744.93418176319,52.0131913781546,1136.83391674388,-1084.82072536573,0.209304664694423
"38","H2 contribution","India",-178.371153862682,-744.93418176319,52.0131913781546,1136.83391674388,-1084.82072536573,0.164424544712259
"39","CCUS","India",-202.850223592958,-744.93418176319,52.0131913781546,1136.83391674388,-1084.82072536573,0.186989627732795
