"","region","scenario","sector","Units","year","value"
"1","China","1p5","iron and steel","Mt",2015,803.47
"2","China","1p5 delay","iron and steel","Mt",2015,803.47
"3","China","Ref","iron and steel","Mt",2015,803.47
"4","China","1p5","iron and steel","Mt",2020,1039.056051
"5","China","1p5 delay","iron and steel","Mt",2020,1039.056051
"6","China","Ref","iron and steel","Mt",2020,1058.934131
"7","China","1p5","iron and steel","Mt",2025,962.743337
"8","China","1p5 delay","iron and steel","Mt",2025,1028.957638
"9","China","Ref","iron and steel","Mt",2025,1087.9730977
"10","China","1p5","iron and steel","Mt",2030,906.0961744
"11","China","1p5 delay","iron and steel","Mt",2030,964.3739601
"12","China","Ref","iron and steel","Mt",2030,1060.59212832
"13","China","1p5","iron and steel","Mt",2035,820.7011004
"14","China","1p5 delay","iron and steel","Mt",2035,829.7668525
"15","China","Ref","iron and steel","Mt",2035,999.9278102
"16","China","1p5","iron and steel","Mt",2040,732.070426
"17","China","1p5 delay","iron and steel","Mt",2040,735.705343
"18","China","Ref","iron and steel","Mt",2040,941.43741368
"19","China","1p5","iron and steel","Mt",2045,656.7247497
"20","China","1p5 delay","iron and steel","Mt",2045,660.5404974
"21","China","Ref","iron and steel","Mt",2045,868.93897862
"22","China","1p5","iron and steel","Mt",2050,569.734784632
"23","China","1p5 delay","iron and steel","Mt",2050,569.211279003
"24","China","Ref","iron and steel","Mt",2050,787.7479018
"25","EU-27","1p5","iron and steel","Mt",2015,166.2242
"26","EU-27","1p5 delay","iron and steel","Mt",2015,166.2242
"27","EU-27","Ref","iron and steel","Mt",2015,166.2242
"28","EU-27","1p5","iron and steel","Mt",2020,171.74064119
"29","EU-27","1p5 delay","iron and steel","Mt",2020,171.74064119
"30","EU-27","Ref","iron and steel","Mt",2020,172.5320012
"31","EU-27","1p5","iron and steel","Mt",2025,166.37706591
"32","EU-27","1p5 delay","iron and steel","Mt",2025,173.14961945
"33","EU-27","Ref","iron and steel","Mt",2025,181.76234836
"34","EU-27","1p5","iron and steel","Mt",2030,162.616360684
"35","EU-27","1p5 delay","iron and steel","Mt",2030,168.184023609
"36","EU-27","Ref","iron and steel","Mt",2030,181.456750591
"37","EU-27","1p5","iron and steel","Mt",2035,154.59070822
"38","EU-27","1p5 delay","iron and steel","Mt",2035,155.4568786
"39","EU-27","Ref","iron and steel","Mt",2035,180.13149979
"40","EU-27","1p5","iron and steel","Mt",2040,145.3777289
"41","EU-27","1p5 delay","iron and steel","Mt",2040,146.30166855
"42","EU-27","Ref","iron and steel","Mt",2040,178.00639422
"43","EU-27","1p5","iron and steel","Mt",2045,136.1293891
"44","EU-27","1p5 delay","iron and steel","Mt",2045,136.53030146
"45","EU-27","Ref","iron and steel","Mt",2045,175.43972608
"46","EU-27","1p5","iron and steel","Mt",2050,131.05744621767
"47","EU-27","1p5 delay","iron and steel","Mt",2050,130.80014135496
"48","EU-27","Ref","iron and steel","Mt",2050,171.59000079
"49","Global","1p5","iron and steel","Mt",2015,1619.7432
"50","Global","1p5 delay","iron and steel","Mt",2015,1619.7432
"51","Global","Ref","iron and steel","Mt",2015,1619.7432
"52","Global","1p5","iron and steel","Mt",2020,1926.64785266743
"53","Global","1p5 delay","iron and steel","Mt",2020,1926.64785261883
"54","Global","Ref","iron and steel","Mt",2020,1947.74665587156
"55","Global","1p5","iron and steel","Mt",2025,1929.77991969543
"56","Global","1p5 delay","iron and steel","Mt",2025,2040.84611480158
"57","Global","Ref","iron and steel","Mt",2025,2141.62895141663
"58","Global","1p5","iron and steel","Mt",2030,1973.944086601
"59","Global","1p5 delay","iron and steel","Mt",2030,2086.7596860819
"60","Global","Ref","iron and steel","Mt",2030,2261.64876230415
"61","Global","1p5","iron and steel","Mt",2035,1975.83523144583
"62","Global","1p5 delay","iron and steel","Mt",2035,2000.71365081085
"63","Global","Ref","iron and steel","Mt",2035,2344.51238953754
"64","Global","1p5","iron and steel","Mt",2040,1962.33604901055
"65","Global","1p5 delay","iron and steel","Mt",2040,1978.47634217177
"66","Global","Ref","iron and steel","Mt",2040,2423.76553323214
"67","Global","1p5","iron and steel","Mt",2045,1944.11796947409
"68","Global","1p5 delay","iron and steel","Mt",2045,1958.41078245903
"69","Global","Ref","iron and steel","Mt",2045,2476.76336598254
"70","Global","1p5","iron and steel","Mt",2050,1890.00577420689
"71","Global","1p5 delay","iron and steel","Mt",2050,1889.64930295555
"72","Global","Ref","iron and steel","Mt",2050,2502.23329600851
"73","India","1p5","iron and steel","Mt",2015,89
"74","India","1p5 delay","iron and steel","Mt",2015,89
"75","India","Ref","iron and steel","Mt",2015,89
"76","India","1p5","iron and steel","Mt",2020,117.319438
"77","India","1p5 delay","iron and steel","Mt",2020,117.319438
"78","India","Ref","iron and steel","Mt",2020,117.658102
"79","India","1p5","iron and steel","Mt",2025,202.132829
"80","India","1p5 delay","iron and steel","Mt",2025,211.568436
"81","India","Ref","iron and steel","Mt",2025,216.655728
"82","India","1p5","iron and steel","Mt",2030,267.1763916
"83","India","1p5 delay","iron and steel","Mt",2030,285.0288671
"84","India","Ref","iron and steel","Mt",2030,299.7032715
"85","India","1p5","iron and steel","Mt",2035,324.9636144
"86","India","1p5 delay","iron and steel","Mt",2035,332.2733041
