CO2 prices had error: java.lang.Exception: The query returned no results.
CO2 prices
scenario,region,market,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units,
"constraint_1p5,date=2021-23-6T10:04:06-07:00",Global,globalCO2,0.0,0.0,0.0,0.0,0.0,233.341,319.411,403.163,528.589,852.236,1593.93,1455.09,1413.31,1427.53,1442.83,1543.37,1638.62,1699.5,1737.45,1781.25,1834.98,1990$/tC,
"constraint_1p5,date=2021-23-6T10:04:06-07:00",Global,globalCO2_LUC,0.0,0.0,0.0,0.0,0.0,14.5838,39.9264,75.5931,132.147,266.324,597.725,636.601,706.655,802.984,901.771,1061.06,1228.96,1380.85,1520.27,1669.92,1834.98,1990$/tC,
CO2 prices
scenario,region,market,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units,
"constraint_1p5_delay,date=2021-23-6T10:04:06-07:00",Global,globalCO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.841,221.942,281.859,362.488,508.54,821.409,1376.6,2190.77,3230.53,4796.06,6907.02,9428.95,12235.8,15314.1,1990$/tC,
"constraint_1p5_delay,date=2021-23-6T10:04:06-07:00",Global,globalCO2_LUC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.4078,55.4854,88.0809,135.933,222.486,410.704,774.34,1369.23,2220.99,3597.05,5611.95,8250.33,11471.1,15314.1,1990$/tC,
CO2 prices
scenario,region,market,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units,
"constraint_1p5_delay_v2,date=2021-23-6T10:04:06-07:00",Global,globalCO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.716,376.34,682.612,1749.53,1726.21,1784.51,1923.92,2159.66,2320.0,2529.7,2777.26,3024.88,3291.6,3574.04,1990$/tC,
"constraint_1p5_delay_v2,date=2021-23-6T10:04:06-07:00",Global,globalCO2_LUC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0718,94.0851,213.316,656.075,755.215,892.257,1082.2,1349.79,1595.0,1897.27,2256.53,2646.77,3085.88,3574.04,1990$/tC,
