global mean temperature
scenario,region,temperature,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units,
"Ref,date=2021-23-6T10:04:06-07:00",Global,global-mean-temperature,0.345863,0.451742,0.563683,0.682267,0.798416,0.898257,1.01383,1.15708,1.2685,1.37366,1.48543,1.60247,1.72234,1.84262,1.96335,2.0848,2.20826,2.33373,2.46097,2.59013,2.72099,2.85086,2.97862,3.10529,3.23143,degreesC,
global mean temperature
scenario,region,temperature,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units,
"constraint_1p5,date=2021-23-6T10:04:06-07:00",Global,global-mean-temperature,0.345863,0.451742,0.563683,0.682267,0.798416,0.898257,1.01383,1.15708,1.2685,1.3868,1.49441,1.57487,1.62845,1.65622,1.65849,1.64097,1.62084,1.60305,1.58818,1.5766,1.56832,1.56316,1.56237,1.56474,1.56912,degreesC,
global mean temperature
scenario,region,temperature,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units,
"constraint_1p5_delay,date=2021-23-6T10:04:06-07:00",Global,global-mean-temperature,0.345863,0.451742,0.563683,0.682267,0.798416,0.898257,1.01383,1.15708,1.2685,1.37366,1.48543,1.60809,1.71811,1.80609,1.87455,1.92443,1.95418,1.96333,1.9526,1.92208,1.87127,1.80411,1.72424,1.63354,1.52877,degreesC,
global mean temperature
scenario,region,temperature,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units,
"constraint_1p5_delay_v2,date=2021-23-6T10:04:06-07:00",Global,global-mean-temperature,0.345863,0.451742,0.563683,0.682267,0.798416,0.898257,1.01383,1.15708,1.2685,1.37366,1.48543,1.61257,1.71833,1.78489,1.80739,1.79342,1.76511,1.73363,1.70233,1.67168,1.64175,1.61205,1.58175,1.55003,1.5164,degreesC,
