CO2 prices had error: java.lang.Exception: The query returned no results.
CO2 prices
scenario,region,market,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units,
"constraint_1p5,date=2021-23-6T14:10:04-07:00",Global,globalCO2,0.0,0.0,0.0,0.0,0.0,232.791,316.266,392.395,509.668,807.123,1480.3,1426.42,1390.69,1404.33,1428.16,1531.95,1623.4,1685.78,1729.72,1779.4,1836.1,1990$/tC,
"constraint_1p5,date=2021-23-6T14:10:04-07:00",Global,globalCO2_LUC,0.0,0.0,0.0,0.0,0.0,14.5494,39.5332,73.574,127.417,252.226,555.112,624.059,695.344,789.935,892.602,1053.22,1217.55,1369.7,1513.5,1668.19,1836.1,1990$/tC,
CO2 prices
scenario,region,market,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units,
"constraint_1p5_delay,date=2021-23-6T14:10:04-07:00",Global,globalCO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.4,219.068,278.962,359.06,500.26,790.445,1304.37,2083.61,3121.42,4652.47,6757.82,9298.94,12213.4,15660.4,1990$/tC,
"constraint_1p5_delay,date=2021-23-6T14:10:04-07:00",Global,globalCO2_LUC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.95,54.7669,87.1756,134.648,218.864,395.223,733.71,1302.25,2145.98,3489.35,5490.73,8136.57,11450.0,15660.4,1990$/tC,
CO2 prices
scenario,region,market,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units,
"constraint_1p5_delay_v2,date=2021-23-6T14:10:04-07:00",Global,globalCO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.483,370.48,653.72,1587.53,1665.78,1729.08,1872.75,2085.7,2261.56,2506.4,2762.16,3017.43,3288.0,3572.9,1990$/tC,
"constraint_1p5_delay_v2,date=2021-23-6T14:10:04-07:00",Global,globalCO2_LUC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.4656,92.62,204.288,595.326,728.777,864.538,1053.42,1303.56,1554.83,1879.8,2244.25,2640.25,3082.5,3572.9,1990$/tC,
