global mean temperature
scenario,region,temperature,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units,
"Ref,date=2021-23-6T14:10:04-07:00",Global,global-mean-temperature,0.345863,0.451742,0.563683,0.682267,0.798416,0.898257,1.01383,1.15708,1.26852,1.37377,1.48568,1.60287,1.72289,1.84325,1.96402,2.08541,2.20874,2.33399,2.46092,2.5897,2.72009,2.84944,2.97665,3.10278,3.22839,degreesC,
global mean temperature
scenario,region,temperature,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units,
"constraint_1p5,date=2021-23-6T14:10:04-07:00",Global,global-mean-temperature,0.345863,0.451742,0.563683,0.682267,0.798416,0.898257,1.01383,1.15708,1.26852,1.38662,1.49366,1.57358,1.62743,1.65357,1.65609,1.63974,1.61788,1.59844,1.58344,1.57308,1.56681,1.56409,1.56429,1.56674,1.57094,degreesC,
global mean temperature
scenario,region,temperature,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units,
"constraint_1p5_delay,date=2021-23-6T14:10:04-07:00",Global,global-mean-temperature,0.345863,0.451742,0.563683,0.682267,0.798416,0.898257,1.01383,1.15708,1.26852,1.37377,1.48568,1.60831,1.71824,1.80615,1.87454,1.92428,1.9539,1.96323,1.95283,1.9225,1.87154,1.8038,1.72276,1.62897,1.53116,degreesC,
global mean temperature
scenario,region,temperature,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units,
"constraint_1p5_delay_v2,date=2021-23-6T14:10:04-07:00",Global,global-mean-temperature,0.345863,0.451742,0.563683,0.682267,0.798416,0.898257,1.01383,1.15708,1.26852,1.37377,1.48568,1.61248,1.71498,1.78249,1.80693,1.79407,1.76618,1.7349,1.70361,1.673,1.64308,1.61321,1.58264,1.55061,1.51671,degreesC,
