LUC emissions by region
scenario,region,LandLeaf,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units,
"constraint_1p5,date=2021-6-7T17:42:51+17:00",Africa_Eastern,All LandLeaf,25.817975012669912,28.725265006037706,30.907458715019086,43.062764705487794,37.218791338406,35.547432755183394,47.44507797716602,71.06934129184023,9.319360385603611,33.534942318631586,12.101637519872805,-5.710534660613643,-8.231622220976352,-9.074331301007199,-11.522070316457352,-4.398656205684899,0.11160977093116588,1.8394423419031023,3.0145146389353235,2.1516509104132977,2.5164046667712454,2.7685466974469577,2.77734244373349,2.58154356784473,2.2551914189929767,MtC/yr,
"constraint_1p5,date=2021-6-7T17:42:51+17:00",Africa_Northern,All LandLeaf,-29.853562027829007,-33.030637791953,-33.3633785091962,-0.4301646063949951,8.818295356527301,11.1557439161278,2.529504206068997,2.2701947320439992,-0.013643185526000912,-2.5522680847177117,-1.5869989116395393,0.20403277993735286,0.458867476499111,0.4816069010946311,-0.09455087947349629,-1.4519938386018454,-1.4478847386348372,-1.1852567169629868,-0.8746281892072801,-0.6335652027860318,-0.45576677818466427,-0.31323381344169643,-0.2237012901840494,-0.18755960110289102,-0.17267406138621078,MtC/yr,
"constraint_1p5,date=2021-6-7T17:42:51+17:00",Africa_Southern,All LandLeaf,5.3887783186558575,9.208798198235522,12.917132302396636,19.270567885975613,20.39909132118857,21.000369685558734,58.556192785733806,121.72807247830201,14.193952820661899,-32.18978984735468,-48.86789146458686,-44.078194091924665,-36.082175773555605,-29.46595722318335,-24.939675996809463,-17.727914206690528,-12.201011529796377,-8.679748438630975,-6.020993588038428,-4.704249789930294,-3.882900272004986,-3.308296251414036,-2.9166487651432593,-2.7535427360541496,-2.762392155613749,MtC/yr,
"constraint_1p5,date=2021-6-7T17:42:51+17:00",Africa_Western,All LandLeaf,58.22517421859592,63.11473045782463,67.3977455943274,148.0191709080117,150.00085478858227,150.2591542600571,115.49884935355045,174.6677763362017,65.6185301859517,-57.731219793151894,-95.95782043109976,-94.66164403781157,-84.58299778836123,-75.39928251766085,-68.24909989147437,-41.04409704957979,-26.25864199909012,-19.433084104757494,-12.44303551657129,-12.974677302572578,-10.707938168416305,-9.133765823572574,-8.217173431794782,-8.316296623678271,-9.223614189365058,MtC/yr,
"constraint_1p5,date=2021-6-7T17:42:51+17:00",Argentina,All LandLeaf,-9.822774728855373,-7.734966227216005,-7.01132661109599,43.82754369174127,43.07109394463402,41.81656619391121,35.79954410038218,46.948493739445055,7.009888281519281,3.3615888179341864,-2.317336821653499,-6.528665386492983,-9.159478531932795,-11.218794356510408,-12.902643473402907,-8.428377290450161,-5.077924625834393,-3.4491758889568964,-2.708860899570895,-2.752792070583014,-2.7922960878650946,-2.769601800322179,-2.7441828709874696,-2.806290383347662,-2.9917635673830185,MtC/yr,
"constraint_1p5,date=2021-6-7T17:42:51+17:00",Australia_NZ,All LandLeaf,-34.828963306788616,-17.801665489976596,-7.674720762893589,3.0918468478577754,4.7182236009041985,5.415729978606573,21.966856582109287,-0.566221185775798,-22.915749012758635,-5.790916312945789,-4.820798647747549,-4.68938228565299,-7.433226249729504,-8.2540485937555,-11.589630462082097,-10.347234120765588,-7.284336668501868,-5.678929004233864,-4.362338749544168,-3.6458988590706287,-2.997111280236686,-2.4823663946632264,-2.1049448474054695,-1.826180693321642,-1.737345838944787,MtC/yr,
"constraint_1p5,date=2021-6-7T17:42:51+17:00",Brazil,All LandLeaf,216.89161832438467,221.40395116871215,224.39014644452558,151.20175216129397,157.27899771715317,160.88196754065484,167.39872342548216,251.64147203263602,35.86818092540965,-67.80333249818113,-139.2012175273724,-160.6401375404655,-153.77084899870627,-138.0366307181262,-122.455618064636,-100.57709632511661,-77.03087297107105,-59.475414887257,-46.56753556540579,-38.20300709555166,-32.58538663182599,-28.027151357099093,-24.216489263872,-21.349093015028682,-19.50959393435406,MtC/yr,
"constraint_1p5,date=2021-6-7T17:42:51+17:00",Canada,All LandLeaf,84.15083453015005,81.14380412440934,79.2205691814715,73.24987308540906,74.10909602722032,74.60948544906363,23.66094257158358,34.846908628130954,20.127414361159722,-21.34521303989556,-56.209360740951965,-67.52548233536474,-72.20381780360626,-69.00155421245597,-68.49174054288396,-59.28825301398754,-45.062793758573775,-35.63273333544903,-29.055945701429476,-24.97855236913377,-21.856486391335967,-19.383633345967343,-17.44596043227652,-16.04053917040936,-15.131371532098735,MtC/yr,
"constraint_1p5,date=2021-6-7T17:42:51+17:00",Central America and Caribbean,All LandLeaf,40.59811702098155,40.59597585544695,40.730718441828216,23.74224912118842,23.788036108507352,24.107121590750154,8.098691158687027,4.615095704281577,-1.9146864059111344,5.490638694242442,2.096324204681885,1.9021657365122382,0.840091341002851,3.420713383865933,1.6730570206180417,-2.1235425602214244,-1.7300534225540085,-1.8350880427636418,-1.9775260007818691,-2.1797820356206388,-2.230872997980536,-2.2017733047373875,-2.143625131414724,-2.0735535746435545,-2.035509502448385,MtC/yr,
"constraint_1p5,date=2021-6-7T17:42:51+17:00",Central Asia,All LandLeaf,-4.10947624330247,-2.4272268911082353,-0.8327091952099571,0.9605273451308498,-7.081843179845265,-12.27185270441621,13.570573861980812,-1.573856422204906,-21.024691916487935,-13.547104296958889,-12.656820174272827,-11.618884238443355,-10.948328728359254,-10.038870664167632,-10.503577975006417,-9.550885132364652,-6.583297547141195,-4.691918368792272,-3.5395499396087082,-2.9405368790743758,-2.528557669605562,-2.2140336526911484,-1.9685582165523066,-1.7816501043088135,-1.686489312900302,MtC/yr,
"constraint_1p5,date=2021-6-7T17:42:51+17:00",China,All LandLeaf,308.3586541078889,312.81693182758164,313.3434899416241,29.925465579469662,20.997869337443653,17.816060113430066,-21.66619305019019,-37.084631537422005,-10.045105566771978,16.80275043949263,-12.78364846413697,-32.11437486908003,-51.79984145392842,-65.1523854500798,-78.04325690764782,-82.65629171213035,-73.52544929464753,-66.44619129564882,-60.6116575777887,-56.07925205251065,-52.16726396555412,-48.491739064660464,-44.942405136369494,-41.33308769190655,-38.03875092889169,MtC/yr,
"constraint_1p5,date=2021-6-7T17:42:51+17:00",Colombia,All LandLeaf,1.1800885564600034,2.8433107387060077,4.210943173610008,-2.6243748370501017,-4.90764908046959,-6.862758276775699,-7.959582927410092,3.87668687491581,-2.930387251700701,3.1293861966697016,2.740172317609476,4.544362876936072,4.763279266849418,5.247266935823439,2.8453099559780304,-1.4222018417749227,-0.9892624837890792,-1.0289250038491722,-0.7939022948969725,-0.9570731387228921,-0.9764441272571561,-1.0636054975020561,-1.1724597136379622,-1.306074118772922,-1.4882911491451953,MtC/yr,
"constraint_1p5,date=2021-6-7T17:42:51+17:00",EU-12,All LandLeaf,-3.8648029893646916,-6.8916633250149975,-9.018251272118329,-15.82917501759553,-22.830047927668456,-28.291808494575502,-26.756847143654284,-18.927206263495055,-25.12222943310234,-24.40257055509333,-30.507944664096666,-30.717372250387026,-29.678267853971953,-27.854059325212358,-26.569855321886767,-16.713784101054287,-10.984861242064554,-8.103434311635118,-6.5587205083747495,-6.164043055283091,-5.691178277857225,-5.1840116407155366,-4.617916818990965,-4.133721146486694,-3.7411122861248556,MtC/yr,
"constraint_1p5,date=2021-6-7T17:42:51+17:00",EU-15,All LandLeaf,-5.164528099146524,-1.894168906203227,0.5021383036493164,-2.775850459617414,-6.217496846870156,-8.44544793451604,-20.282651296681696,1.2695932183283754,-18.261318483719556,-14.748296204393444,-27.01655934523475,-31.834946040342377,-37.30394941360502,-34.10135913321117,-38.19395092814568,-30.206443623028573,-18.742780322119547,-13.067713019464716,-10.134994060063217,-9.492006301998206,-8.931296587282832,-7.8961169974578596,-6.873569027521679,-5.982135522940304,-5.319229984157291,MtC/yr,
"constraint_1p5,date=2021-6-7T17:42:51+17:00",Europe_Eastern,All LandLeaf,3.8045105849806067,1.2901214203988918,-0.1596605844214541,-8.785935932362737,-17.069069171309778,-23.149370506837798,-17.387274420034327,-5.839932065212663,-11.676281250443601,-15.302950477848494,-22.00526523975521,-24.87622021818818,-24.478163961279304,-23.918289545801738,-21.31722766179661,-10.831985635995908,-5.205797460471622,-2.6357187859420033,-1.6216473724681717,-1.674015655834023,-1.7699527716094605,-1.8340170932645592,-1.8926796355575475,-1.9528923669833294,-2.0624826524086695,MtC/yr,
"constraint_1p5,date=2021-6-7T17:42:51+17:00",Europe_Non_EU,All LandLeaf,3.550130298921991,0.8245730201769972,-0.9070113479690031,-1.0349239927138092,-3.1425698414469982,-4.495369675513003,-9.738329464011493,-2.330227328387598,-5.828832539062202,-7.2120596182368,-10.991085281342592,-12.004533838504496,-12.124796024452095,-12.010132718258193,-11.09280758711975,-6.99199038010691,-4.577956856190746,-3.402209480457058,-2.834093768337709,-2.7739441388216206,-2.7309456127982177,-2.6756637361101165,-2.594626389879511,-2.5456622734140533,-2.5585878341808974,MtC/yr,
"constraint_1p5,date=2021-6-7T17:42:51+17:00",European Free Trade Association,All LandLeaf,1.156440472657999,2.0160801559980004,2.553410881248998,2.7504931292519994,2.999588646341703,3.1243066144914984,4.424946082116699,5.567428671879798,2.2821006308730993,1.399304020088201,-1.5389226066420212,-1.5501157370167409,-1.585320528907562,-0.3991173698568888,-0.9484257173561895,-2.02526176723486,-1.3600728280798513,-1.0275805439223897,-0.8575202717915249,-0.8014752313515309,-0.7039797978693546,-0.6733179568002741,-0.6001341466260898,-0.5350432974152264,-0.47846451171644566,MtC/yr,
"constraint_1p5,date=2021-6-7T17:42:51+17:00",India,All LandLeaf,49.779888686593964,50.07846540622934,50.56089436187585,40.982054997889925,40.542619079380714,40.576244320989396,11.920446194758084,0.8569230921566269,17.520452509983862,18.244291711160116,17.66224136508756,8.985778528897557,-1.7044248239307722,-3.9590103830904884,-8.249135412137274,-6.769449374599282,-4.916272234701687,-4.137146785890155,-3.8507563576345074,-4.186687853613022,-4.620047323493281,-5.119621372830199,-5.643403968570329,-6.182654425058111,-6.678892048460044,MtC/yr,
"constraint_1p5,date=2021-6-7T17:42:51+17:00",Indonesia,All LandLeaf,71.46304020476839,70.77635917465801,70.38451104432792,55.53775958470256,55.25510715176909,55.06939380123632,217.57338890287411,167.73284579931473,27.488803835285772,44.79132919237693,49.36217261130709,47.024265415396144,32.9712809746891,32.17757281693538,11.488723930626824,-3.0218022339675032,-4.88340657094133,-7.510015612151085,-9.570708236147116,-11.160119728679852,-11.773181582898678,-11.759503886585028,-11.358411924961013,-10.897508106664562,-10.622299014918177,MtC/yr,
"constraint_1p5,date=2021-6-7T17:42:51+17:00",Japan,All LandLeaf,-0.5903699277900005,-1.1591744032,-1.8559379930800004,-3.4606689845060044,-5.346554562756671,-7.0430603096220015,-7.554077509840997,-4.175227985044281,-4.193372850622898,2.7873827503533,3.469839209136399,3.3533176675036596,1.9513844010506394,2.063260468769157,0.7528070680822325,-1.843364347175335,-1.663350123152507,-1.565200832987604,-1.525278088534012,-1.3928893675923792,-1.4259604059803404,-1.4258337493249904,-1.354115041422571,-1.2148545907517179,-1.0897388794929712,MtC/yr,
"constraint_1p5,date=2021-6-7T17:42:51+17:00",Mexico,All LandLeaf,16.98446689369111,17.747827756792958,18.923411800583033,14.327243986703596,14.635015644315125,14.888390364373581,-1.075373819784702,-3.482720183796379,-7.7080789671133365,4.1275199903893025,11.03745197458794,13.941556402455051,8.961954285315468,9.717555810799363,4.681891136344096,-5.984893343657121,-4.710153444301553,-3.9454642897049244,-3.497003330904595,-3.2560457249741326,-2.8031085695631943,-2.322116610171584,-1.926361572412747,-1.6253211648808599,-1.3500684666622957,MtC/yr,
"constraint_1p5,date=2021-6-7T17:42:51+17:00",Middle East,All LandLeaf,-46.618924467965996,-56.85216781992598,-62.40211833759003,-66.86050794895161,-68.39996186740383,-68.17838442677736,-32.473530050458656,-12.69128393698704,-8.751418031068138,-4.640149671652019,-2.7479587606716014,-1.800907408253464,-2.3463069713094837,-2.2504937893883903,-3.3660825567291406,-4.540178517298144,-3.2659222576298443,-2.293319847483348,-1.6588467484335219,-1.2907802058697182,-0.9177132419940357,-0.6450500454051641,-0.4379027670098202,-0.27146897187530394,-0.14031417447211822,MtC/yr,
"constraint_1p5,date=2021-6-7T17:42:51+17:00",Pakistan,All LandLeaf,-1.1978508639520007,-1.0953215824112,-1.0546764045489025,-0.8163030561755996,-0.7654504723400404,-0.7448898746443585,2.4658370502190334,-2.803632021827142,5.628097902745566,4.733257918674557,2.0054905146186814,1.972120274266487,1.1191989976100445,-0.2631037270472597,-1.7743957140854736,-1.196729587415999,-0.6208599535135207,-0.3409742184580251,-0.26282569933898275,-0.34746034086272914,-0.25197003768078,-0.12109857407678337,-0.01325072652065431,0.016774641913167954,0.02070062988785495,MtC/yr,
"constraint_1p5,date=2021-6-7T17:42:51+17:00",Russia,All LandLeaf,112.33571730013355,93.83755745861072,80.79715822758261,60.87534287081477,31.354636879253043,6.478151962493574,-35.696519642673515,-6.200978624559497,-19.687421006896884,-109.99466221664643,-158.50102353961745,-164.8412899108545,-163.4038064980997,-146.98190062523875,-137.11184532711653,-117.95533845069461,-89.80463118858562,-71.61482240915022,-59.72921440796028,-52.262770494050756,-46.026716415057166,-40.67973969923403,-36.20851381878246,-32.623102193085636,-29.892416135179513,MtC/yr,
"constraint_1p5,date=2021-6-7T17:42:51+17:00",South Africa,All LandLeaf,3.7972836594466064,5.885379727741195,6.9906462284330155,4.519418773905808,5.483095927541901,6.089279348152765,-2.587366688765909,-9.165561279577132,-10.891335317824394,-7.583128307241103,-8.158071801580402,-7.9362448067277,-7.48747471867938,-6.909088460760508,-6.673534120899705,-5.997990252482863,-4.153721158752651,-2.819930879308654,-1.9727666817785003,-1.3552257933562895,-0.9368874517159856,-0.6193378448961563,-0.38380140373684996,-0.18881631712130617,-0.06315702039341582,MtC/yr,
"constraint_1p5,date=2021-6-7T17:42:51+17:00",South America_Northern,All LandLeaf,4.766689302488004,5.484064954380328,6.2301653210169885,-1.8571519420576996,-1.229575508558949,-0.7594183788310009,3.1112565655225017,2.3812654621792992,-2.0002372691975197,0.2413284009462101,2.7835039307403284,3.8457632783478073,4.628782398895422,10.01077114400134,9.045176285658,-2.75938502449513,-2.9094719536900673,-3.2164351879585036,-3.828009630395091,-3.8165795589487646,-3.7526715279725535,-3.6132389001020555,-3.475029272281783,-3.394571485051013,-3.3932550756201674,MtC/yr,
"constraint_1p5,date=2021-6-7T17:42:51+17:00",South America_Southern,All LandLeaf,41.49642107078489,41.055852068767365,40.34004839032117,29.18720615016876,31.941216736126094,33.874882683997015,46.90568597663775,59.22315364211427,8.956723736770051,29.92681671157654,17.316939553601543,19.786527906614342,12.502803993861717,13.682159497274874,6.36804818945962,-5.310854472540482,-4.123864352111689,-4.67976240583801,-5.398237001138499,-6.2560835724125035,-6.676756736388343,-6.914945138961799,-7.094242202650286,-7.364796771986379,-7.7248925300440145,MtC/yr,
"constraint_1p5,date=2021-6-7T17:42:51+17:00",South Asia,All LandLeaf,6.530932439623784,6.671888732974755,7.07607592975508,-0.4994577034646006,-1.4651996369382,-2.2851256548936996,0.9140331912434007,-0.5180987120163981,-3.167885441545699,0.5188739154541955,-3.2567876620085294,-1.5410515931029003,-5.114258942420669,-5.370103373808721,-5.302496649299837,-3.5401524016644155,-2.221722865243289,-1.4761614371956429,-0.9453257554107822,-0.9030913504913232,-0.7156263239025021,-0.5279626725077339,-0.4276654422985844,-0.43874423626995696,-0.47020568991462947,MtC/yr,
"constraint_1p5,date=2021-6-7T17:42:51+17:00",South Korea,All LandLeaf,-0.935332330000001,-0.6274356190000006,-0.46822275799999996,-0.319234865,-0.3225480089999997,-0.3354132969999999,-0.535452535,-0.4580812793999997,-0.3691978219999997,0.2426895566999999,-0.22925119670000024,-0.5925516877999998,-0.8687843434900006,-1.038070944968,-1.2514176295810013,-1.4517669110183995,-1.3074102848229994,-1.1900442886390004,-1.0943477619789999,-0.994454536307,-0.9140406193475001,-0.8344404658246998,-0.7567304127501001,-0.6817011527948998,-0.6199959285261002,MtC/yr,
"constraint_1p5,date=2021-6-7T17:42:51+17:00",Southeast Asia,All LandLeaf,120.95317283364614,120.32379842971697,119.75411533263552,51.38411991101915,49.01475704329583,47.66820835297097,148.8708296418237,135.2370152437052,27.251985766873805,67.79824848836599,3.405898928652963,-8.12601195897508,-13.185560302999846,-7.568336663789237,-14.33612038471725,-18.965733141969146,-16.227595906471432,-15.642990291705406,-15.73952766302655,-16.4176937700932,-17.070197048278075,-17.34381777937023,-17.227175200398452,-17.047241067208052,-17.126787511147658,MtC/yr,
"constraint_1p5,date=2021-6-7T17:42:51+17:00",Taiwan,All LandLeaf,1.2646888103880007,1.1583194352900001,1.0825824389899994,1.1203761046679985,1.1725195184340007,1.2116429838460017,0.5199694866160002,-0.014604713936999691,-0.0801358354449,-1.4318012153990005,-2.6166944487858994,-2.6775658895310004,-2.3636930810964007,-1.9661526336285,-1.5846963686708704,-1.2191291026102098,-0.9069839063393501,-0.6650432317090501,-0.4846210478257701,-0.35457433313998576,-0.26151482551467786,-0.19438050643929702,-0.14578366388319197,-0.11089298985721038,-0.08606639971298052,MtC/yr,
"constraint_1p5,date=2021-6-7T17:42:51+17:00",USA,All LandLeaf,40.142380493530744,38.41420140503371,36.347007035673066,-31.173473442128348,-47.47035741082183,-57.058978779588905,-71.22323076266892,-88.79299759288024,-72.92515096449927,-64.24379674420302,-84.89697741905026,-92.65898180888794,-96.43454301968384,-91.4743494710202,-94.14919295424407,-72.09358479852155,-47.95052449225564,-34.30612469427148,-26.55137236193779,-23.31103164886605,-20.549333398683924,-17.640466736609586,-15.196711029654326,-13.298296317828896,-11.863264976249429,MtC/yr,
