global mean temperature
scenario,region,temperature,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units,
"Ref,date=2021-6-7T08:31:10-07:00",Global,global-mean-temperature,0.345863,0.451742,0.563683,0.682267,0.798416,0.898257,1.01383,1.15708,1.26849,1.37368,1.48521,1.60124,1.71868,1.83487,1.95046,2.06629,2.18405,2.30399,2.42603,2.55037,2.67682,2.8027,2.92687,3.0503,3.17352,degreesC,
global mean temperature
scenario,region,temperature,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units,
"constraint_1p5_lin_bio_limit,date=2021-6-7T08:31:10-07:00",Global,global-mean-temperature,0.345863,0.451742,0.563683,0.682267,0.798416,0.898257,1.01383,1.15708,1.26849,1.38682,1.49445,1.57389,1.61846,1.63421,1.62766,1.60107,1.56834,1.53698,1.51317,1.49766,1.48852,1.48533,1.48588,1.48862,1.49335,degreesC,
global mean temperature
scenario,region,temperature,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units,
"constraint_1p5_cons_bio_limit,date=2021-6-7T08:31:10-07:00",Global,global-mean-temperature,0.345863,0.451742,0.563683,0.682267,0.798416,0.898257,1.01383,1.15708,1.26849,1.38631,1.49317,1.5702,1.6207,1.64888,1.6532,1.64634,1.63633,1.62584,1.61589,1.6068,1.59857,1.59106,1.58401,1.57987,1.57826,degreesC,
global mean temperature
scenario,region,temperature,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units,
"constraint_1p5_noCCS,date=2021-6-7T08:31:10-07:00",Global,global-mean-temperature,0.345863,0.451742,0.563683,0.682267,0.798416,0.898257,1.01383,1.15708,1.26849,1.38741,1.4973,1.5749,1.62563,1.64699,1.64014,1.61261,1.58291,1.55846,1.53945,1.52409,1.50946,1.49854,1.49357,1.49067,1.48998,degreesC,
